year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,MVP,set_number
2020.0,summer,TCL,1,FB,IW,IW,FB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220183?gameHash=7319302dab7e3d02,https://youtu.be/Gt2YcQ8qqho?t=1,https://youtu.be/Gt2YcQ8qqho?t=573,https://www.youtube.com/watch?v=aCP-h0bXxKI,Kaori,1.0
2020.0,summer,TCL,1,DP,AUR,AUR,DP,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220191?gameHash=352f6c3361725b97,https://youtu.be/x2_cUryQxJI?t=1,https://youtu.be/x2_cUryQxJI?t=1032,https://www.youtube.com/watch?v=wc9eA1D-kCM,Ksaez,1.0
2020.0,summer,TCL,1,GAL,BJK,BJK,GAL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220206?gameHash=57a1304491d8eedf,https://youtu.be/lw3537ACe_k?t=1,https://youtu.be/lw3537ACe_k?t=602,https://www.youtube.com/watch?v=pxsWAQtzKyM,Novachrono,1.0
2020.0,summer,TCL,1,GS,5R,GS,5R,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220209?gameHash=dd8aa7487409f883,https://youtu.be/i6S5SdMkEaU?t=1,https://youtu.be/i6S5SdMkEaU?t=576,https://www.youtube.com/watch?v=qgEAZESzjt0,Padden,1.0
2020.0,summer,TCL,1,RYL,SUP,SUP,RYL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220214?gameHash=885317cf54bda295,https://youtu.be/EL71OivpwwA?t=1,https://youtu.be/EL71OivpwwA?t=675,https://www.youtube.com/watch?v=igZAgo5EzFU,Kituruken,1.0
2020.0,summer,TCL,1,AUR,FB,FB,AUR,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1230190?gameHash=a0515a1365c33318,https://youtu.be/jFgVRhrJms4?t=1,https://youtu.be/jFgVRhrJms4?t=856,https://www.youtube.com/watch?v=PobUzgdPhwM,Mojito,1.0
2020.0,summer,TCL,1,SUP,IW,IW,SUP,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1230192?gameHash=80ac3ed2062ee495,https://youtu.be/HWj_R3gIuRI?t=1,https://youtu.be/HWj_R3gIuRI?t=867,https://www.youtube.com/watch?v=WfKt4yODPmY,Serin,1.0
2020.0,summer,TCL,1,5R,RYL,RYL,5R,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1230195?gameHash=b15db6236736342a,https://youtu.be/YmSO4hVjx84?t=1,https://youtu.be/YmSO4hVjx84?t=783,https://www.youtube.com/watch?v=sXydrPZPPEs,24,1.0
2020.0,summer,TCL,1,GS,GAL,GAL,GS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1230203?gameHash=205c19725dfd7739&tab=overview,https://youtu.be/Cl5Cb91KsVc?t=1,https://youtu.be/Cl5Cb91KsVc?t=762,https://www.youtube.com/watch?v=TShlYeWsiNE,Luger,1.0
2020.0,summer,TCL,1,BJK,DP,BJK,DP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1230207?gameHash=7485da895784b7c1&tab=overview,https://youtu.be/0De3FuipO5o?t=1,https://youtu.be/0De3FuipO5o?t=800,https://www.youtube.com/watch?v=MX6C3dQzFqY,Rate,1.0
2020.0,summer,TCL,2,FB,SUP,SUP,FB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220789?gameHash=c8c65a265400f580,https://youtu.be/GlhJb6wq24g?t=1,https://youtu.be/GlhJb6wq24g?t=773,https://www.youtube.com/watch?v=I4m_JaUdn6A,Sacre,1.0
2020.0,summer,TCL,2,IW,5R,5R,IW,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220791?gameHash=23622a8840f9732d,https://youtu.be/IxuTKtvbtBI?t=1,https://youtu.be/IxuTKtvbtBI?t=2018,https://www.youtube.com/watch?v=7zxKz2f0Kp8,Kaori,1.0
2020.0,summer,TCL,2,DP,GS,DP,GS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220808?gameHash=7a939ced1f408ba7,https://youtu.be/SJe0PkWeFzw?t=1,https://youtu.be/SJe0PkWeFzw?t=2217,https://www.youtube.com/watch?v=JsXK7WLtuNI,Ksaez,1.0
2020.0,summer,TCL,2,RYL,GAL,GAL,RYL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1220821?gameHash=10013d5911f1c10c,https://youtu.be/bKnH0NieOBE?t=1,https://youtu.be/bKnH0NieOBE?t=663,https://www.youtube.com/watch?v=m5WZMyxNTGE,Luana,1.0
