year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,set_number
2020.0,spring,TPL_a,1,RY.A,SUP.A,,,,,,,1.0
2020.0,spring,TPL_a,1,DP.A,IWC.A,DP.A,IWC.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130294?gameHash=ecf040ad60fa9726&tab=overview,https://youtu.be/27W8UtYDX58?t=1,https://youtu.be/27W8UtYDX58?t=467,https://www.youtube.com/watch?v=TBSso7QngZY,1.0
2020.0,spring,TPL_a,1,FB.A,5R.A,FB.A,5R.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130299?gameHash=499a21480080a722&tab=overview,https://youtu.be/TnyQZhUvrzo?t=1,https://youtu.be/TnyQZhUvrzo?t=440,https://www.youtube.com/watch?v=-XVkUwIFgzA,1.0
2020.0,spring,TPL_a,1,GAL.A,BJK.A,BJK.A,GAL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130306?gameHash=d0e60bf49b6bf008&tab=overview,https://youtu.be/kTNv45z8naw?t=1,https://youtu.be/kTNv45z8naw?t=284,https://www.youtube.com/watch?v=yFEQAvg3nE8,1.0
2020.0,spring,TPL_a,1,5R.A,DP.A,5R.A,DP.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120429?gameHash=436739b9e99a246e&tab=overview,https://youtu.be/UaqVjozZDT8?t=1,https://youtu.be/UaqVjozZDT8?t=432,https://www.youtube.com/watch?v=DSTFs1eUAcA,1.0
2020.0,spring,TPL_a,1,IWC.A,RY.A,RY.A,IWC.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120436?gameHash=58bc4281a76534f3&tab=overview,https://youtu.be/E0NJFB_LMX0?t=1,https://youtu.be/E0NJFB_LMX0?t=472,https://www.youtube.com/watch?v=1edh91Lp808,1.0
2020.0,spring,TPL_a,1,GAL.A,FB.A,FB.A,GAL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120440?gameHash=4b74592ff226c39f&tab=overview,https://youtu.be/T3xDHVEEpNI?t=1,https://youtu.be/T3xDHVEEpNI?t=447,https://www.youtube.com/watch?v=ULKgk9G7FIE,1.0
2020.0,spring,TPL_a,1,AUR.A,SUP.A,SUP.A,AUR.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120447?gameHash=9358d210749ab778&tab=overview,https://youtu.be/0ANAuOG-Bns?t=1,https://youtu.be/0ANAuOG-Bns?t=378,https://www.youtube.com/watch?v=cYYdYVbnW7k,1.0
2020.0,spring,TPL_a,1,RY.A,AUR.A,RY.A,AUR.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130518?gameHash=6764d64a5ef8377e&tab=overview,https://youtu.be/afcYmfVWXIo?t=1,https://youtu.be/afcYmfVWXIo?t=374,https://www.youtube.com/watch?v=AiEcta9mtRo,1.0
2020.0,spring,TPL_a,1,SUP.A,BJK.A,BJK.A,SUP.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120578?gameHash=838a1db0f44411c8&tab=overview,https://youtu.be/GMELQrQXvKY?t=1,https://youtu.be/GMELQrQXvKY?t=376,https://www.youtube.com/watch?v=qFMp3Veu-2c,1.0
2020.0,spring,TPL_a,1,DP.A,GAL.A,DP.A,GAL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120583?gameHash=c542c3368048efd6&tab=overview,https://youtu.be/Nt_Q01dcM5M?t=1,https://youtu.be/Nt_Q01dcM5M?t=385,https://www.youtube.com/watch?v=tDKknq-kJqE,1.0
2020.0,spring,TPL_a,1,IWC.A,5R.A,IWC.A,5R.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120585?gameHash=925d9c523a0b0bdb&tab=overview,https://youtu.be/I60oXIEN6rQ?t=1,https://youtu.be/I60oXIEN6rQ?t=480,https://www.youtube.com/watch?v=nXlYvP7UYGs,1.0
2020.0,spring,TPL_a,1,5R.A,RY.A,5R.A,RY.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130548?gameHash=afd267703d3cbbb1,https://youtu.be/lFLwUMnpfE8?t=1,https://youtu.be/lFLwUMnpfE8?t=492,https://www.youtube.com/watch?v=igwv3VMp0pc,1.0
2020.0,spring,TPL_a,1,FB.A,SUP.A,SUP.A,FB.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130553?gameHash=f4360fb632593491,https://youtu.be/tPr5q8xxUPE?t=1,https://youtu.be/tPr5q8xxUPE?t=433,https://www.youtube.com/watch?v=NTuN-3PPeDk,1.0
2020.0,spring,TPL_a,1,BJK.A,AUR.A,AUR.A,BJK.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130560?gameHash=e1e5bae936585a24,https://youtu.be/j66LbGOmK6Y?t=1,https://youtu.be/j66LbGOmK6Y?t=418,https://www.youtube.com/watch?v=1kZCd7TQ0dU,1.0
2020.0,spring,TPL_a,1,GAL.A,IWC.A,IWC.A,GAL.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130563?gameHash=43a7c73ecd281a63,https://youtu.be/3kUdmj_y1JY?t=1,https://youtu.be/3kUdmj_y1JY?t=496,https://www.youtube.com/watch?v=SQeRps-B7rw,1.0
2020.0,spring,TPL_a,2,AUR.A,FB.A,AUR.A,FB.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400069?gameHash=43aab3a0789f4d1a&tab=overview,https://youtu.be/U3LYZiFQktA?t=1,https://youtu.be/U3LYZiFQktA?t=430,https://www.youtube.com/watch?v=Ux8ozxJPPO8,1.0
2020.0,spring,TPL_a,2,5R.A,GAL.A,5R.A,GAL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400072?gameHash=24013cd5fc5a85dd&tab=overview,https://youtu.be/XkaOXf18L9I?t=1,https://youtu.be/XkaOXf18L9I?t=483,https://www.youtube.com/watch?v=emq9F2SBFvs,1.0
2020.0,spring,TPL_a,2,RY.A,BJK.A,BJK.A,RY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400073?gameHash=3be7fc0fa64947b8&tab=overview,https://youtu.be/eigsug7avrA?t=1,https://youtu.be/eigsug7avrA?t=385,https://www.youtube.com/watch?v=RskGdnSxm_s,1.0
2020.0,spring,TPL_a,2,SUP.A,DP.A,SUP.A,DP.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400077?gameHash=eeb9f59346c52a16&tab=overview,https://youtu.be/srgS6PDx4PU?t=1,https://youtu.be/srgS6PDx4PU?t=209,https://www.youtube.com/watch?v=E4znH_JvUv4,1.0
2020.0,spring,TPL_a,2,FB.A,BJK.A,FB.A,BJK.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400086?gameHash=13050f56c12b9db6&tab=overview,https://youtu.be/v0SM5Jh8vJI?t=1,https://youtu.be/v0SM5Jh8vJI?t=414,https://www.youtube.com/watch?v=trGUVf-uubc,1.0
2020.0,spring,TPL_a,2,GAL.A,RY.A,GAL.A,RY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400091?gameHash=9414d9dc320e0deb,https://youtu.be/li1QgzPKyi4?t=1,https://youtu.be/li1QgzPKyi4?t=449,https://www.youtube.com/watch?v=R3hDpYBLZA8,1.0
2020.0,spring,TPL_a,2,DP.A,AUR.A,AUR.A,DP.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400095?gameHash=dfadbf776ab90192&tab=overviewF,https://youtu.be/rsDeK1ds1Ak?t=1,https://youtu.be/rsDeK1ds1Ak?t=359,https://www.youtube.com/watch?v=dZhtvLvmrNw,1.0
