year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,spring,VCS,1,EHU,CR,https://www.youtube.com/watch?v=ESYLn0MvRP4,1.0
2017.0,spring,VCS,1,,,https://www.youtube.com/watch?v=OoOLRWnIgYs,2.0
2017.0,spring,VCS,1,GAM,FFQ,https://www.youtube.com/watch?v=a95kXJZGDlg,1.0
2017.0,spring,VCS,1,,,https://www.youtube.com/watch?v=Bnd_g6MshvM,2.0
2017.0,spring,VCS,1,UTM,NGE,https://www.youtube.com/watch?v=oEpY2Ouq1RQ,1.0
2017.0,spring,VCS,1,,,https://www.youtube.com/watch?v=UXGR-xRtefA,2.0
2017.0,spring,VCS,1,,,https://www.youtube.com/watch?v=3wSSKEHAGOM,3.0
2017.0,spring,VCS,1,CR,YGE,https://www.youtube.com/watch?v=-qj7Ga8NNx4,1.0
2017.0,spring,VCS,1,,,https://www.youtube.com/watch?v=nOX8sxem_rc,2.0
2017.0,spring,VCS,1,NGE,EHU,https://www.youtube.com/watch?v=VEnJ9Fxpju4,1.0
2017.0,spring,VCS,1,,,https://www.youtube.com/watch?v=h48RF94fd6w,2.0
2017.0,spring,VCS,1,FFQ,UTM,https://www.youtube.com/watch?v=bcrqtMAxumo,1.0
2017.0,spring,VCS,1,,,https://www.youtube.com/watch?v=eV3pJjy-dak,2.0
2017.0,spring,VCS,1,NGE,FFQ,https://www.youtube.com/watch?v=MR0Fllp4pjY,1.0
2017.0,spring,VCS,1,,,https://www.youtube.com/watch?v=di3rxFvKYcw,2.0
2017.0,spring,VCS,1,GAM,YGE,https://www.youtube.com/watch?v=nTmgT9nJ8r0,1.0
2017.0,spring,VCS,1,,,https://www.youtube.com/watch?v=94V5upwTpG4,2.0
2017.0,spring,VCS,2,CR,UTM,https://www.youtube.com/watch?v=nr83D7AjGHY,1.0
2017.0,spring,VCS,2,,,https://www.youtube.com/watch?v=k_eLVUM2SvA,2.0
2017.0,spring,VCS,2,EHU,FFQ,https://www.youtube.com/watch?v=_sfMb_zjyFU,1.0
2017.0,spring,VCS,2,,,https://www.youtube.com/watch?v=forZF8gVHqM,2.0
2017.0,spring,VCS,2,,,https://www.youtube.com/watch?v=6WvyLvWi3V4,3.0
2017.0,spring,VCS,2,NGE,GAM,https://www.youtube.com/watch?v=ywMuvyxSsZE,1.0
2017.0,spring,VCS,2,,,https://www.youtube.com/watch?v=53ekglGKO9g,2.0
2017.0,spring,VCS,2,UTM,YGE,https://www.youtube.com/watch?v=ubBch_1W56c,1.0
2017.0,spring,VCS,2,,,https://www.youtube.com/watch?v=IbTDo1tyFxo,2.0
2017.0,spring,VCS,2,,,https://www.youtube.com/watch?v=jKLpxvrV0Kg,3.0
2017.0,spring,VCS,2,FFQ,YGE,https://www.youtube.com/watch?v=dKy3N4vSM4A,1.0
2017.0,spring,VCS,2,,,https://www.youtube.com/watch?v=iMEWPJePcKU,2.0
2017.0,spring,VCS,2,,,https://www.youtube.com/watch?v=W6Vz_ETcwPk,3.0
2017.0,spring,VCS,2,EHU,GAM,,1.0
2017.0,spring,VCS,2,,,https://www.youtube.com/watch?v=KX1H_8YnWrw,2.0
2017.0,spring,VCS,2,NGE,CR,https://www.youtube.com/watch?v=xv9bequ1hgU,1.0
2017.0,spring,VCS,2,,,https://www.youtube.com/watch?v=llPXE0N-JfQ,2.0
2017.0,spring,VCS,2,,,https://www.youtube.com/watch?v=PQxF_qElJIw,3.0
2017.0,spring,VCS,2,EHU,UTM,https://www.youtube.com/watch?v=Zen7zLM4k9c,1.0
2017.0,spring,VCS,2,,,https://www.youtube.com/watch?v=IOQQDAcdQyw&t=2005s,2.0
2017.0,spring,VCS,2,,,,3.0
2017.0,spring,VCS,3,GAM,CR,https://www.youtube.com/watch?v=mYzq0l9FzfQ,1.0
2017.0,spring,VCS,3,,,https://www.youtube.com/watch?v=DMt9zivNGmg,2.0
2017.0,spring,VCS,3,YGE,NGE,https://www.youtube.com/watch?v=ZNdV1nF9aT0,1.0
2017.0,spring,VCS,3,,,https://www.youtube.com/watch?v=-LLmRyXNYes,2.0
2017.0,spring,VCS,3,,,https://www.youtube.com/watch?v=B8qLy7PZjuA,3.0
2017.0,spring,VCS,3,YGE,EHU,https://www.youtube.com/watch?v=Gv-KpD8Lmtw,1.0
2017.0,spring,VCS,3,,,https://www.youtube.com/watch?v=thR9MMo3R_Q,2.0
2017.0,spring,VCS,3,GAM,UTM,https://www.youtube.com/watch?v=XSc0EyRHGrM,1.0
2017.0,spring,VCS,3,,,https://www.youtube.com/watch?v=LIH1lSnxwCI,2.0
2017.0,spring,VCS,3,,,https://www.youtube.com/watch?v=op6UWotBE8Q,3.0
2017.0,spring,VCS,3,FFQ,CR,https://www.youtube.com/watch?v=cCSgFIYOGlw,1.0
2017.0,spring,VCS,3,,,https://www.youtube.com/watch?v=NiQeXF0nB0g,2.0
2017.0,spring,VCS,3,NGE,UTM,https://www.youtube.com/watch?v=BKD92dJkfHQ,1.0
2017.0,spring,VCS,3,,,https://www.youtube.com/watch?v=d5S5V1mrcQg,2.0
2017.0,spring,VCS,3,,,https://www.youtube.com/watch?v=7wWh_fhPWRo,3.0
2017.0,spring,VCS,3,CR,EHU,https://www.youtube.com/watch?v=I0PfEayX2-s,1.0
2017.0,spring,VCS,3,,,https://www.youtube.com/watch?v=yfKTgm2lMb8,2.0
2017.0,spring,VCS,3,,,https://www.youtube.com/watch?v=EQ6XSBa1iO8,3.0
2017.0,spring,VCS,3,FFQ,GAM,https://www.youtube.com/watch?v=WnPefjqkP_s,1.0
2017.0,spring,VCS,3,,,https://www.youtube.com/watch?v=4d2tjyB9dhc,2.0
2017.0,spring,VCS,3,,,https://www.youtube.com/watch?v=QWK535ae6p8,3.0
2017.0,spring,VCS,4,EHU,NGE,https://www.youtube.com/watch?v=YQJwIrFfvnI,1.0
2017.0,spring,VCS,4,,,https://www.youtube.com/watch?v=yy_1Xto7nbk,2.0
2017.0,spring,VCS,4,,,https://www.youtube.com/watch?v=SsQNNHKfHRM,3.0
2017.0,spring,VCS,4,UTM,FFQ,https://www.youtube.com/watch?v=mW641CTj5E4,1.0
2017.0,spring,VCS,4,,,https://www.youtube.com/watch?v=ZUexUaK5mX8,2.0
2017.0,spring,VCS,4,YGE,CR,https://www.youtube.com/watch?v=MGRWb5fiRYk,1.0
2017.0,spring,VCS,4,,,https://www.youtube.com/watch?v=X3G5OCShJ9c,2.0
2017.0,spring,VCS,4,FFQ,NGE,https://www.youtube.com/watch?v=q5NNgEEov4c,1.0
2017.0,spring,VCS,4,,,https://www.youtube.com/watch?v=T1eOxkXWC7o,2.0
2017.0,spring,VCS,4,UTM,CR,https://www.youtube.com/watch?v=P8ZfpMxw_p8,1.0
2017.0,spring,VCS,4,,,https://www.youtube.com/watch?v=u9BJ24Qm4tE,2.0
2017.0,spring,VCS,4,YGE,GAM,https://www.youtube.com/watch?v=FX7FlhXwtuU,1.0
2017.0,spring,VCS,4,,,https://www.youtube.com/watch?v=aCzGyuE-FWs,2.0
2017.0,spring,VCS,4,,,https://www.youtube.com/watch?v=da-9kOqlmng,3.0
2017.0,spring,VCS,4,YGE,UTM,https://www.youtube.com/watch?v=ZT-WFsOe6kI,1.0
2017.0,spring,VCS,4,,,https://www.youtube.com/watch?v=-tqJbDPeApA,2.0
2017.0,spring,VCS,4,FFQ,EHU,https://www.youtube.com/watch?v=OafcODo6Ji4,1.0
2017.0,spring,VCS,4,,,https://www.youtube.com/watch?v=cDmqZv9EwS0,2.0
2017.0,spring,VCS,4,,,https://www.youtube.com/watch?v=1pp9L_04xVw,3.0
2017.0,spring,VCS,5,GAM,NGE,https://www.youtube.com/watch?v=T-rP4ffT8xM,1.0
2017.0,spring,VCS,5,,,https://www.youtube.com/watch?v=o1ASnYhkiRU,2.0
2017.0,spring,VCS,5,YGE,FFQ,https://www.youtube.com/watch?v=_IqNIs8MGbM,1.0
2017.0,spring,VCS,5,,,https://www.youtube.com/watch?v=JCnU2RYDWck,2.0
2017.0,spring,VCS,5,CR,NGE,https://www.youtube.com/watch?v=HcesfdWsJJE,1.0
2017.0,spring,VCS,5,,,https://www.youtube.com/watch?v=EL1pLiGCH5A,2.0
2017.0,spring,VCS,5,GAM,EHU,https://www.youtube.com/watch?v=SC8UBCL1n4M,1.0
2017.0,spring,VCS,5,,,https://www.youtube.com/watch?v=JGaiOnF4KRg,2.0
2017.0,spring,VCS,5,EHU,UTM,https://www.youtube.com/watch?v=Wq6T_e-5n0A,1.0
2017.0,spring,VCS,5,,,https://www.youtube.com/watch?v=oxjYEtiVKRw,2.0
2017.0,spring,VCS,5,GAM,CR,https://www.youtube.com/watch?v=uS8r2uu1uAw,1.0
2017.0,spring,VCS,5,,,https://www.youtube.com/watch?v=SjqY0EiDVmk,2.0
2017.0,spring,VCS,5,YGE,NGE,https://www.youtube.com/watch?v=zr2V0V7GfNo,1.0
2017.0,spring,VCS,5,,,https://www.youtube.com/watch?v=VfeISyJXVuQ,2.0
2017.0,spring,VCS,5,YGE,EHU,https://www.youtube.com/watch?v=ZIATta2Q0vU,1.0
2017.0,spring,VCS,5,,,https://www.youtube.com/watch?v=IW7pikJYEBo,2.0
2017.0,spring,VCS,5,,,https://www.youtube.com/watch?v=LrTN51Tzq2s,3.0
2017.0,spring,VCS,5,GAM,UTM,https://www.youtube.com/watch?v=DEFxIyPgT8I,1.0
2017.0,spring,VCS,5,,,https://www.youtube.com/watch?v=QUlP8uJJIss,2.0
2017.0,spring,VCS,5,FFQ,CR,https://www.youtube.com/watch?v=RlMXuDmklrU,1.0
2017.0,spring,VCS,5,,,https://www.youtube.com/watch?v=291awgWb2ME,2.0
2017.0,spring,VCS,5,,,https://www.youtube.com/watch?v=b7JT5zYsYmc,3.0
