year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,summer,VCS,1,LG Red,UTM,https://www.youtube.com/watch?v=OOtmtx00EuI,1.0
2017.0,summer,VCS,1,,,https://www.youtube.com/watch?v=-QgTgbP6uzc,2.0
2017.0,summer,VCS,1,GAM,FFQ,https://www.youtube.com/watch?v=Z3yJr84e9D4,1.0
2017.0,summer,VCS,1,,,https://www.youtube.com/watch?v=-5q7WG-oY74,2.0
2017.0,summer,VCS,1,,,https://www.youtube.com/watch?v=CMLNq1ik15g,3.0
2017.0,summer,VCS,1,EHU,CR,https://www.youtube.com/watch?v=IG9xY9WC1oA,1.0
2017.0,summer,VCS,1,,,https://www.youtube.com/watch?v=bnRSmRus-20,2.0
2017.0,summer,VCS,1,YGE,FIG,https://www.youtube.com/watch?v=JgluJoVU16U,1.0
2017.0,summer,VCS,1,,,https://www.youtube.com/watch?v=eDKIDkZWCsU,2.0
2017.0,summer,VCS,1,LG Red,CR,https://www.youtube.com/watch?v=nLrrhwzPF7Y,1.0
2017.0,summer,VCS,1,,,https://www.youtube.com/watch?v=8G_t_Eb8y8g,2.0
2017.0,summer,VCS,1,GAM,FIG,https://www.youtube.com/watch?v=c5MuWrhFjEs,1.0
2017.0,summer,VCS,1,,,https://www.youtube.com/watch?v=rLgEEmV5Heg,2.0
2017.0,summer,VCS,1,UTM,YGE,https://www.youtube.com/watch?v=QMOgQ2MKHXw,1.0
2017.0,summer,VCS,1,,,https://www.youtube.com/watch?v=mWOHHvntfk4,2.0
2017.0,summer,VCS,1,,,https://www.youtube.com/watch?v=0edGyMddZBM,3.0
2017.0,summer,VCS,1,FFQ,EHU,https://www.youtube.com/watch?v=KBosIitI5mU,1.0
2017.0,summer,VCS,1,,,https://www.youtube.com/watch?v=1za2Pqozj8s,2.0
2017.0,summer,VCS,2,FIG,EHU,https://www.youtube.com/watch?v=b0FjwgBQ9os,1.0
2017.0,summer,VCS,2,,,https://www.youtube.com/watch?v=HgYW4ybbceM,2.0
2017.0,summer,VCS,2,LG Red,YGE,https://www.youtube.com/watch?v=r20clIFMNAU,1.0
2017.0,summer,VCS,2,,,https://www.youtube.com/watch?v=LEUXhlSUfpQ,2.0
2017.0,summer,VCS,2,,,https://www.youtube.com/watch?v=JG5qe98wwl4,3.0
2017.0,summer,VCS,2,CR,GAM,https://www.youtube.com/watch?v=sn7mPWsj0YI,1.0
2017.0,summer,VCS,2,,,https://www.youtube.com/watch?v=mpBfMxEnoVo,2.0
2017.0,summer,VCS,2,FFQ,UTM,https://www.youtube.com/watch?v=zshmkl_LOjc,1.0
2017.0,summer,VCS,2,,,https://www.youtube.com/watch?v=GaZjeuDmrFk,2.0
2017.0,summer,VCS,2,CR,FFQ,https://www.youtube.com/watch?v=1KcRv8Ze__s,1.0
2017.0,summer,VCS,2,,,https://www.youtube.com/watch?v=GY0ZT6fBsWs,2.0
2017.0,summer,VCS,2,EHU,UTM,https://www.youtube.com/watch?v=BNNNFjjLvBk,1.0
2017.0,summer,VCS,2,,,https://www.youtube.com/watch?v=0bZERNbYzlc,2.0
2017.0,summer,VCS,2,FIG,LG Red,https://www.youtube.com/watch?v=-t4A6-0FTnM,1.0
2017.0,summer,VCS,2,,,https://www.youtube.com/watch?v=LV2KjruZm-o,2.0
2017.0,summer,VCS,2,YGE,GAM,,1.0
2017.0,summer,VCS,2,,,https://www.youtube.com/watch?v=4eiQNnDF2ZE,2.0
2017.0,summer,VCS,2,,,,3.0
