year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,MVP,set_number
2018.0,summer,VCS,1,FTV,Vikings,FTV,Vikings,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660049?gameHash=c3d178679ae55b24,https://youtu.be/x0115FHHfP8?t=398,https://youtu.be/x0115FHHfP8?t=912,Knight,1.0
2018.0,summer,VCS,1,,,Vikings,FTV,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660066?gameHash=c974209697f84598,https://youtu.be/CIxyqomJJWs?t=1820,https://youtu.be/CIxyqomJJWs?t=2284,Victory,2.0
2018.0,summer,VCS,1,FFQ,CR,FFQ,CR,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660073?gameHash=2bddfa697dc13b55,https://youtu.be/fcXZXl6ZMZ8?t=288,https://youtu.be/fcXZXl6ZMZ8?t=1070,Artifact,1.0
2018.0,summer,VCS,1,,,CR,FFQ,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660090?gameHash=be0d325f68fff494,https://youtu.be/zUtG1ADpcdY?t=454,https://youtu.be/zUtG1ADpcdY?t=898,Venus,2.0
2018.0,summer,VCS,1,GAM,ADN,GAM,ADN,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1670165?gameHash=d2e99b1aa9fe615a,https://youtu.be/4fvr1DM6kbo?t=400,https://youtu.be/4fvr1DM6kbo?t=907,EasyLove,1.0
2018.0,summer,VCS,1,,,ADN,GAM,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1670193?gameHash=9030ffbe4a44ed5b,https://youtu.be/FBSWZF_yuFM?t=283,https://youtu.be/FBSWZF_yuFM?t=760,EasyLove,2.0
2018.0,summer,VCS,1,PVB,EVS,PVB,EVS,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1670222?gameHash=4bacd68a600c71b5,https://youtu.be/0d-kPLwNyDw?t=322,https://youtu.be/0d-kPLwNyDw?t=729,Meliodas,1.0
2018.0,summer,VCS,1,,,EVS,PVB,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1670223?gameHash=2e20773019ac46da,https://youtu.be/OXuv1SvURCs?t=232,https://youtu.be/OXuv1SvURCs?t=640,YiJin,2.0
2018.0,summer,VCS,1,,,PVB,EVS,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1670229?gameHash=a8a9a46a792381a5&tab=overview,https://youtu.be/VeFmiMm3-lc?t=235,https://youtu.be/VeFmiMm3-lc?t=662,Palette,3.0
2018.0,summer,VCS,1,CR,FTV,CR,FTV,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660190?gameHash=33e81574c8bdf223,https://youtu.be/AAkNbpUzx8M?t=292,https://youtu.be/AAkNbpUzx8M?t=762,ClearG,1.0
2018.0,summer,VCS,1,,,FTV,CR,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660207?gameHash=f0f5d821b50417af,https://youtu.be/EslP7wYl_Bo?t=240,https://youtu.be/EslP7wYl_Bo?t=685,ClearG,2.0
2018.0,summer,VCS,1,Vikings,GAM,Vikings,GAM,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660254?gameHash=39e8fa97ba08a0df,https://youtu.be/qcInc69qCck?t=346,https://youtu.be/qcInc69qCck?t=872,Archie,1.0
2018.0,summer,VCS,1,,,GAM,Vikings,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1670343?gameHash=f7f40ad7caabb022,https://youtu.be/FHs5gSDjqjw?t=179,https://youtu.be/FHs5gSDjqjw?t=663,Kiaya,2.0
2018.0,summer,VCS,1,ADN,PVB,ADN,PVB,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660343?gameHash=c34921b695ac2bc0,https://youtu.be/0pn5GNxFISo?t=349,https://youtu.be/0pn5GNxFISo?t=809,Palette,1.0
2018.0,summer,VCS,1,,,PVB,ADN,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660386?gameHash=0af8db60b515a0b5,https://youtu.be/7XW8z7sPFdY?t=179,https://youtu.be/7XW8z7sPFdY?t=629,EasyLove,2.0
2018.0,summer,VCS,1,,,ADN,PVB,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660397?gameHash=680b5dc563fe8658,https://youtu.be/O_9WlaRrOIQ?t=148,https://youtu.be/O_9WlaRrOIQ?t=633,Zeros,3.0
2018.0,summer,VCS,1,EVS,FFQ,EVS,FFQ,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660427?gameHash=0c2c485f0ecce40b,https://youtu.be/HOfsUKSnFQI?t=319,https://youtu.be/HOfsUKSnFQI?t=789,Stark,1.0
2018.0,summer,VCS,1,,,FFQ,EVS,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660445?gameHash=af0dca0b298a1ed8,https://youtu.be/ZRHkz1gF4Jg?t=180,https://youtu.be/ZRHkz1gF4Jg?t=610,Artifact,2.0
2018.0,summer,VCS,1,,,EVS,FFQ,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660465?gameHash=124a28d27b2a8369,https://youtu.be/xLY0QwKDWd0?t=130,https://youtu.be/xLY0QwKDWd0?t=730,Artifact,3.0
2018.0,summer,VCS,2,FTV,GAM,FTV,GAM,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1710358?gameHash=026f2d3be44f7e52&tab=overview,https://youtu.be/Mb3WNAf4lhU?t=323,https://youtu.be/Mb3WNAf4lhU?t=820,Kiaya,1.0
2018.0,summer,VCS,2,,,GAM,FTV,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1710386?gameHash=8a54320771ccfbd4&tab=overview,https://youtu.be/uE-FtQ6KevY?t=190,https://youtu.be/uE-FtQ6KevY?t=738,Noway,2.0
