year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,MVP,set_number
2020.0,spring,VCS,1,FL,EVS,FL,EVS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271443?gameHash=e61923f1effb0c1e,https://www.youtube.com/watch?v=9duUIC84IaA&t=564s,https://youtu.be/9duUIC84IaA?t=1374,https://youtu.be/cBq90GgpBIg?t=10,Divkid,1.0
2020.0,spring,VCS,1,,,EVS,FL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271446?gameHash=3d2238fd631a56e8,https://youtu.be/xbLN7djLICU?t=94,https://youtu.be/xbLN7djLICU?t=610,https://youtu.be/vgl-5gX7Vbg?t=10,Slayder,2.0
2020.0,spring,VCS,1,,,FL,EVS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271447?gameHash=3d65944e5c283f55,https://youtu.be/o1OYC6B-iek?t=234,https://youtu.be/o1OYC6B-iek?t=721,https://youtu.be/a5Ei4QwSKJ4?t=10,Divkid,3.0
2020.0,spring,VCS,1,GAM,CES,GAM,CES,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271458?gameHash=6eb722ed67737852,https://youtu.be/jtz7T00T86A?t=313,https://youtu.be/jtz7T00T86A?t=806,https://youtu.be/5VNuCvVGIxM?t=10,Kiaya,1.0
2020.0,spring,VCS,1,,,CES,GAM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271463?gameHash=143fb847a851bffa,https://youtu.be/zrSSq8-8cHM?t=130,https://youtu.be/zrSSq8-8cHM?t=488,https://youtu.be/Gx4vUYShFHQ?t=10,Levi,2.0
2020.0,spring,VCS,1,VGA,DBL,VGA,DBL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271494?gameHash=bd51798e1358c47f,https://youtu.be/qG8Zu2UNw4c?t=335,https://youtu.be/qG8Zu2UNw4c?t=747,https://youtu.be/XN2fS3qJ2T0?t=10,CHP,1.0
2020.0,spring,VCS,1,,,DBL,VGA,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271495?gameHash=0d828bbc9aa9996c,https://youtu.be/cbqFQZCbSM8?t=110,https://youtu.be/cbqFQZCbSM8?t=581,https://youtu.be/jqrXVu26vhk?t=10,Meliodas,2.0
2020.0,spring,VCS,1,,,VGA,DBL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271497?gameHash=bd4810bb801abf24,https://youtu.be/pULFdZIBZM8?t=153,https://youtu.be/pULFdZIBZM8?t=626,https://youtu.be/rY-v_y3778Q?t=10,PHT,3.0
2020.0,spring,VCS,1,LK,FTV,LK,FTV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271500?gameHash=abbdae6c3e7b4006,https://youtu.be/6_xDCO8Jj0o?t=334,https://youtu.be/6_xDCO8Jj0o?t=771,https://youtu.be/jjOHIOj4RdE?t=10,Celebrity,1.0
2020.0,spring,VCS,1,,,FTV,LK,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271505?gameHash=7c970a84e132a578,https://youtu.be/j3ua6GqqYJA?t=112,https://youtu.be/j3ua6GqqYJA?t=639,https://youtu.be/ObiiAQvfF4A?t=10,Celebrity,2.0
2020.0,spring,VCS,1,DBL,LK,DBL,LK,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1261474?gameHash=e6c01a288de5dc41,https://youtu.be/rv9qWaQVFEs?t=336,https://youtu.be/rv9qWaQVFEs?t=758,https://youtu.be/_HxoayJfTKc?t=10,Naul,1.0
2020.0,spring,VCS,1,,,LK,DBL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1261475?gameHash=c984e795d6406cd5,https://youtu.be/Yv5dcDU5eIQ?t=118,https://youtu.be/Yv5dcDU5eIQ?t=569,https://youtu.be/f3-2N1VrnwY?t=10,Naul,2.0
2020.0,spring,VCS,1,FTV,FL,FTV,FL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1261482?gameHash=f2283324f82caa66,https://youtu.be/e4Ev3m_wbVU?t=281,https://youtu.be/e4Ev3m_wbVU?t=742,https://youtu.be/u4hmCdPfC4A?t=10,Slayder,1.0
2020.0,spring,VCS,1,,,FL,FTV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1261488?gameHash=6517011920487fbf&tab=overview,https://youtu.be/iPKYOcMR5Mw?t=930,https://youtu.be/iPKYOcMR5Mw?t=1216,https://youtu.be/7F1Bwr8JxgQ?t=10,Slayder,2.0
2020.0,spring,VCS,2,CES,VGA,CES,VGA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1303619?gameHash=2e2f2ff9c6a32595&tab=overview,https://youtu.be/WbCW9yBem2s?t=443,https://youtu.be/WbCW9yBem2s?t=861,https://youtu.be/AZo2KuYMgqM?t=10,Yado,1.0
2020.0,spring,VCS,2,,,VGA,CES,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1303626?gameHash=3bba86d0f9ff1d11&tab=overview,https://youtu.be/yi0V4KyuW58?t=113,https://youtu.be/yi0V4KyuW58?t=600,https://youtu.be/KJlSBG0aJ_4?t=10,PHT,2.0
2020.0,spring,VCS,2,,,CES,VGA,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1303641?gameHash=25ffa91aeb9ed707,https://youtu.be/u_ts2WCPh4E?t=99,https://youtu.be/u_ts2WCPh4E?t=580,https://youtu.be/Ihz14T4Vdx0?t=10,Yado,3.0
2020.0,spring,VCS,2,EVS,GAM,EVS,GAM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1303655?gameHash=4ff2ebbe72e635bb,https://youtu.be/ZBY4_qEmv4Q?t=402,https://youtu.be/ZBY4_qEmv4Q?t=878,https://youtu.be/fxAUh8FoE2M?t=10,Dia1,1.0
2020.0,spring,VCS,2,,,GAM,EVS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1303666?gameHash=a30e98d241d22eef,https://youtu.be/eGBMbI40CAQ?t=151,https://youtu.be/eGBMbI40CAQ?t=610,https://youtu.be/2OQjVlojtw4?t=10,Dia1,2.0
2020.0,spring,VCS,2,LK,CES,LK,CES,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304111?gameHash=64ded61e41c18ccd,https://youtu.be/LjVCfh3CZBY?t=277,https://youtu.be/LjVCfh3CZBY?t=766,https://youtu.be/5IkW_eXKqeg?t=10,Ronop,1.0
2020.0,spring,VCS,2,,,CES,LK,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304158?gameHash=62b9c13c8cecf652,https://youtu.be/9yPSkOtcRts?t=29,https://youtu.be/9yPSkOtcRts?t=487,https://youtu.be/2gnn1n6msfM?t=10,Celebrity,2.0
2020.0,spring,VCS,2,,,LK,CES,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304165?gameHash=c34ae80c4ee8c7bd,https://youtu.be/HFv6PERYVxE?t=110,https://youtu.be/HFv6PERYVxE?t=508,https://youtu.be/JY7QbdugfzM?t=10,Artifact,3.0
2020.0,spring,VCS,2,VGA,EVS,VGA,EVS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304193?gameHash=fe234e8ca7d2343f,https://youtu.be/o1YtnzPyva8?t=183,https://youtu.be/o1YtnzPyva8?t=707,https://youtu.be/IfDBxiUIM_Y?t=10,Sorn,1.0
2020.0,spring,VCS,2,,,EVS,VGA,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304223?gameHash=7c70a52e69b01c56,https://youtu.be/OYB2iugO9rI?t=234,https://youtu.be/OYB2iugO9rI?t=682,https://youtu.be/t_C5ephOp4E?t=10,Sorn,2.0
2020.0,spring,VCS,2,FL,GAM,FL,GAM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304487?gameHash=0d5d1e4e719e8c46&tab=overview,https://youtu.be/Z46I_zPQ0Bc?t=463,https://youtu.be/Z46I_zPQ0Bc?t=957,https://youtu.be/A2wZ7f9wsjY?t=10,Dia1,1.0
2020.0,spring,VCS,2,,,GAM,FL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304504?gameHash=fda4895c0bea1e8a&tab=overview,https://youtu.be/mcq41GvYkOE?t=165,https://youtu.be/mcq41GvYkOE?t=559,https://youtu.be/9CjHl-Xt0wE?t=10,Yijin,2.0
2020.0,spring,VCS,2,,,FL,GAM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304521?gameHash=b70af7bde6c54520&tab=overview,https://youtu.be/TqxdhQO6nl0?t=710,https://youtu.be/TqxdhQO6nl0?t=1144,https://youtu.be/Z3UYU9nBjRY?t=10,Yoshino,3.0
2020.0,spring,VCS,2,FTV,DBL,FTV,DBL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304544?gameHash=b14635dac9add7b4&tab=overview,https://youtu.be/faO8JZX7oYk?t=299,https://youtu.be/faO8JZX7oYk?t=768,https://youtu.be/L37bcQzWqDU?t=10,Bigkoro,1.0
2020.0,spring,VCS,2,,,DBL,FTV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304574?gameHash=a5dcde67b90f29e3&tab=overview,https://youtu.be/J_FtEhdPBzw?t=105,https://youtu.be/J_FtEhdPBzw?t=759,https://youtu.be/kyg3QJicix0?t=10,Naul,2.0
2020.0,spring,VCS,3,CES,FTV,CES,FTV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306129?gameHash=b217b8e2856a6ed3,https://youtu.be/0ZGOU30NsOE?t=563,https://youtu.be/0ZGOU30NsOE?t=1039,https://youtu.be/Z-BdvkbdeGs?t=10,Yado,1.0
