year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,MVP,set_number
2020.0,summer,VCS,1,SGB,OPG,SGB,OPG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381671?gameHash=e427e899242e3fdf,https://youtu.be/fERDKZNNikk?t=327,https://youtu.be/fERDKZNNikk?t=792,https://www.youtube.com/watch?v=05uHE3HrZ4Y,Hasmed,1.0
2020.0,summer,VCS,1,,,OPG,SGB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381673?gameHash=d4e55fd28967546f,https://youtu.be/wAxaYH7xVwo?t=103,https://youtu.be/wAxaYH7xVwo?t=568,https://www.youtube.com/watch?v=kdnJa5fsNWw,DK,2.0
2020.0,summer,VCS,1,,,SGB,OPG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381676?gameHash=709a8e1b92f2cc1b,https://youtu.be/2-lQePTSi08?t=96,https://youtu.be/2-lQePTSi08?t=553,https://www.youtube.com/watch?v=CQhcIg9DUbE,PHT,3.0
2020.0,summer,VCS,1,FL,PER,FL,PER,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381707?gameHash=3db61deefaf2b47f,https://youtu.be/_pnjuOg6mDI?t=282,https://youtu.be/_pnjuOg6mDI?t=759,https://www.youtube.com/watch?v=ZhfbbgYTZhM,Glory,1.0
2020.0,summer,VCS,1,,,PER,FL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381725?gameHash=7efd583522e2c157,https://youtu.be/oHRzlAx11l8?t=52,https://youtu.be/oHRzlAx11l8?t=540,https://www.youtube.com/watch?v=OIBtg7_Xdh8,yT,2.0
2020.0,summer,VCS,1,TS,CES,TS,CES,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381935?gameHash=64dfb61e490f95c6,https://youtu.be/UXUNyG_5Q3E?t=364,https://youtu.be/UXUNyG_5Q3E?t=766,https://www.youtube.com/watch?v=0Pc5tH-mC04,Yado,1.0
2020.0,summer,VCS,1,,,CES,TS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381936?gameHash=2e8a093c15fb0083,https://youtu.be/S9udpXLjw0Q?t=97,https://youtu.be/S9udpXLjw0Q?t=585,https://www.youtube.com/watch?v=P1hextDDVoY,LL,2.0
2020.0,summer,VCS,1,GAM,EVS,GAM,EVS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381947?gameHash=674f455272d774f5,https://youtu.be/bvZw_f-vqrs?t=300,https://youtu.be/bvZw_f-vqrs?t=833,https://www.youtube.com/watch?v=hce9fAoz7VM,Kiaya,1.0
2020.0,summer,VCS,1,,,EVS,GAM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381972?gameHash=2a03961988412678,https://youtu.be/CJAQGjvSwgE?t=131,https://youtu.be/CJAQGjvSwgE?t=561,https://www.youtube.com/watch?v=WG0cAjTwtPY,Divkid,2.0
2020.0,summer,VCS,1,,,GAM,EVS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1381980?gameHash=d5e89948d164be59,https://youtu.be/Wjoz_bzLAfQ?t=89,https://youtu.be/Wjoz_bzLAfQ?t=549,https://www.youtube.com/watch?v=QuUOz1xIU4Y,Levi,3.0
2020.0,summer,VCS,1,CES,FL,CES,FL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1382193?gameHash=acf43658d5fc186a,https://youtu.be/d7CFC87YnKU?t=354,https://youtu.be/d7CFC87YnKU?t=787,https://www.youtube.com/watch?v=zahLo7CpZPQ,Xuhao,1.0
2020.0,summer,VCS,1,,,FL,CES,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1382199?gameHash=4ad0666e2f5e70f2,https://youtu.be/gMyGg6_yFBU?t=203,https://youtu.be/gMyGg6_yFBU?t=679,https://www.youtube.com/watch?v=_g4MFEroGKI,Ronop,2.0
2020.0,summer,VCS,1,EVS,TS,EVS,TS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1382224?gameHash=5925facd00556aba,https://youtu.be/PVANS--cTpI?t=251,https://youtu.be/PVANS--cTpI?t=740,https://www.youtube.com/watch?v=_3N-eJkx1oQ,DNK,1.0
2020.0,summer,VCS,1,,,TS,EVS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1382250?gameHash=a0e3f00cb2b69ca7,https://youtu.be/WGUrMWwUPVg?t=141,https://youtu.be/WGUrMWwUPVg?t=581,https://www.youtube.com/watch?v=mEyX80vb9TY,CBL,2.0
2020.0,summer,VCS,2,OPG,GAM,OPG,GAM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1384460?gameHash=217f7c75231956a7,https://youtu.be/2Mg52bzaoCk?t=410,https://youtu.be/2Mg52bzaoCk?t=844,https://www.youtube.com/watch?v=aqX8KTCu7DM,Dia1,1.0
2020.0,summer,VCS,2,,,GAM,OPG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1384466?gameHash=e19c05aa27c80c2a,https://youtu.be/9dpupSbo6-8?t=196,https://youtu.be/9dpupSbo6-8?t=686,https://www.youtube.com/watch?v=LzUbZyPd4OE,Vit,2.0
2020.0,summer,VCS,2,,,OPG,GAM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1384488?gameHash=bccba493f1b013bf,https://youtu.be/uzpBVgbIrFg?t=143,https://youtu.be/uzpBVgbIrFg?t=546,https://www.youtube.com/watch?v=gJ6cFanTTCU,Levi,3.0
2020.0,summer,VCS,2,PER,SGB,PER,SGB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1384512?gameHash=7da9642ab6ee269c,https://youtu.be/6Keepajywe4?t=535,https://youtu.be/6Keepajywe4?t=1005,https://www.youtube.com/watch?v=WR1rvBIfzlg,Froggy,1.0
2020.0,summer,VCS,2,,,SGB,PER,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1384547?gameHash=435cfd127706cff5,https://youtu.be/FgbEwkR9VK4?t=202,https://youtu.be/FgbEwkR9VK4?t=694,https://www.youtube.com/watch?v=tFtP581DmkY,Hasmed,2.0
2020.0,summer,VCS,2,GAM,PER,GAM,PER,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1394712?gameHash=e26e17e87f38341e,https://youtu.be/PuHSfRivVT8?t=349,https://youtu.be/PuHSfRivVT8?t=855,https://www.youtube.com/watch?v=uWJj6wPSvhk,yT,1.0
2020.0,summer,VCS,2,,,PER,GAM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1394734?gameHash=0d1a3e845b3c5513,https://youtu.be/kaKBiH28GwY?t=139,https://youtu.be/kaKBiH28GwY?t=526,https://www.youtube.com/watch?v=pdFaulIZShw,Bigkoro,2.0
2020.0,summer,VCS,2,TS,OPG,TS,OPG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1394758?gameHash=d6c8dfa461a0dd95,https://youtu.be/shY5GBXGaLs?t=269,https://youtu.be/shY5GBXGaLs?t=721,https://www.youtube.com/watch?v=Q9aYzj1cjYc,Artifact,1.0
2020.0,summer,VCS,2,,,OPG,TS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1394776?gameHash=fce1abc2a5809c5a,https://youtu.be/3sh8Fl_hMG8?t=122,https://youtu.be/3sh8Fl_hMG8?t=570,https://www.youtube.com/watch?v=tQe74fCkf9A,Coated,2.0
2020.0,summer,VCS,2,FL,SGB,FL,SGB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1395057?gameHash=af2a108f248482d6,https://youtu.be/5n8UGHERzx4?t=405,https://youtu.be/5n8UGHERzx4?t=860,https://www.youtube.com/watch?v=7eUzZC2Rsu4,EGO,1.0
2020.0,summer,VCS,2,,,SGB,FL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1395091?gameHash=2e0e45dcdebb1d4f,https://youtu.be/e3ebIbxYE9g?t=143,https://youtu.be/e3ebIbxYE9g?t=600,https://www.youtube.com/watch?v=KaQm1dXID2M,Slayder,2.0
2020.0,summer,VCS,2,CES,EVS,CES,EVS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1395118?gameHash=b7ba872afd716ab0,https://youtu.be/OFMNlbzWFP0?t=274,https://youtu.be/OFMNlbzWFP0?t=752,https://www.youtube.com/watch?v=9nsJj_RV_BU,Artemis,1.0
2020.0,summer,VCS,2,,,EVS,CES,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1395132?gameHash=959c2bb193e877cd,https://youtu.be/av7Eaimk0eU?t=92,https://youtu.be/av7Eaimk0eU?t=556,https://www.youtube.com/watch?v=YaIJ4iL1NNQ,Xuhao,2.0
2020.0,summer,VCS,3,OPG,CES,OPG,CES,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1411285?gameHash=be1e1fbfa259e7b4,https://youtu.be/hYyLBNIgkTA?t=788,https://youtu.be/hYyLBNIgkTA?t=1200,https://www.youtube.com/watch?v=TVuyN5bZji4,Xuhao,1.0
