year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,spring,BL,3,Aethra,Timeout Esports,1.0,OK,2/4/2020,ATR,Tuomarí,Sylas,blue,4/4/4,3,1,○fb,12.6k,0.1k,11.7k,0.8k,133.0k,8.1k,119.8k,5.1k,-,7.1k,3.5k,5.2k,23.5k,13.1k,9.5k,0.9k,17,3,-,8,11.2k,9.8k,199,8,1,-
2020.0,spring,BL,3,Aethra,Timeout Esports,1.0,OK,2/4/2020,ATR,kpd,LeeSin,blue,1/2/7,1,1,○fb,6.8k,5.3k,1.0k,0.5k,150.6k,114.5k,27.6k,8.5k,-,12.9k,0.0k,7.0k,21.4k,13.2k,7.7k,0.6k,10,3,-,3,8.8k,7.4k,20,129,110,-
2020.0,spring,BL,3,Aethra,Timeout Esports,1.0,OK,2/4/2020,ATR,Seem,Syndra,blue,3/2/5,2,1,○fb,15.5k,0.9k,14.1k,0.5k,164.3k,13.6k,146.5k,4.3k,-,10.3k,5.0k,2.3k,10.6k,4.5k,5.5k,0.5k,15,6,-,8,12.5k,12.0k,256,26,21,1
2020.0,spring,BL,3,Aethra,Timeout Esports,1.0,OK,2/4/2020,ATR,Lunar,Senna,blue,4/1/4,4,3,○fb,8.9k,8.3k,0.0k,0.6k,126.5k,119.0k,0.0k,7.5k,420,1.7k,0.0k,7.2k,7.5k,5.8k,1.6k,0.0k,11,5,-,7,11.4k,10.0k,229,4,4,-
2020.0,spring,BL,3,Aethra,Timeout Esports,1.0,OK,2/4/2020,ATR,Gaax,Thresh,blue,0/4/7,0,0,○fb,2.5k,0.2k,1.9k,0.4k,23.2k,6.7k,7.0k,9.4k,-,4.5k,0.6k,0.0k,10.0k,4.7k,4.6k,0.8k,46,6,-,18,6.2k,5.3k,37,-,-,-
2020.0,spring,BL,3,Aethra,Timeout Esports,1.0,OK,2/4/2020,TO,Tobio rapido,Ornn,red,1/2/7,1,1,○fb,10.3k,3.9k,6.4k,0.0k,117.8k,64.6k,44.5k,8.7k,-,10.9k,3.8k,3.0k,18.8k,11.1k,6.3k,1.4k,16,6,-,7,9.8k,9.5k,188,-,-,-
2020.0,spring,BL,3,Aethra,Timeout Esports,1.0,OK,2/4/2020,TO,Valyrian,Olaf,red,5/3/3,3,1,○fb,9.4k,6.8k,0.0k,2.5k,180.0k,143.3k,5.1k,31.5k,-,34.4k,1.1k,13.7k,25.5k,13.8k,11.4k,0.3k,8,11,-,7,11.3k,11.2k,49,167,105,8
2020.0,spring,BL,3,Aethra,Timeout Esports,1.0,OK,2/4/2020,TO,Dragflick,Rumble,red,2/4/6,2,1,○fb,15.5k,0.4k,15.1k,0.0k,99.1k,10.4k,87.2k,1.4k,-,6.4k,0.9k,4.1k,18.3k,9.1k,8.9k,0.3k,12,6,-,8,9.3k,9.1k,161,8,4,4
2020.0,spring,BL,3,Aethra,Timeout Esports,1.0,OK,2/4/2020,TO,Slyv3r,Xayah,red,4/1/7,3,2,●fb,7.2k,6.9k,0.3k,0.0k,212.7k,209.4k,2.1k,1.3k,817,24.4k,12.4k,0.6k,3.7k,2.1k,1.4k,0.3k,11,10,-,3,14.0k,12.3k,260,32,24,5
2020.0,spring,BL,3,Aethra,Timeout Esports,1.0,OK,2/4/2020,TO,Drawleks,Rakan,red,1/2/10,1,1,○fb,5.1k,0.6k,4.3k,0.2k,27.7k,9.7k,13.0k,5.0k,-,5.8k,2.3k,1.5k,7.2k,3.5k,3.2k,0.5k,48,14,-,14,7.7k,7.4k,33,1,1,-
2020.0,spring,BL,7,Aethra,Timeout Esports,1.0,OK,3/3/2020,TO,Tobio rapido,Ornn,blue,4/4/12,2,1,○fb,24.1k,6.3k,15.2k,2.6k,171.3k,73.3k,87.7k,10.3k,-,3.9k,1.0k,5.7k,31.1k,23.9k,6.5k,0.6k,14,6,-,3,13.3k,12.4k,192,18,5,8
2020.0,spring,BL,7,Aethra,Timeout Esports,1.0,OK,3/3/2020,TO,Valyrian,Trundle,blue,6/5/8,2,1,○fb,15.1k,7.8k,5.4k,1.9k,194.6k,125.2k,52.8k,16.5k,41,37.0k,3.6k,28.4k,52.8k,37.0k,14.1k,1.7k,7,16,-,9,14.7k,12.9k,58,169,108,12
2020.0,spring,BL,7,Aethra,Timeout Esports,1.0,OK,3/3/2020,TO,Dragflick,Rumble,blue,5/4/11,2,1,○fb,33.2k,0.9k,31.0k,1.4k,227.0k,19.5k,198.2k,9.3k,-,11.8k,6.2k,9.2k,29.0k,15.4k,13.3k,0.3k,17,3,-,6,16.6k,15.2k,272,22,14,-
2020.0,spring,BL,7,Aethra,Timeout Esports,1.0,OK,3/3/2020,TO,Slyv3r,Xayah,blue,7/5/10,4,2,●fb,42.3k,37.1k,2.3k,2.8k,259.5k,246.8k,4.2k,8.5k,994,32.5k,5.2k,3.3k,21.3k,10.0k,10.9k,0.4k,12,10,-,4,17.1k,15.0k,251,39,21,7
2020.0,spring,BL,7,Aethra,Timeout Esports,1.0,OK,3/3/2020,TO,Drawleks,Rakan,blue,1/5/18,1,1,○fb,12.7k,1.8k,6.5k,4.3k,33.1k,8.4k,15.7k,8.9k,-,2.0k,0.6k,9.3k,22.0k,11.1k,10.3k,0.5k,54,20,-,17,10.3k,9.2k,45,-,-,-
2020.0,spring,BL,7,Aethra,Timeout Esports,1.0,OK,3/3/2020,ATR,Tuomarí,Aatrox,red,4/5/10,2,1,○fb,27.0k,26.7k,0.0k,0.3k,228.4k,227.8k,0.0k,0.6k,-,16.4k,7.3k,23.7k,52.4k,27.7k,13.8k,10.9k,22,3,-,8,14.8k,13.8k,240,42,23,12
2020.0,spring,BL,7,Aethra,Timeout Esports,1.0,OK,3/3/2020,ATR,kpd,Sejuani,red,6/8/13,3,2,○fb,14.0k,7.1k,4.4k,2.5k,169.4k,80.1k,82.1k,7.2k,-,13.9k,0.1k,8.0k,54.1k,34.3k,16.9k,2.9k,29,10,-,9,12.6k,12.2k,36,137,111,1
2020.0,spring,BL,7,Aethra,Timeout Esports,1.0,OK,3/3/2020,ATR,Seem,Vladimir,red,4/3/11,4,2,○fb,28.1k,1.7k,26.2k,0.1k,236.9k,25.5k,206.7k,4.8k,-,10.8k,2.1k,32.1k,42.1k,20.2k,20.8k,1.1k,15,4,-,9,14.7k,14.2k,287,19,11,1
2020.0,spring,BL,7,Aethra,Timeout Esports,1.0,OK,3/3/2020,ATR,Lunar,Ezreal,red,7/4/6,2,2,○fb,35.9k,29.0k,6.4k,0.5k,245.5k,207.4k,22.6k,15.5k,-,28.5k,6.9k,1.1k,22.2k,10.3k,11.1k,0.8k,14,6,-,6,14.9k,14.1k,272,17,9,-
2020.0,spring,BL,7,Aethra,Timeout Esports,1.0,OK,3/3/2020,ATR,Gaax,Yuumi,red,2/3/18,2,1,○fb,15.4k,0.9k,14.4k,0.1k,28.4k,2.9k,25.4k,0.1k,-,2.2k,0.9k,27.7k,7.6k,4.4k,2.7k,0.6k,46,5,-,16,8.8k,7.8k,11,-,-,-
