year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,summer,BL,3,Aethra,RSCA,1.0,OK,6/16/2020,AND,KeABambi,Kled,blue,3/4/5,3,1,○fb,13.1k,13.0k,0.0k,0.1k,186.1k,186.0k,0.0k,0.1k,-,3.9k,3.7k,5.4k,31.4k,13.2k,10.2k,8.1k,11,2,-,-,13.2k,13.1k,240,12,12,-
2020.0,summer,BL,3,Aethra,RSCA,1.0,OK,6/16/2020,AND,Findus,JarvanIV,blue,4/9/5,2,1,●fb,8.9k,5.8k,2.2k,1.0k,151.6k,77.8k,56.1k,17.7k,-,21.0k,0.7k,7.1k,37.4k,18.3k,16.5k,2.6k,14,12,-,13,10.5k,10.3k,26,126,90,4
2020.0,summer,BL,3,Aethra,RSCA,1.0,OK,6/16/2020,AND,Taz,Galio,blue,2/7/6,2,1,○fb,21.3k,0.1k,21.0k,0.2k,172.0k,4.0k,167.8k,0.2k,-,0.9k,0.0k,1.0k,25.7k,16.5k,6.5k,2.7k,9,14,-,6,11.8k,11.6k,232,2,2,-
2020.0,summer,BL,3,Aethra,RSCA,1.0,OK,6/16/2020,AND,Saitam,Ezreal,blue,0/4/3,0,0,○fb,20.1k,11.3k,8.1k,0.7k,246.4k,210.3k,21.2k,15.0k,-,3.2k,1.8k,1.0k,24.3k,12.3k,9.5k,2.5k,13,12,-,6,13.5k,13.3k,314,28,24,-
2020.0,summer,BL,3,Aethra,RSCA,1.0,OK,6/16/2020,AND,Ionï,Yuumi,blue,0/4/5,0,0,○fb,9.4k,0.1k,9.3k,0.0k,18.8k,5.2k,13.6k,0.0k,-,1.1k,0.6k,16.9k,7.4k,4.2k,3.1k,0.1k,36,2,-,10,6.5k,5.8k,3,-,-,-
2020.0,summer,BL,3,Aethra,RSCA,1.0,OK,6/16/2020,ATR,Tuomarí,Renekton,red,7/2/10,7,1,○fb,23.9k,18.4k,3.0k,2.5k,232.3k,219.2k,7.2k,5.8k,-,22.0k,6.3k,12.1k,31.7k,21.3k,10.2k,0.2k,26,7,-,13,16.9k,15.0k,288,28,12,8
2020.0,summer,BL,3,Aethra,RSCA,1.0,OK,6/16/2020,ATR,Goksi,LeeSin,red,8/1/19,4,1,○fb,22.8k,18.4k,1.8k,2.5k,225.7k,159.5k,40.1k,26.1k,-,31.7k,3.9k,13.7k,28.8k,16.2k,12.3k,0.3k,24,10,-,12,15.4k,13.5k,44,158,102,7
2020.0,summer,BL,3,Aethra,RSCA,1.0,OK,6/16/2020,ATR,Mikkel,Leblanc,red,9/0/9,9,2,○fb,29.6k,3.3k,20.5k,5.7k,209.7k,30.1k,173.4k,6.1k,-,12.1k,6.1k,6.6k,15.6k,8.9k,6.5k,0.1k,10,7,-,8,16.6k,12.3k,278,28,20,4
2020.0,summer,BL,3,Aethra,RSCA,1.0,OK,6/16/2020,ATR,Slyv3r,Heimerdinger,red,2/3/10,2,1,○fb,17.3k,0.6k,14.8k,1.9k,211.6k,19.7k,177.8k,14.1k,-,29.2k,4.1k,1.6k,11.5k,5.9k,5.3k,0.2k,17,5,-,7,13.7k,12.6k,273,8,-,-
2020.0,summer,BL,3,Aethra,RSCA,1.0,OK,6/16/2020,ATR,Bardo,Nautilus,red,2/3/16,2,1,○fb,8.3k,2.0k,3.6k,2.7k,39.2k,13.3k,12.5k,13.5k,-,7.6k,0.7k,7.8k,18.1k,8.7k,8.3k,1.1k,47,11,-,17,9.4k,8.0k,41,4,-,-
2020.0,summer,BL,7,Team 7AM,KV Mechelen,1.0,OK,7/14/2020,KVM,Robba,Volibear,blue,3/0/9,3,2,○fb,8.9k,5.9k,2.8k,0.1k,120.6k,70.3k,45.9k,4.4k,-,14.2k,4.4k,6.5k,19.2k,10.7k,8.5k,0.1k,12,5,-,4,10.1k,9.3k,175,4,1,-
2020.0,summer,BL,7,Team 7AM,KV Mechelen,1.0,OK,7/14/2020,KVM,Flawed,LeeSin,blue,4/2/9,3,1,○fb,6.4k,5.7k,0.6k,0.1k,145.0k,110.6k,20.3k,14.2k,-,34.7k,2.9k,10.4k,22.9k,15.0k,7.7k,0.2k,17,7,-,12,10.3k,9.4k,18,146,78,15
2020.0,summer,BL,7,Team 7AM,KV Mechelen,1.0,OK,7/14/2020,KVM,sumi,Viktor,blue,8/1/6,7,2,○fb,21.6k,0.2k,21.4k,0.1k,173.8k,13.4k,152.3k,8.1k,-,6.4k,5.1k,4.7k,9.9k,3.7k,6.2k,0.1k,12,9,-,4,12.9k,11.4k,229,16,12,4
2020.0,summer,BL,7,Team 7AM,KV Mechelen,1.0,OK,7/14/2020,KVM,Rechter,Varus,blue,5/1/11,4,1,○fb,17.1k,13.8k,3.3k,0.0k,126.4k,113.4k,7.1k,5.9k,-,12.5k,2.9k,4.4k,8.9k,4.1k,4.3k,0.5k,15,16,-,6,11.5k,10.1k,227,4,-,2
2020.0,summer,BL,7,Team 7AM,KV Mechelen,1.0,OK,7/14/2020,KVM,Duimelot,Nautilus,blue,2/3/11,2,1,○fb,6.2k,1.2k,4.1k,0.9k,27.0k,8.4k,9.0k,9.6k,-,3.8k,1.3k,2.5k,13.9k,6.2k,6.6k,1.0k,26,6,-,9,7.4k,6.7k,32,-,-,-
2020.0,summer,BL,7,Team 7AM,KV Mechelen,1.0,OK,7/14/2020,7AM,Vinnie,Cassiopeia,red,1/6/0,1,1,○fb,9.8k,0.2k,9.6k,0.0k,121.8k,8.9k,111.8k,1.1k,-,4.5k,0.4k,2.8k,17.3k,9.9k,7.1k,0.4k,11,-,-,3,9.8k,9.6k,200,27,24,-
2020.0,summer,BL,7,Team 7AM,KV Mechelen,1.0,OK,7/14/2020,7AM,CutieKatie,MonkeyKing,red,4/6/2,2,2,●fb,7.9k,6.1k,1.3k,0.6k,111.0k,84.3k,18.6k,8.0k,-,11.1k,1.3k,7.1k,23.6k,15.1k,8.0k,0.5k,11,7,-,10,8.9k,8.9k,16,112,83,-
2020.0,summer,BL,7,Team 7AM,KV Mechelen,1.0,OK,7/14/2020,7AM,Henk,Xerath,red,2/2/2,2,1,○fb,17.6k,0.1k,17.5k,0.1k,139.2k,12.6k,119.7k,6.9k,-,4.5k,0.0k,0.7k,9.4k,3.0k,6.4k,0.0k,12,1,-,6,9.1k,8.7k,221,-,-,-
2020.0,summer,BL,7,Team 7AM,KV Mechelen,1.0,OK,7/14/2020,7AM,Yoni,Xayah,red,0/1/5,0,0,○fb,12.3k,11.6k,0.2k,0.5k,88.0k,86.2k,0.9k,0.9k,372,0.4k,0.0k,2.4k,13.7k,8.0k,5.7k,0.0k,14,6,-,6,7.9k,7.6k,164,13,13,-
2020.0,summer,BL,7,Team 7AM,KV Mechelen,1.0,OK,7/14/2020,7AM,Mark,Thresh,red,0/7/5,0,0,○fb,4.0k,0.7k,2.5k,0.8k,13.1k,3.7k,4.3k,5.1k,-,0.1k,0.0k,0.6k,12.8k,5.1k,7.3k,0.4k,29,14,-,14,5.6k,5.0k,37,-,-,-
