year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,spring,BRCC,1,RED Canids,Havan Liberty Gaming,1.0,OK,2/4/2020,RED,Ayel,Ornn,blue,1/5/12,1,1,○fb,20.7k,5.5k,13.6k,1.6k,231.4k,97.3k,132.5k,1.6k,31,5.4k,1.5k,5.9k,34.8k,15.2k,17.7k,1.9k,28,6,-,12,14.1k,13.1k,275,4,4,-
2020.0,spring,BRCC,1,RED Canids,Havan Liberty Gaming,1.0,OK,2/4/2020,RED,Revolta,Gragas,blue,3/4/7,2,1,○fb,13.3k,0.4k,12.0k,0.9k,214.7k,30.6k,168.2k,15.9k,-,28.4k,0.0k,17.0k,30.4k,23.5k,5.8k,1.2k,59,20,-,16,13.7k,14.5k,45,173,118,4
2020.0,spring,BRCC,1,RED Canids,Havan Liberty Gaming,1.0,OK,2/4/2020,RED,Sky,Lucian,blue,6/4/6,3,2,○fb,24.4k,19.8k,2.3k,2.2k,327.3k,292.0k,24.1k,11.2k,835,26.3k,3.8k,4.3k,26.8k,19.7k,6.8k,0.3k,16,14,-,4,20.2k,18.3k,371,42,42,-
2020.0,spring,BRCC,1,RED Canids,Havan Liberty Gaming,1.0,OK,2/4/2020,RED,TitaN,Xayah,blue,5/5/9,2,1,○fb,31.3k,27.4k,2.7k,1.2k,418.8k,405.0k,6.6k,7.2k,933,45.0k,1.5k,3.6k,22.9k,14.3k,6.1k,2.5k,24,23,-,11,19.5k,18.2k,413,24,16,4
2020.0,spring,BRCC,1,RED Canids,Havan Liberty Gaming,1.0,OK,2/4/2020,RED,Woodboy,Rakan,blue,2/3/12,2,1,●fb,7.9k,1.0k,5.5k,1.3k,23.9k,7.3k,12.0k,4.6k,-,2.1k,1.1k,5.5k,15.8k,7.7k,4.2k,3.9k,86,26,-,29,10.8k,10.6k,47,-,-,-
2020.0,spring,BRCC,1,RED Canids,Havan Liberty Gaming,1.0,OK,2/4/2020,HL,Hidan,Aatrox,red,5/3/9,2,1,○fb,18.8k,18.6k,0.3k,0.0k,303.7k,302.1k,0.4k,1.3k,-,6.6k,3.0k,20.2k,39.7k,21.7k,9.8k,8.2k,18,10,-,5,19.7k,19.0k,321,51,34,5
2020.0,spring,BRCC,1,RED Canids,Havan Liberty Gaming,1.0,OK,2/4/2020,HL,Cariok,Olaf,red,7/5/9,5,1,○fb,19.1k,10.7k,0.4k,8.1k,247.8k,197.9k,8.5k,41.5k,-,25.0k,0.8k,15.6k,36.0k,22.6k,12.9k,0.4k,24,27,-,19,16.1k,15.8k,54,187,126,16
2020.0,spring,BRCC,1,RED Canids,Havan Liberty Gaming,1.0,OK,2/4/2020,HL,dyNquedo,Diana,red,3/2/13,2,1,○fb,25.1k,1.9k,23.0k,0.1k,358.9k,43.8k,297.5k,17.6k,-,19.9k,14.1k,8.1k,20.8k,13.9k,6.6k,0.2k,25,10,-,9,19.2k,17.6k,346,26,17,4
2020.0,spring,BRCC,1,RED Canids,Havan Liberty Gaming,1.0,OK,2/4/2020,HL,flare,Varus,red,5/3/6,5,3,○fb,23.9k,15.2k,7.9k,0.9k,359.9k,314.1k,41.7k,4.1k,871,24.8k,4.3k,3.9k,16.0k,11.1k,4.8k,0.1k,20,23,-,9,20.3k,17.8k,394,64,39,12
2020.0,spring,BRCC,1,RED Canids,Havan Liberty Gaming,1.0,OK,2/4/2020,HL,esA,Leona,red,1/4/13,1,1,○fb,5.9k,1.7k,3.5k,0.7k,26.6k,6.6k,11.0k,9.1k,-,1.8k,1.1k,1.8k,18.7k,12.8k,5.3k,0.7k,104,31,-,35,10.7k,9.9k,56,-,-,-
