year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,summer,BRCC,6,Havan Liberty Gaming,Rensga eSports,1.0,OK,7/14/2020,HL,Kennedys,MonkeyKing,blue,1/6/1,1,1,○fb,9.1k,6.4k,2.7k,0.0k,80.8k,60.4k,16.8k,3.7k,-,0.2k,0.0k,0.9k,18.6k,7.1k,10.8k,0.7k,11,1,-,3,8.6k,8.1k,193,-,-,-
2020.0,summer,BRCC,6,Havan Liberty Gaming,Rensga eSports,1.0,OK,7/14/2020,HL,enel1,Graves,blue,1/3/3,1,1,○fb,10.2k,9.3k,0.3k,0.6k,176.6k,151.8k,9.0k,15.7k,-,18.5k,0.0k,5.4k,15.8k,8.4k,7.5k,0.0k,15,9,-,14,9.4k,9.2k,36,138,103,1
2020.0,summer,BRCC,6,Havan Liberty Gaming,Rensga eSports,1.0,OK,7/14/2020,HL,Piloto,Zoe,blue,1/2/2,1,1,○fb,21.3k,1.3k,17.1k,2.9k,153.6k,16.7k,125.0k,12.0k,132,0.1k,0.0k,1.9k,8.8k,3.5k,5.0k,0.3k,15,3,-,8,10.6k,10.0k,239,12,12,-
2020.0,summer,BRCC,6,Havan Liberty Gaming,Rensga eSports,1.0,OK,7/14/2020,HL,Beenie,Ashe,blue,1/3/1,1,1,○fb,8.8k,7.1k,1.7k,0.0k,114.7k,98.4k,1.7k,14.6k,236,8.6k,2.9k,1.4k,6.8k,2.4k,4.4k,0.0k,16,8,-,7,9.6k,9.0k,209,8,4,-
2020.0,summer,BRCC,6,Havan Liberty Gaming,Rensga eSports,1.0,OK,7/14/2020,HL,Woodboy,TahmKench,blue,0/4/4,0,0,○fb,1.9k,0.0k,1.9k,0.0k,21.5k,4.1k,10.3k,7.1k,-,0.2k,0.0k,1.0k,10.2k,6.3k,4.0k,0.0k,38,6,-,9,6.0k,5.8k,35,-,-,-
2020.0,summer,BRCC,6,Havan Liberty Gaming,Rensga eSports,1.0,OK,7/14/2020,RNS,Kiari,Mordekaiser,red,9/1/4,7,3,○fb,18.9k,2.3k,16.3k,0.3k,144.4k,26.4k,117.6k,0.4k,-,8.0k,2.1k,8.8k,19.1k,12.4k,5.8k,0.9k,16,6,-,7,13.0k,11.5k,214,13,4,2
2020.0,summer,BRCC,6,Havan Liberty Gaming,Rensga eSports,1.0,OK,7/14/2020,RNS,Erasus,LeeSin,red,0/2/10,0,0,○fb,5.0k,4.5k,0.4k,0.1k,154.4k,117.4k,31.3k,5.7k,-,20.9k,3.8k,8.7k,21.5k,16.6k,4.2k,0.7k,18,6,-,10,9.5k,8.7k,15,144,92,17
2020.0,summer,BRCC,6,Havan Liberty Gaming,Rensga eSports,1.0,OK,7/14/2020,RNS,Blacky,TwistedFate,red,1/0/7,1,1,○fb,9.4k,1.2k,8.0k,0.2k,169.0k,22.6k,132.6k,13.8k,-,13.8k,6.3k,5.7k,13.8k,8.1k,4.9k,0.8k,11,5,-,10,11.9k,11.0k,213,16,16,-
2020.0,summer,BRCC,6,Havan Liberty Gaming,Rensga eSports,1.0,OK,7/14/2020,RNS,Bydeki,Kalista,red,6/0/5,6,2,●fb,9.3k,8.3k,0.8k,0.2k,157.8k,143.2k,0.8k,13.8k,458,23.1k,7.4k,4.7k,11.7k,6.9k,4.2k,0.5k,10,4,-,5,12.8k,12.2k,220,23,13,4
2020.0,summer,BRCC,6,Havan Liberty Gaming,Rensga eSports,1.0,OK,7/14/2020,RNS,Zirigui,Thresh,red,2/1/15,2,1,○fb,4.9k,0.8k,4.1k,0.0k,22.9k,5.7k,12.4k,4.8k,-,2.9k,1.2k,4.5k,16.5k,9.0k,6.9k,0.6k,47,15,-,16,8.3k,7.3k,38,-,-,-
