year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,summer,BRCC,1,Team oNe,RED Canids,1.0,OK,6/9/2020,ONE,SkyBart,Renekton,blue,2/2/4,2,1,○fb,7.9k,6.6k,1.3k,0.0k,135.2k,129.6k,3.9k,1.6k,-,6.1k,3.6k,7.2k,28.4k,19.0k,8.8k,0.6k,17,3,-,7,11.3k,10.4k,212,12,4,-
2020.0,summer,BRCC,1,Team oNe,RED Canids,1.0,OK,6/9/2020,ONE,wyLL,Trundle,blue,2/0/11,2,1,○fb,6.8k,3.5k,2.7k,0.6k,110.2k,72.8k,30.2k,7.3k,-,17.6k,3.2k,16.1k,24.9k,16.3k,7.6k,1.1k,10,12,-,11,9.9k,8.2k,29,106,68,11
2020.0,summer,BRCC,1,Team oNe,RED Canids,1.0,OK,6/9/2020,ONE,Brucer,Viktor,blue,8/1/8,7,2,●fb,33.1k,0.5k,32.7k,0.0k,221.3k,14.4k,202.6k,4.3k,-,17.7k,3.7k,1.3k,8.6k,4.4k,4.0k,0.2k,14,5,-,5,14.1k,12.9k,230,38,17,20
2020.0,summer,BRCC,1,Team oNe,RED Canids,1.0,OK,6/9/2020,ONE,PbO,Aphelios,blue,5/1/11,4,2,○fb,21.6k,18.5k,1.2k,1.9k,204.0k,187.2k,7.4k,9.4k,677,25.2k,11.3k,2.1k,10.0k,5.4k,4.3k,0.3k,13,11,-,3,14.1k,11.9k,257,33,24,4
2020.0,summer,BRCC,1,Team oNe,RED Canids,1.0,OK,6/9/2020,ONE,Jojo,Lulu,blue,1/0/17,1,1,○fb,5.3k,1.0k,4.3k,0.0k,21.5k,4.8k,12.2k,4.5k,-,2.3k,0.7k,2.8k,9.1k,3.6k,5.5k,0.0k,49,12,-,17,8.2k,7.3k,36,-,-,-
2020.0,summer,BRCC,1,Team oNe,RED Canids,1.0,OK,6/9/2020,RED,Guigo,MonkeyKing,red,2/3/1,2,1,○fb,14.5k,11.8k,2.4k,0.2k,123.7k,93.9k,20.1k,9.7k,-,4.3k,1.9k,1.5k,22.5k,12.4k,9.5k,0.6k,15,3,-,5,11.4k,11.0k,230,-,-,-
2020.0,summer,BRCC,1,Team oNe,RED Canids,1.0,OK,6/9/2020,RED,Aegis,Kindred,red,2/2/1,2,1,○fb,12.7k,8.5k,3.1k,1.1k,178.6k,131.8k,28.6k,18.3k,417,34.1k,2.5k,12.8k,27.0k,14.8k,11.7k,0.5k,8,7,-,9,10.1k,9.3k,38,149,98,7
2020.0,summer,BRCC,1,Team oNe,RED Canids,1.0,OK,6/9/2020,RED,Avenger,Azir,red,0/3/2,0,0,○fb,11.2k,0.1k,11.1k,0.0k,149.7k,6.9k,142.8k,0.0k,-,4.8k,2.0k,0.0k,16.6k,7.7k,8.4k,0.4k,17,6,-,9,10.1k,10.2k,243,8,4,4
2020.0,summer,BRCC,1,Team oNe,RED Canids,1.0,OK,6/9/2020,RED,TitaN,Nautilus,red,0/8/3,0,0,○fb,6.1k,1.6k,3.7k,0.8k,29.9k,9.3k,12.7k,7.9k,-,1.7k,0.4k,0.1k,21.6k,10.0k,10.9k,0.7k,46,18,-,16,6.3k,6.3k,43,-,-,-
2020.0,summer,BRCC,1,Team oNe,RED Canids,1.0,OK,6/9/2020,RED,Cabu,Soraka,red,0/2/3,0,0,○fb,7.4k,0.5k,6.8k,0.0k,80.6k,11.9k,68.7k,0.0k,-,0.4k,0.1k,26.0k,10.6k,6.5k,3.9k,0.3k,12,8,-,8,8.1k,7.2k,167,-,-,-
2020.0,summer,BRCC,1,Falkol,Redemption POA,1.0,OK,6/9/2020,FKL,Reversed,Malphite,blue,2/5/3,2,1,○fb,12.9k,3.1k,9.4k,0.4k,158.5k,54.1k,88.5k,15.8k,25,3.9k,3.6k,0.3k,18.6k,11.3k,6.7k,0.6k,14,6,-,6,10.9k,10.3k,233,4,3,-
2020.0,summer,BRCC,1,Falkol,Redemption POA,1.0,OK,6/9/2020,FKL,Zuao,JarvanIV,blue,0/5/4,0,0,○fb,3.7k,2.6k,0.6k,0.5k,136.6k,82.7k,44.6k,9.2k,-,13.6k,0.8k,6.9k,24.0k,17.8k,5.8k,0.5k,10,12,-,10,8.5k,8.2k,17,136,90,23
2020.0,summer,BRCC,1,Falkol,Redemption POA,1.0,OK,6/9/2020,FKL,HAUZ,Leblanc,blue,2/4/1,2,1,●fb,10.5k,1.2k,8.4k,1.0k,142.9k,20.5k,117.4k,5.0k,-,3.7k,2.0k,4.6k,16.1k,9.3k,6.5k,0.3k,10,8,-,6,10.8k,9.6k,237,12,12,-
2020.0,summer,BRCC,1,Falkol,Redemption POA,1.0,OK,6/9/2020,FKL,Matsukaze,Ezreal,blue,3/2/3,2,1,○fb,25.2k,17.1k,6.7k,1.4k,194.0k,174.1k,13.6k,6.3k,-,3.9k,1.5k,3.1k,12.6k,8.3k,4.1k,0.2k,14,8,-,7,13.5k,12.6k,294,14,14,-
2020.0,summer,BRCC,1,Falkol,Redemption POA,1.0,OK,6/9/2020,FKL,Riyev,Thresh,blue,0/4/4,0,0,○fb,1.8k,0.1k,1.2k,0.5k,25.3k,8.7k,8.8k,7.8k,-,2.3k,0.7k,0.0k,9.9k,6.9k,2.7k,0.3k,58,13,-,21,6.4k,6.2k,36,-,-,-
2020.0,summer,BRCC,1,Falkol,Redemption POA,1.0,OK,6/9/2020,RDP,Ayato,MonkeyKing,red,3/2/6,3,1,○fb,8.2k,6.5k,1.7k,0.0k,145.0k,124.4k,17.0k,3.5k,-,7.5k,4.5k,2.8k,17.7k,10.9k,5.7k,1.1k,18,4,-,8,12.0k,11.4k,204,8,4,-
2020.0,summer,BRCC,1,Falkol,Redemption POA,1.0,OK,6/9/2020,RDP,Sephis,Trundle,red,0/3/14,0,0,○fb,5.9k,3.4k,2.2k,0.3k,111.6k,67.9k,32.1k,11.5k,-,27.9k,2.0k,18.8k,28.5k,18.4k,8.9k,1.2k,17,15,-,17,9.7k,8.8k,23,117,61,4
