year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2019.0,spring,CBLOL,1,Flamengo,Kabum,1.0,OK,12/1/2019,FLA,Robo,Sion,blue,2/3/4,2,1,○fb,5.6 mil,3.8 mil,1.9 mil,0.0 mil,132.8 mil,92.5 mil,34.9 mil,5.5 mil,39,5.0 mil,4.2 mil,0.3 mil,18.2 mil,13.0 mil,3.4 mil,1.9 mil,14,4,-,3,11.0 mil,10.8 mil,242,-,-,-
2019.0,spring,CBLOL,1,Flamengo,Kabum,1.0,OK,12/1/2019,FLA,Shrimp,Taliyah,blue,4/3/10,4,1,○fb,9.6 mil,0.5 mil,8.2 mil,1.0 mil,151.7 mil,16.2 mil,124.0 mil,11.6 mil,-,18.1 mil,2.4 mil,6.1 mil,14.7 mil,9.7 mil,4.0 mil,1.0 mil,5,20,-,4,11.3 mil,8.1 mil,46,137,92,9
2019.0,spring,CBLOL,1,Flamengo,Kabum,1.0,OK,12/1/2019,FLA,Goku,Irelia,blue,5/1/4,3,2,○fb,10.4 mil,4.4 mil,3.8 mil,2.3 mil,170.9 mil,132.6 mil,25.0 mil,13.3 mil,-,12.0 mil,5.0 mil,3.7 mil,15.8 mil,10.1 mil,5.5 mil,0.2 mil,13,6,-,6,12.9 mil,10.1 mil,245,23,5,8
2019.0,spring,CBLOL,1,Flamengo,Kabum,1.0,OK,12/1/2019,FLA,brTT,Kaisa,blue,5/2/8,4,1,○fb,12.9 mil,8.5 mil,4.3 mil,0.1 mil,175.0 mil,138.2 mil,25.1 mil,11.7 mil,492,34.7 mil,5.2 mil,3.7 mil,11.5 mil,7.8 mil,3.0 mil,0.6 mil,10,3,-,5,13.2 mil,12.1 mil,255,24,9,4
2019.0,spring,CBLOL,1,Flamengo,Kabum,1.0,OK,12/1/2019,FLA,Luci,Alistar,blue,1/1/15,1,1,○fb,5.3 mil,0.5 mil,3.9 mil,0.9 mil,29.9 mil,7.3 mil,8.6 mil,14.0 mil,-,2.7 mil,2.2 mil,8.9 mil,15.1 mil,8.4 mil,6.2 mil,0.5 mil,43,10,-,12,9.1 mil,7.0 mil,49,-,-,-
2019.0,spring,CBLOL,1,Flamengo,Kabum,1.0,OK,12/1/2019,KBM,Zantins,Urgot,red,6/4/1,3,1,●fb,16.8 mil,14.6 mil,0.3 mil,1.9 mil,165.9 mil,163.6 mil,0.3 mil,1.9 mil,-,0.2 mil,0.2 mil,1.1 mil,18.2 mil,10.5 mil,6.7 mil,1.0 mil,15,2,-,6,12.7 mil,12.2 mil,257,12,12,-
2019.0,spring,CBLOL,1,Flamengo,Kabum,1.0,OK,12/1/2019,KBM,Ranger,Gragas,red,0/2/2,0,0,○fb,6.0 mil,0.2 mil,5.4 mil,0.5 mil,149.8 mil,18.7 mil,117.3 mil,13.8 mil,-,14.0 mil,1.6 mil,8.9 mil,14.7 mil,9.4 mil,4.6 mil,0.7 mil,13,6,-,12,8.4 mil,8.0 mil,31,126,84,8
2019.0,spring,CBLOL,1,Flamengo,Kabum,1.0,OK,12/1/2019,KBM,dyNquedo,Lissandra,red,1/2/4,1,1,○fb,11.3 mil,1.1 mil,10.2 mil,0.0 mil,137.3 mil,14.0 mil,121.7 mil,1.5 mil,-,1.2 mil,1.2 mil,0.4 mil,12.3 mil,6.3 mil,5.5 mil,0.6 mil,16,5,-,9,9.9 mil,9.6 mil,226,4,4,-
2019.0,spring,CBLOL,1,Flamengo,Kabum,1.0,OK,12/1/2019,KBM,TitaN,Kalista,red,1/6/3,1,1,○fb,9.9 mil,9.5 mil,0.3 mil,0.0 mil,145.6 mil,142.6 mil,0.5 mil,2.6 mil,395,0.0 mil,0.0 mil,0.4 mil,11.6 mil,5.5 mil,4.1 mil,1.9 mil,14,9,-,8,10.9 mil,10.9 mil,253,12,12,-
2019.0,spring,CBLOL,1,Flamengo,Kabum,1.0,OK,12/1/2019,KBM,Riyev,Morgana,red,1/3/4,1,1,○fb,6.3 mil,0.6 mil,3.9 mil,1.8 mil,12.4 mil,1.8 mil,6.6 mil,4.1 mil,-,2.6 mil,0.1 mil,0.6 mil,5.6 mil,2.5 mil,2.9 mil,0.1 mil,30,11,-,8,6.4 mil,5.5 mil,22,-,-,-
