year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2019.0,summer,CBLOL,1,Flamengo,PAIN,1.0,OK,6/2/2019,FLA,Robo,Akali,blue,4/0/1,4,2,○fb,14.9k,2.6k,11.8k,0.4k,160.1k,31.0k,119.2k,9.8k,-,10.9k,5.1k,7.9k,15.7k,10.8k,4.6k,0.3k,14,4,-,5,12.4k,11.4k,245,9,1,5
2019.0,summer,CBLOL,1,Flamengo,PAIN,1.0,OK,6/2/2019,FLA,Shrimp,RekSai,blue,1/1/7,1,1,○fb,6.1k,4.5k,0.0k,1.6k,158.2k,121.0k,8.7k,28.5k,-,34.7k,1.9k,14.8k,22.0k,15.8k,5.7k,0.5k,20,6,-,9,10.5k,10.2k,9,155,86,11
2019.0,summer,CBLOL,1,Flamengo,PAIN,1.0,OK,6/2/2019,FLA,Goku,Irelia,blue,5/0/6,5,3,●fb,15.4k,8.1k,5.9k,1.4k,188.6k,143.7k,22.1k,22.7k,-,20.7k,4.8k,8.4k,20.3k,8.8k,10.7k,0.7k,14,4,-,5,13.4k,13.0k,233,20,8,8
2019.0,summer,CBLOL,1,Flamengo,PAIN,1.0,OK,6/2/2019,FLA,brTT,Kaisa,blue,3/2/5,2,1,○fb,5.1k,2.1k,2.8k,0.1k,143.6k,108.5k,20.7k,14.4k,418,18.0k,5.3k,1.2k,7.6k,3.9k,3.7k,0.0k,5,5,-,3,11.9k,11.0k,210,22,16,6
2019.0,summer,CBLOL,1,Flamengo,PAIN,1.0,OK,6/2/2019,FLA,Luci,Alistar,blue,0/2/11,0,0,○fb,5.2k,0.6k,3.8k,0.9k,22.3k,5.4k,6.9k,9.9k,-,0.5k,0.5k,7.2k,15.7k,5.8k,9.1k,0.7k,34,8,-,8,7.5k,6.8k,43,-,-,-
2019.0,summer,CBLOL,1,Flamengo,PAIN,1.0,OK,6/2/2019,PNG,Yang,Renekton,red,0/5/3,0,0,○fb,7.5k,5.4k,1.8k,0.4k,134.1k,124.7k,5.3k,4.1k,-,0.4k,0.4k,6.0k,24.7k,14.7k,7.8k,2.2k,12,1,-,3,8.6k,8.5k,205,-,-,-
2019.0,summer,CBLOL,1,Flamengo,PAIN,1.0,OK,6/2/2019,PNG,Minerva,Karthus,red,1/4/4,1,1,○fb,15.9k,0.2k,14.5k,1.2k,201.2k,8.2k,186.4k,6.6k,-,4.9k,0.0k,7.3k,22.8k,14.4k,7.5k,0.9k,15,8,-,8,10.2k,9.9k,74,134,103,12
2019.0,summer,CBLOL,1,Flamengo,PAIN,1.0,OK,6/2/2019,PNG,tinowns,Pyke,red,2/0/0,2,1,○fb,5.7k,5.2k,0.0k,0.5k,92.8k,89.1k,0.0k,3.7k,-,0.3k,0.0k,4.8k,13.8k,6.6k,7.0k,0.2k,9,3,-,6,8.1k,7.8k,172,2,1,-
2019.0,summer,CBLOL,1,Flamengo,PAIN,1.0,OK,6/2/2019,PNG,Matsukaze,Varus,red,1/3/3,1,1,○fb,9.3k,6.2k,2.9k,0.2k,156.9k,119.6k,20.7k,16.6k,195,3.4k,0.2k,0.2k,6.8k,3.4k,2.9k,0.5k,7,6,-,3,10.5k,9.6k,234,4,4,-
2019.0,summer,CBLOL,1,Flamengo,PAIN,1.0,OK,6/2/2019,PNG,esA,Yuumi,red,1/1/4,1,1,○fb,11.8k,0.4k,11.4k,0.0k,23.6k,2.8k,20.8k,0.0k,-,0.7k,0.3k,6.6k,4.5k,2.7k,1.2k,0.6k,38,5,-,12,6.4k,6.0k,10,-,-,-
2019.0,summer,CBLOL,1,Uppercut,CNB,1.0,OK,6/2/2019,UP,Fitz,Sylas,blue,2/0/6,2,1,○fb,9.0k,0.1k,8.6k,0.3k,113.8k,5.0k,108.4k,0.4k,-,5.4k,3.2k,2.3k,9.4k,4.8k,4.3k,0.2k,11,4,-,4,9.7k,9.1k,189,6,4,-
2019.0,summer,CBLOL,1,Uppercut,CNB,1.0,OK,6/2/2019,UP,LeChase,RekSai,blue,3/1/6,2,1,○fb,4.9k,4.7k,0.0k,0.2k,118.9k,94.7k,6.3k,17.9k,-,20.2k,1.6k,10.8k,17.7k,12.6k,5.1k,0.0k,10,6,-,4,9.1k,7.8k,13,112,70,3
2019.0,summer,CBLOL,1,Uppercut,CNB,1.0,OK,6/2/2019,UP,Anyyy,Ryze,blue,2/1/4,2,1,○fb,8.5k,0.4k,8.2k,0.0k,120.5k,11.7k,108.8k,0.0k,-,10.0k,3.8k,1.8k,7.7k,3.7k,3.8k,0.2k,10,2,-,3,9.6k,8.4k,183,23,19,-
2019.0,summer,CBLOL,1,Uppercut,CNB,1.0,OK,6/2/2019,UP,Alternative,Xayah,blue,5/1/6,4,2,○fb,10.9k,10.8k,0.0k,0.1k,121.0k,120.3k,0.0k,0.7k,704,14.7k,8.1k,1.3k,8.3k,5.2k,3.0k,0.2k,10,7,-,4,11.6k,9.6k,202,16,8,-
2019.0,summer,CBLOL,1,Uppercut,CNB,1.0,OK,6/2/2019,UP,Damage,Morgana,blue,1/1/10,1,1,○fb,4.6k,0.8k,3.3k,0.5k,19.1k,6.7k,7.7k,4.7k,-,8.2k,2.2k,3.1k,6.9k,3.6k,3.0k,0.2k,26,7,-,8,6.8k,5.5k,11,-,-,-
2019.0,summer,CBLOL,1,Uppercut,CNB,1.0,OK,6/2/2019,CNB,Duclou,Akali,red,1/4/2,1,1,○fb,6.0k,1.6k,4.3k,0.1k,87.4k,22.9k,60.0k,4.5k,-,0.9k,0.8k,2.3k,11.9k,7.1k,4.1k,0.7k,11,2,-,6,7.7k,7.8k,181,-,-,-
2019.0,summer,CBLOL,1,Uppercut,CNB,1.0,OK,6/2/2019,CNB,Mewkyo,JarvanIV,red,0/3/2,0,0,○fb,2.7k,2.1k,0.5k,0.2k,100.1k,63.9k,29.3k,7.0k,-,14.7k,0.0k,6.5k,18.6k,13.6k,4.9k,0.1k,16,5,-,8,6.6k,6.5k,9,104,88,-
2019.0,summer,CBLOL,1,Uppercut,CNB,1.0,OK,6/2/2019,CNB,Aslan,Corki,red,1/2/1,1,1,○fb,11.5k,0.7k,10.8k,0.0k,136.0k,14.3k,119.6k,2.1k,2111,7.4k,1.9k,1.7k,11.4k,4.9k,6.4k,0.1k,13,6,-,6,9.2k,9.0k,203,27,13,3
2019.0,summer,CBLOL,1,Uppercut,CNB,1.0,OK,6/2/2019,CNB,pbO,Sivir,red,0/1/2,0,0,○fb,5.1k,5.0k,0.0k,0.0k,95.7k,93.2k,0.3k,2.1k,494,3.3k,1.0k,0.3k,5.9k,3.2k,2.6k,0.1k,10,5,-,3,7.6k,7.6k,193,4,4,-
2019.0,summer,CBLOL,1,Uppercut,CNB,1.0,OK,6/2/2019,CNB,Hawk,Nautilus,red,2/3/1,2,1,●fb,2.5k,0.4k,1.5k,0.6k,22.3k,7.7k,5.7k,8.9k,-,0.3k,0.0k,1.0k,9.8k,5.7k,3.9k,0.1k,25,5,-,10,5.6k,5.4k,47,-,-,-
2019.0,summer,CBLOL,1,INTZ,Redemption POA,1.0,OK,6/2/2019,ITZ,Mills,Sejuani,blue,0/2/2,0,0,○fb,7.1k,3.1k,3.2k,0.7k,127.1k,62.3k,57.1k,7.8k,-,13.0k,0.7k,6.9k,22.5k,15.9k,5.2k,1.3k,17,5,-,16,8.2k,8.2k,22,119,76,8
