year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,spring,CBLOL,9,Flamengo,Redemption POA,1.0,OK,4/25/2020,RDP,Glowcore,Sett,blue,0/5/2,0,0,○fb,7.5k,5.3k,0.0k,2.1k,80.0k,66.9k,0.0k,13.1k,-,3.8k,0.5k,3.5k,27.2k,16.7k,10.3k,0.2k,15,6,-,5,8.0k,7.7k,155,4,-,-
2020.0,spring,CBLOL,9,Flamengo,Redemption POA,1.0,OK,4/25/2020,RDP,Sephis,Trundle,blue,2/3/3,2,1,○fb,3.6k,1.3k,1.9k,0.3k,116.8k,68.2k,38.5k,10.1k,-,11.2k,0.1k,15.9k,28.7k,18.7k,9.6k,0.4k,13,14,-,13,9.0k,8.6k,36,100,75,-
2020.0,spring,CBLOL,9,Flamengo,Redemption POA,1.0,OK,4/25/2020,RDP,Krastyel,Syndra,blue,7/1/3,6,2,●fb,23.7k,1.0k,22.7k,0.0k,183.8k,13.6k,168.6k,1.6k,-,1.9k,1.5k,3.8k,11.9k,8.0k,3.9k,0.0k,19,2,-,10,14.4k,13.7k,246,22,22,-
2020.0,spring,CBLOL,9,Flamengo,Redemption POA,1.0,OK,4/25/2020,RDP,Patrick,MissFortune,blue,1/6/6,1,1,○fb,9.2k,8.6k,0.6k,0.1k,127.3k,120.9k,1.6k,4.8k,753,6.5k,1.0k,0.0k,14.3k,10.5k,3.8k,0.0k,11,4,-,3,9.8k,9.9k,209,7,6,-
2020.0,spring,CBLOL,9,Flamengo,Redemption POA,1.0,OK,4/25/2020,RDP,BocaJR,Nautilus,blue,0/5/6,0,0,○fb,4.4k,1.0k,2.9k,0.6k,21.5k,5.8k,7.3k,8.4k,-,1.8k,0.2k,1.3k,14.4k,8.6k,5.7k,0.1k,44,6,-,14,6.0k,5.8k,28,-,-,-
2020.0,spring,CBLOL,9,Flamengo,Redemption POA,1.0,OK,4/25/2020,FLA,WooFe,Jayce,red,8/1/7,6,2,○fb,31.6k,26.6k,4.8k,0.2k,197.9k,172.8k,21.7k,3.5k,-,11.3k,6.9k,3.6k,14.4k,8.3k,4.3k,1.8k,16,9,-,6,14.4k,13.1k,238,19,9,8
2020.0,spring,CBLOL,9,Flamengo,Redemption POA,1.0,OK,4/25/2020,FLA,Ranger,Elise,red,3/3/7,3,1,○fb,8.0k,0.3k,7.4k,0.3k,119.3k,30.3k,82.0k,6.9k,-,20.7k,0.8k,7.6k,15.5k,10.2k,5.3k,0.0k,29,13,-,8,9.4k,8.7k,27,113,75,8
2020.0,spring,CBLOL,9,Flamengo,Redemption POA,1.0,OK,4/25/2020,FLA,Goku,Ekko,red,5/2/5,2,2,○fb,12.5k,1.5k,11.0k,0.0k,181.0k,22.4k,157.9k,0.7k,-,14.4k,7.5k,7.2k,18.7k,9.8k,8.3k,0.6k,20,11,-,4,13.3k,10.8k,255,20,9,4
2020.0,spring,CBLOL,9,Flamengo,Redemption POA,1.0,OK,4/25/2020,FLA,Absolut,Varus,red,3/2/12,3,1,○fb,18.5k,14.6k,3.7k,0.3k,184.0k,165.0k,16.6k,2.4k,661,15.7k,7.6k,2.4k,12.4k,5.0k,7.0k,0.4k,10,10,-,5,13.3k,13.1k,276,26,10,-
2020.0,spring,CBLOL,9,Flamengo,Redemption POA,1.0,OK,4/25/2020,FLA,Jojo,Thresh,red,1/2/14,1,1,○fb,5.2k,1.1k,4.0k,0.0k,29.4k,9.9k,13.6k,5.8k,-,2.9k,1.4k,1.4k,11.2k,5.3k,5.6k,0.4k,39,14,-,15,7.9k,7.2k,35,-,-,-
2020.0,spring,CBLOL,9,Flamengo,INTZ,1.0,OK,4/27/2020,ITZ,Tay,Sett,blue,2/4/5,2,1,○fb,8.5k,6.2k,0.2k,2.1k,112.2k,92.4k,0.2k,19.6k,-,3.1k,1.2k,0.5k,26.0k,14.1k,8.3k,3.6k,12,5,-,3,9.8k,9.3k,166,11,4,4
2020.0,spring,CBLOL,9,Flamengo,INTZ,1.0,OK,4/27/2020,ITZ,Shini,Poppy,blue,1/11/12,1,1,○fb,10.7k,7.7k,2.1k,0.8k,144.2k,90.7k,45.6k,7.9k,-,4.5k,0.0k,5.5k,36.0k,19.1k,13.1k,3.7k,16,5,-,7,10.2k,10.0k,31,131,99,8
2020.0,spring,CBLOL,9,Flamengo,INTZ,1.0,OK,4/27/2020,ITZ,Hauz,Akali,blue,7/2/6,7,1,○fb,19.5k,6.1k,13.4k,0.1k,151.7k,35.8k,106.3k,9.6k,-,0.1k,0.0k,8.3k,22.0k,9.0k,12.4k,0.6k,11,2,-,7,12.4k,11.5k,222,8,4,4
2020.0,spring,CBLOL,9,Flamengo,INTZ,1.0,OK,4/27/2020,ITZ,micaO,Senna,blue,3/6/14,3,1,●fb,18.2k,18.2k,0.0k,0.0k,63.6k,63.5k,0.0k,0.0k,484,3.9k,3.7k,9.0k,13.2k,6.2k,6.5k,0.5k,27,18,-,4,10.6k,10.4k,35,6,-,-
2020.0,spring,CBLOL,9,Flamengo,INTZ,1.0,OK,4/27/2020,ITZ,RedBert,Pyke,blue,14/4/5,7,2,○fb,17.2k,13.8k,0.0k,3.3k,68.3k,61.7k,0.0k,6.6k,-,1.7k,1.7k,9.2k,25.8k,14.0k,9.9k,1.9k,27,13,-,-,17.3k,16.5k,166,-,-,-
2020.0,spring,CBLOL,9,Flamengo,INTZ,1.0,OK,4/27/2020,FLA,WooFe,Vayne,red,10/5/3,4,2,○fb,29.5k,19.8k,1.5k,8.2k,182.6k,146.7k,6.3k,29.6k,431,20.1k,6.2k,1.4k,16.9k,13.5k,2.1k,1.3k,16,6,-,7,15.0k,13.1k,248,24,8,9
2020.0,spring,CBLOL,9,Flamengo,INTZ,1.0,OK,4/27/2020,FLA,Ranger,Ezreal,red,3/5/11,3,1,○fb,21.7k,14.6k,6.7k,0.3k,163.3k,125.9k,28.6k,8.7k,-,16.1k,2.8k,0.2k,15.0k,10.7k,3.8k,0.5k,12,7,-,3,11.8k,9.0k,193,24,17,6
2020.0,spring,CBLOL,9,Flamengo,INTZ,1.0,OK,4/27/2020,FLA,Goku,LeeSin,red,0/8/8,0,0,○fb,6.4k,4.9k,0.9k,0.6k,123.5k,96.8k,18.4k,8.3k,-,28.8k,0.7k,7.4k,29.3k,22.9k,5.0k,1.5k,19,3,-,12,8.8k,7.8k,13,120,65,12
2020.0,spring,CBLOL,9,Flamengo,INTZ,1.0,OK,4/27/2020,FLA,Absolut,Ryze,red,10/3/7,6,2,○fb,32.0k,1.0k,30.7k,0.3k,265.5k,12.0k,247.1k,6.4k,-,13.1k,5.4k,13.6k,25.9k,17.8k,6.0k,2.1k,18,7,-,8,16.6k,14.4k,258,34,19,6
2020.0,spring,CBLOL,9,Flamengo,INTZ,1.0,OK,4/27/2020,FLA,Jojo,Janna,red,4/6/14,2,1,○fb,10.4k,0.8k,8.8k,0.8k,33.5k,5.5k,20.8k,7.3k,-,4.5k,0.1k,5.7k,13.4k,10.7k,1.8k,0.9k,36,9,-,12,8.2k,7.3k,35,-,-,-
