year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,summer,CBLOL,8,Santos,PAIN,1.0,OK,7/27/2020,PNG,Robo,Jax,blue,3/7/3,3,1,○fb,9.3k,6.9k,2.4k,0.0k,96.0k,67.2k,20.9k,7.9k,-,4.6k,1.5k,1.7k,17.5k,9.4k,6.9k,1.2k,9,1,-,3,8.2k,8.4k,150,13,5,-
2020.0,summer,CBLOL,8,Santos,PAIN,1.0,OK,7/27/2020,PNG,CarioK,Volibear,blue,0/4/4,0,0,○fb,4.2k,2.7k,1.2k,0.3k,109.2k,52.3k,47.4k,9.5k,-,15.4k,0.0k,6.5k,20.4k,13.5k,6.4k,0.5k,8,9,-,9,7.0k,6.6k,13,124,71,11
2020.0,summer,CBLOL,8,Santos,PAIN,1.0,OK,7/27/2020,PNG,tinowns,TwistedFate,blue,2/1/4,2,2,○fb,9.6k,1.5k,7.6k,0.5k,113.8k,15.6k,94.6k,3.6k,-,1.4k,0.4k,1.8k,10.5k,5.4k,4.4k,0.7k,13,2,-,7,9.4k,8.8k,185,8,8,-
2020.0,summer,CBLOL,8,Santos,PAIN,1.0,OK,7/27/2020,PNG,brTT,Jhin,blue,2/2/2,2,2,○fb,7.5k,7.1k,0.4k,0.0k,118.5k,114.2k,3.8k,0.6k,1055,4.2k,2.6k,1.3k,6.5k,3.3k,2.4k,0.7k,7,1,-,3,9.4k,8.6k,210,9,9,-
2020.0,summer,CBLOL,8,Santos,PAIN,1.0,OK,7/27/2020,PNG,esA,Thresh,blue,0/4/4,0,0,○fb,2.9k,0.7k,2.2k,0.0k,18.3k,4.9k,6.8k,6.7k,-,3.4k,0.4k,0.0k,9.7k,5.3k,4.4k,0.0k,36,12,-,13,5.1k,5.2k,37,-,-,-
2020.0,summer,CBLOL,8,Santos,PAIN,1.0,OK,7/27/2020,SAN,JackPoT,Camille,red,5/2/7,4,1,●fb,12.4k,9.1k,1.0k,2.3k,107.7k,89.6k,1.0k,17.2k,-,15.0k,4.7k,1.4k,13.8k,8.1k,5.5k,0.3k,6,1,-,2,10.1k,8.6k,160,12,5,-
2020.0,summer,CBLOL,8,Santos,PAIN,1.0,OK,7/27/2020,SAN,Mewkyo,Sylas,red,8/1/9,6,3,○fb,13.9k,1.7k,11.8k,0.3k,152.0k,25.5k,115.6k,10.9k,-,23.9k,2.9k,16.4k,26.1k,20.5k,5.6k,0.0k,7,3,-,6,11.4k,9.6k,21,126,80,22
2020.0,summer,CBLOL,8,Santos,PAIN,1.0,OK,7/27/2020,SAN,Rainbow,Galio,red,3/2/12,2,1,○fb,8.7k,0.1k,8.6k,0.1k,133.0k,3.8k,125.2k,4.0k,-,6.8k,3.4k,1.4k,11.3k,8.0k,2.9k,0.4k,10,2,-,2,10.0k,7.9k,213,-,-,-
2020.0,summer,CBLOL,8,Santos,PAIN,1.0,OK,7/27/2020,SAN,Sarkis,MissFortune,red,2/1/11,2,1,○fb,9.1k,8.5k,0.5k,0.2k,112.7k,110.0k,2.1k,0.6k,726,12.9k,6.9k,0.5k,8.2k,6.5k,1.6k,0.1k,8,8,-,3,10.0k,8.5k,202,8,4,-
2020.0,summer,CBLOL,8,Santos,PAIN,1.0,OK,7/27/2020,SAN,Hawk,Rakan,red,0/1/13,0,0,○fb,2.8k,0.5k,2.0k,0.4k,18.7k,6.3k,7.3k,5.2k,-,1.9k,1.0k,2.9k,7.3k,5.3k,2.0k,0.0k,33,8,-,11,6.4k,5.1k,35,-,-,-
