year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2018.0,summer,CIS_CL,1,Team Just.ICE,Monolith Gaming,1.0,OK,7/20/2018,TJI,DNN9,Ornn,blue,2/8/3,2,1,○fb,10.5k,4.7k,5.8k,0.0k,87.3k,47.4k,37.1k,2.7k,-,0.8k,0.0k,0.4k,19.5k,10.6k,7.0k,1.9k,12,2,-,3,7.7k,7.5k,160,-,-,-
2018.0,summer,CIS_CL,1,Team Just.ICE,Monolith Gaming,1.0,OK,7/20/2018,TJI,KOODA,Graves,blue,5/5/2,2,1,○fb,16.0k,13.9k,0.5k,1.6k,147.8k,128.3k,5.5k,13.9k,-,14.5k,1.1k,6.5k,19.2k,11.2k,7.4k,0.7k,9,8,-,6,9.8k,9.5k,57,107,82,6
2018.0,summer,CIS_CL,1,Team Just.ICE,Monolith Gaming,1.0,OK,7/20/2018,TJI,Keysie,Yasuo,blue,0/5/2,0,0,○fb,9.7k,7.0k,1.0k,1.7k,131.9k,114.0k,14.7k,3.2k,461,3.1k,3.1k,0.0k,13.7k,6.0k,7.2k,0.5k,9,3,-,7,9.8k,10.0k,233,12,4,-
2018.0,summer,CIS_CL,1,Team Just.ICE,Monolith Gaming,1.0,OK,7/20/2018,TJI,Follen,Lucian,blue,2/6/4,2,1,○fb,13.4k,12.5k,0.9k,0.0k,90.3k,85.9k,4.4k,0.0k,-,0.9k,0.9k,0.7k,14.7k,8.3k,6.0k,0.4k,7,2,-,4,9.3k,8.6k,183,-,-,-
2018.0,summer,CIS_CL,1,Team Just.ICE,Monolith Gaming,1.0,OK,7/20/2018,TJI,Cpt Coldstar,Morgana,blue,1/6/5,1,1,○fb,7.6k,0.3k,6.7k,0.6k,21.4k,3.7k,17.1k,0.6k,-,0.2k,0.2k,0.7k,10.7k,5.9k,4.6k,0.2k,16,7,-,9,6.3k,5.8k,22,-,-,-
2018.0,summer,CIS_CL,1,Team Just.ICE,Monolith Gaming,1.0,OK,7/20/2018,MNL,Laxey,Camille,red,9/3/6,5,3,○fb,14.1k,11.7k,0.4k,2.0k,120.1k,101.5k,0.4k,18.1k,-,12.8k,6.2k,2.2k,14.9k,10.5k,4.2k,0.2k,11,4,-,4,12.9k,11.9k,193,18,4,1
2018.0,summer,CIS_CL,1,Team Just.ICE,Monolith Gaming,1.0,OK,7/20/2018,MNL,Zumk,Nocturne,red,9/1/9,7,2,○fb,16.9k,14.8k,1.2k,1.0k,168.4k,154.1k,6.4k,7.9k,-,24.4k,8.8k,13.0k,22.7k,18.0k,3.6k,1.1k,6,5,-,3,12.2k,10.2k,42,121,86,16
2018.0,summer,CIS_CL,1,Team Just.ICE,Monolith Gaming,1.0,OK,7/20/2018,MNL,I am John,Galio,red,1/2/15,1,1,○fb,8.3k,0.2k,8.1k,0.0k,113.9k,6.5k,107.4k,0.0k,-,2.9k,2.3k,2.2k,14.8k,13.5k,0.4k,0.9k,12,3,-,5,10.3k,9.2k,195,12,12,-
2018.0,summer,CIS_CL,1,Team Just.ICE,Monolith Gaming,1.0,OK,7/20/2018,MNL,Resu,Swain,red,6/2/12,5,1,○fb,12.4k,1.0k,11.4k,0.0k,100.0k,13.8k,86.1k,0.0k,-,6.3k,5.3k,9.3k,17.3k,12.3k,4.3k,0.7k,10,3,-,5,11.3k,10.3k,189,4,-,4
2018.0,summer,CIS_CL,1,Team Just.ICE,Monolith Gaming,1.0,OK,7/20/2018,MNL,Dizzy,Gragas,red,5/2/10,3,1,●fb,10.9k,1.0k,9.3k,0.6k,24.9k,2.9k,21.4k,0.6k,-,4.1k,1.9k,5.6k,14.6k,9.5k,4.3k,0.8k,45,10,-,7,8.7k,6.9k,19,2,-,2
