year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2018.0,spring,Challengers Korea,1,Rising Star Gaming,Team BattleComics,1.0,OK,1/18/2018,RSG,KronG,Gnar,blue,2/3/8,2,1,○fb,23.1k,18.7k,4.2k,0.1k,236.1k,206.5k,26.1k,3.5k,461,2.0k,1.8k,2.1k,32.6k,18.1k,12.1k,2.4k,26,7,-,5,15.7k,14.8k,328,18,10,-
2018.0,spring,Challengers Korea,1,Rising Star Gaming,Team BattleComics,1.0,OK,1/18/2018,RSG,Foy,JarvanIV,blue,0/5/12,0,0,○fb,8.5k,6.5k,1.2k,0.9k,197.0k,110.4k,68.3k,18.4k,-,2.1k,0.8k,10.5k,46.9k,28.9k,14.4k,3.6k,78,36,-,9,14.3k,14.0k,86,160,120,12
2018.0,spring,Challengers Korea,1,Rising Star Gaming,Team BattleComics,1.0,OK,1/18/2018,RSG,reM,Malzahar,blue,8/2/6,4,1,●fb,31.8k,0.2k,31.2k,0.4k,502.8k,13.1k,330.8k,158.9k,-,2.1k,1.8k,1.4k,14.4k,7.0k,7.0k,0.3k,29,10,-,10,19.9k,18.9k,415,27,24,-
2018.0,spring,Challengers Korea,1,Rising Star Gaming,Team BattleComics,1.0,OK,1/18/2018,RSG,Mephi,Kalista,blue,5/6/5,3,1,○fb,24.1k,22.3k,1.1k,0.7k,269.1k,258.6k,5.0k,5.5k,613,6.1k,4.4k,4.6k,17.5k,10.1k,5.6k,1.8k,40,17,-,7,18.7k,17.1k,410,25,17,-
2018.0,spring,Challengers Korea,1,Rising Star Gaming,Team BattleComics,1.0,OK,1/18/2018,RSG,DaramG,Trundle,blue,0/3/12,0,0,○fb,5.9k,2.8k,3.1k,0.0k,70.2k,29.2k,9.0k,32.0k,-,4.5k,1.7k,20.7k,36.1k,20.3k,12.1k,3.6k,64,30,-,21,13.7k,12.4k,167,-,-,-
2018.0,spring,Challengers Korea,1,Rising Star Gaming,Team BattleComics,1.0,OK,1/18/2018,BtC,SoaR,Gangplank,red,1/2/13,1,1,○fb,33.8k,20.0k,9.0k,4.8k,370.9k,333.4k,18.9k,18.6k,-,12.3k,3.7k,9.6k,30.6k,19.1k,11.2k,0.3k,27,6,-,2,18.6k,17.9k,306,35,32,-
2018.0,spring,Challengers Korea,1,Rising Star Gaming,Team BattleComics,1.0,OK,1/18/2018,BtC,Ryan,Sejuani,red,0/7/12,0,0,○fb,6.2k,2.7k,3.1k,0.4k,163.6k,77.7k,63.3k,22.6k,-,19.6k,1.1k,9.5k,46.4k,28.4k,17.7k,0.3k,79,20,-,15,13.3k,12.4k,30,142,104,8
2018.0,spring,Challengers Korea,1,Rising Star Gaming,Team BattleComics,1.0,OK,1/18/2018,BtC,Dove,Ryze,red,7/0/10,7,2,○fb,26.7k,0.9k,24.5k,1.3k,485.7k,15.9k,314.6k,155.1k,1102,21.1k,4.4k,5.7k,19.0k,12.3k,6.4k,0.3k,21,17,-,9,19.8k,18.4k,396,36,24,-
2018.0,spring,Challengers Korea,1,Rising Star Gaming,Team BattleComics,1.0,OK,1/18/2018,BtC,Hollow,Tristana,red,10/1/4,7,2,○fb,43.0k,33.2k,7.4k,2.5k,393.1k,255.6k,126.3k,11.3k,1066,51.0k,21.4k,5.6k,11.0k,7.5k,3.4k,0.2k,6,39,-,1,22.9k,21.2k,455,38,17,4
2018.0,spring,Challengers Korea,1,Rising Star Gaming,Team BattleComics,1.0,OK,1/18/2018,BtC,Joker,Shen,red,1/5/13,1,1,○fb,10.4k,3.6k,4.1k,2.7k,63.5k,21.0k,10.6k,31.8k,-,3.2k,2.4k,8.4k,22.2k,14.6k,6.6k,1.0k,88,30,-,26,15.0k,14.1k,168,-,-,-
