year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,1.0,OK,6/11/2018,RGA,Poss,Camille,blue,4/5/2,2,1,○fb,12.3k,9.0k,0.5k,2.8k,148.6k,126.7k,0.5k,21.4k,-,13.6k,0.3k,1.9k,22.9k,13.1k,9.4k,0.4k,11,1,-,2,11.1k,9.6k,203,31,16,-
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,1.0,OK,6/11/2018,RGA,Leash,Trundle,blue,2/4/4,2,1,○fb,5.6k,3.7k,1.7k,0.1k,112.3k,88.3k,13.9k,10.1k,-,16.7k,0.0k,14.3k,26.6k,14.0k,12.4k,0.3k,11,3,-,9,8.0k,7.7k,7,117,86,3
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,1.0,OK,6/11/2018,RGA,Dancheong,Yasuo,blue,1/6/7,1,1,○fb,7.1k,4.9k,0.6k,1.6k,116.7k,105.0k,7.2k,4.5k,506,5.8k,0.6k,0.4k,14.4k,6.9k,6.0k,1.5k,12,6,-,3,9.6k,9.3k,198,10,6,-
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,1.0,OK,6/11/2018,RGA,Syu,Mordekaiser,blue,1/5/7,1,1,○fb,12.5k,1.1k,11.5k,0.0k,78.7k,10.2k,66.2k,2.2k,-,4.2k,0.3k,5.9k,10.1k,5.5k,3.8k,0.9k,19,4,-,1,8.7k,7.9k,180,-,-,-
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,1.0,OK,6/11/2018,RGA,Nugget,Nautilus,blue,2/5/7,2,1,○fb,9.3k,1.7k,7.1k,0.5k,39.3k,10.7k,19.6k,9.0k,-,1.3k,0.0k,2.1k,12.5k,4.7k,7.4k,0.4k,23,11,-,6,7.7k,7.2k,100,-,-,-
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,1.0,OK,6/11/2018,ESS,Parang,Ornn,red,2/3/18,2,2,○fb,11.6k,4.0k,7.6k,0.0k,86.3k,42.9k,35.6k,7.8k,-,1.7k,0.3k,2.8k,18.8k,9.3k,7.2k,2.3k,11,-,-,2,9.4k,9.3k,153,8,8,-
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,1.0,OK,6/11/2018,ESS,Bless,Skarner,red,1/4/20,1,1,○fb,5.7k,2.2k,2.8k,0.7k,100.9k,54.9k,38.3k,7.7k,-,10.1k,0.8k,4.4k,16.9k,10.4k,5.7k,0.8k,42,7,-,17,8.9k,7.9k,21,95,79,3
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,1.0,OK,6/11/2018,ESS,Dasher,Irelia,red,11/2/9,5,2,○fb,15.4k,9.0k,4.2k,2.2k,162.9k,135.8k,21.8k,5.3k,-,6.5k,3.3k,4.3k,16.1k,10.6k,3.8k,1.8k,14,3,-,5,14.3k,12.2k,251,22,16,4
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,1.0,OK,6/11/2018,ESS,Hades,Kaisa,red,9/0/13,9,3,●fb,22.0k,8.6k,13.0k,0.4k,185.8k,105.6k,77.7k,2.4k,-,29.2k,15.7k,1.3k,7.3k,4.2k,3.1k,0.1k,13,3,-,6,15.2k,12.7k,248,12,4,4
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,1.0,OK,6/11/2018,ESS,Troy,Morgana,red,2/1/20,2,1,○fb,8.7k,1.1k,7.6k,0.0k,22.9k,5.8k,17.2k,0.0k,-,4.1k,2.6k,1.5k,7.2k,3.5k,3.7k,0.0k,35,21,-,16,8.7k,7.3k,27,4,-,-
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,2.0,OK,6/11/2018,ESS,Parang,Jayce,blue,4/2/6,4,1,○fb,22.0k,17.0k,4.5k,0.5k,174.5k,146.7k,23.9k,3.9k,-,15.1k,7.0k,3.2k,16.8k,10.3k,4.5k,2.0k,11,9,-,1,13.5k,11.7k,232,28,19,4
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,2.0,OK,6/11/2018,ESS,Bless,Skarner,blue,3/1/11,2,2,●fb,5.8k,2.5k,2.4k,0.8k,138.8k,73.1k,53.4k,12.3k,-,28.5k,1.5k,8.6k,20.5k,12.9k,6.5k,1.1k,44,9,-,14,11.4k,9.5k,34,126,84,-
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,2.0,OK,6/11/2018,ESS,Dasher,Swain,blue,5/1/3,5,2,○fb,14.2k,1.4k,12.6k,0.2k,311.2k,25.1k,132.6k,153.6k,-,6.8k,2.8k,6.4k,16.9k,11.6k,4.6k,0.7k,18,3,-,7,13.7k,11.2k,280,21,12,3
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,2.0,OK,6/11/2018,ESS,Hades,Lucian,blue,4/2/5,3,1,○fb,10.8k,8.8k,1.5k,0.4k,167.8k,158.6k,7.0k,2.2k,-,14.6k,6.0k,0.6k,10.2k,6.9k,2.5k,0.9k,12,8,-,3,13.7k,13.6k,287,20,12,8
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,2.0,OK,6/11/2018,ESS,Kuri,Ornn,blue,0/0/13,0,0,○fb,8.0k,2.2k,5.1k,0.7k,182.9k,14.9k,11.1k,156.9k,-,3.2k,0.6k,3.3k,10.8k,4.8k,4.6k,1.3k,32,5,-,9,8.1k,6.5k,63,-,-,-
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,2.0,OK,6/11/2018,RGA,Poss,Camille,red,1/3/3,1,1,○fb,9.1k,5.5k,0.5k,3.0k,165.6k,135.0k,0.5k,30.1k,-,1.9k,0.7k,1.3k,20.8k,13.9k,6.4k,0.5k,14,6,-,4,10.9k,11.0k,243,14,11,-
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,2.0,OK,6/11/2018,RGA,Leash,Trundle,red,2/6/3,2,1,○fb,4.3k,2.2k,1.6k,0.4k,104.8k,69.2k,26.3k,9.3k,-,6.1k,0.9k,14.4k,32.6k,21.8k,9.4k,1.4k,15,17,-,10,8.4k,7.9k,22,103,89,-
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,2.0,OK,6/11/2018,RGA,Dancheong,Zoe,red,1/3/1,1,1,○fb,15.6k,0.8k,12.8k,2.0k,141.2k,16.2k,118.2k,6.8k,-,2.7k,0.3k,0.9k,13.7k,6.9k,6.3k,0.5k,14,6,-,4,9.3k,8.5k,211,16,13,-
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,2.0,OK,6/11/2018,RGA,Syu,Xayah,red,1/3/1,1,1,○fb,9.3k,9.0k,0.2k,0.1k,154.5k,148.8k,2.3k,3.4k,426,2.5k,0.6k,0.3k,12.4k,8.8k,3.4k,0.2k,11,3,-,3,11.1k,10.7k,281,16,13,-
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,2.0,OK,6/11/2018,RGA,Nugget,Rakan,red,1/1/3,1,1,○fb,6.0k,0.4k,5.0k,0.5k,14.9k,5.3k,7.0k,2.7k,-,3.1k,0.8k,3.6k,8.2k,4.6k,3.5k,0.1k,30,17,-,5,6.5k,6.2k,20,-,-,-
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,1.0,OK,6/11/2018,GCB,DoRun,Gangplank,blue,2/1/8,2,1,○fb,21.2k,13.5k,5.7k,2.0k,273.3k,250.2k,7.3k,15.8k,-,17.2k,6.9k,7.2k,18.7k,10.5k,8.0k,0.2k,19,2,-,10,14.9k,12.3k,298,12,1,4
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,1.0,OK,6/11/2018,GCB,Hoglet,Taliyah,blue,2/4/5,2,1,○fb,9.3k,0.4k,8.2k,0.8k,170.5k,17.3k,141.3k,11.9k,-,11.5k,1.2k,6.2k,21.7k,14.7k,6.4k,0.6k,34,13,-,14,11.2k,11.4k,51,141,111,8
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,1.0,OK,6/11/2018,GCB,reM,Lulu,blue,5/0/7,5,2,○fb,12.9k,1.1k,10.8k,1.0k,288.9k,18.3k,119.0k,151.5k,-,5.6k,4.1k,1.7k,11.9k,5.1k,6.7k,0.1k,17,4,-,7,13.4k,11.4k,253,16,16,-
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,1.0,OK,6/11/2018,GCB,Oddugi,KogMaw,blue,4/1/4,3,2,○fb,29.0k,14.8k,12.7k,1.5k,177.3k,116.2k,54.7k,6.4k,551,17.5k,7.6k,3.5k,14.7k,5.6k,9.0k,0.1k,8,7,-,4,13.5k,11.4k,266,20,17,1
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,1.0,OK,6/11/2018,GCB,Choyul,Morgana,blue,0/1/10,0,0,○fb,9.5k,0.5k,8.5k,0.5k,32.7k,3.9k,28.3k,0.5k,-,3.0k,2.2k,2.2k,6.7k,2.9k,3.8k,0.0k,33,7,-,9,8.7k,7.1k,20,-,-,-
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,1.0,OK,6/11/2018,APK,Paladin,Ornn,red,2/2/2,2,1,○fb,12.0k,3.6k,8.4k,0.0k,130.2k,65.8k,58.6k,5.8k,-,6.2k,0.2k,3.6k,27.0k,14.2k,10.4k,2.5k,14,1,-,3,10.2k,10.0k,244,-,-,-
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,1.0,OK,6/11/2018,APK,BINS,XinZhao,red,3/6/1,3,1,●fb,12.2k,10.2k,1.1k,0.9k,158.9k,135.3k,14.5k,9.2k,-,25.9k,0.5k,15.1k,33.2k,20.2k,11.6k,1.4k,9,22,-,11,10.3k,10.0k,28,145,96,4
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,1.0,OK,6/11/2018,APK,Cover,Karma,red,1/1/3,1,1,○fb,11.4k,0.6k,10.7k,0.1k,270.8k,23.6k,117.9k,129.3k,-,1.4k,0.7k,6.0k,15.7k,5.5k,9.5k,0.7k,16,9,-,13,10.0k,9.9k,251,8,8,-
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,1.0,OK,6/11/2018,APK,Dalka,Kaisa,red,1/3/2,1,1,○fb,8.1k,4.4k,3.6k,0.1k,147.4k,111.5k,34.9k,1.0k,-,0.9k,0.6k,2.8k,18.0k,8.7k,8.2k,1.1k,10,15,-,2,11.4k,11.3k,306,10,10,-
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,1.0,OK,6/11/2018,APK,HighDin,Soraka,red,0/1/6,0,0,○fb,7.5k,0.4k,7.1k,0.0k,21.8k,5.6k,16.1k,0.0k,-,0.7k,0.6k,15.1k,10.9k,2.8k,8.0k,0.2k,33,5,-,12,6.6k,6.0k,18,-,-,-
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,2.0,OK,6/11/2018,APK,Paladin,Gnar,blue,1/3/1,1,1,○fb,7.1k,6.3k,0.7k,0.1k,117.9k,105.4k,8.4k,4.1k,-,3.9k,1.2k,0.3k,14.6k,7.9k,5.6k,1.0k,13,3,-,5,8.6k,8.5k,196,15,11,-
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,2.0,OK,6/11/2018,APK,BINS,Trundle,blue,0/4/5,0,0,○fb,6.4k,4.5k,1.6k,0.3k,105.1k,84.7k,11.2k,9.2k,-,3.9k,0.0k,11.4k,22.6k,15.3k,6.5k,0.8k,7,8,-,6,7.6k,6.7k,31,104,93,4
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,2.0,OK,6/11/2018,APK,Cover,Ryze,blue,1/5/2,1,1,○fb,7.0k,0.5k,6.4k,0.0k,139.4k,13.8k,125.6k,0.0k,-,2.7k,1.8k,0.1k,11.8k,5.2k,5.7k,0.8k,11,8,-,9,9.5k,8.7k,233,12,12,-
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,2.0,OK,6/11/2018,APK,Dalka,Kennen,blue,5/1/1,4,1,○fb,4.5k,1.9k,2.3k,0.3k,107.1k,57.4k,44.1k,5.7k,346,0.7k,0.7k,0.7k,8.0k,3.8k,3.6k,0.6k,10,4,-,4,10.5k,9.1k,223,4,4,-
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,2.0,OK,6/11/2018,APK,HighDin,Rakan,blue,0/3/6,0,0,○fb,3.4k,0.3k,3.1k,0.0k,15.0k,7.3k,7.6k,0.0k,-,0.0k,0.0k,1.9k,9.1k,4.6k,3.8k,0.7k,27,12,-,17,5.3k,4.5k,18,-,-,-
