year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2019.0,spring,Challengers Korea,2,VSG,hyFresh Blade,1.0,OK,1/31/2019,VSG,Riris,Urgot,blue,1/1/0,1,1,○fb,11.0k,10.1k,0.2k,0.7k,267.2k,259.2k,0.2k,7.8k,-,2.9k,0.7k,3.7k,17.4k,10.4k,6.1k,0.9k,21,10,-,9,15.4k,14.7k,364,12,1,-
2019.0,spring,Challengers Korea,2,VSG,hyFresh Blade,1.0,OK,1/31/2019,VSG,Mightybear,Jax,blue,0/1/2,0,0,○fb,2.2k,1.3k,0.8k,0.1k,203.0k,108.0k,79.1k,15.9k,-,36.1k,0.6k,14.3k,26.4k,19.0k,6.8k,0.6k,23,24,-,16,11.7k,11.6k,33,190,119,16
2019.0,spring,Challengers Korea,2,VSG,hyFresh Blade,1.0,OK,1/31/2019,VSG,Ruby,Lissandra,blue,0/2/1,0,0,○fb,7.9k,0.9k,7.0k,0.0k,215.8k,21.4k,190.3k,4.0k,-,7.4k,3.0k,2.5k,17.1k,11.6k,4.6k,0.9k,22,5,-,9,13.7k,13.3k,313,20,20,-
2019.0,spring,Challengers Korea,2,VSG,hyFresh Blade,1.0,OK,1/31/2019,VSG,Veritas,Kaisa,blue,2/1/2,2,1,○fb,12.3k,7.5k,4.3k,0.5k,292.1k,236.9k,41.5k,13.7k,600,9.8k,1.2k,2.8k,16.7k,9.3k,6.9k,0.6k,14,20,-,7,16.5k,15.4k,392,34,30,4
2019.0,spring,Challengers Korea,2,VSG,hyFresh Blade,1.0,OK,1/31/2019,VSG,Pure,Braum,blue,1/1/3,1,1,●fb,6.4k,0.4k,5.8k,0.3k,43.8k,7.6k,13.2k,23.1k,-,1.1k,0.0k,5.7k,14.7k,7.9k,5.5k,1.4k,59,10,-,20,11.8k,9.4k,82,4,-,4
2019.0,spring,Challengers Korea,2,VSG,hyFresh Blade,1.0,OK,1/31/2019,BRB,Cube,Sion,red,1/0/3,1,1,○fb,8.6k,4.3k,4.3k,0.0k,226.8k,155.6k,59.7k,11.4k,-,1.6k,1.6k,2.6k,16.4k,15.1k,1.2k,0.1k,20,8,-,8,13.8k,12.8k,327,-,-,-
2019.0,spring,Challengers Korea,2,VSG,hyFresh Blade,1.0,OK,1/31/2019,BRB,BroCColi,Gragas,red,1/2/4,1,1,○fb,8.9k,0.4k,7.5k,1.0k,150.7k,28.5k,114.0k,8.2k,-,11.6k,1.1k,11.8k,18.9k,13.4k,5.3k,0.1k,23,17,-,18,11.2k,8.5k,18,147,118,-
2019.0,spring,Challengers Korea,2,VSG,hyFresh Blade,1.0,OK,1/31/2019,BRB,FATE,Yasuo,red,3/0/2,3,1,○fb,8.3k,5.9k,0.5k,1.9k,303.9k,286.8k,15.1k,1.9k,653,16.7k,4.6k,3.3k,9.0k,5.1k,3.9k,0.0k,18,14,-,5,16.4k,14.2k,367,24,6,4
2019.0,spring,Challengers Korea,2,VSG,hyFresh Blade,1.0,OK,1/31/2019,BRB,Alive,Ezreal,red,1/1/3,1,1,○fb,27.7k,17.1k,9.3k,1.3k,333.2k,287.0k,35.7k,10.5k,-,14.7k,8.9k,0.6k,12.0k,7.4k,4.3k,0.3k,15,24,-,2,18.1k,14.2k,425,28,24,-
2019.0,spring,Challengers Korea,2,VSG,hyFresh Blade,1.0,OK,1/31/2019,BRB,Cookie,TahmKench,red,0/1/1,0,0,○fb,6.4k,0.3k,6.1k,0.0k,58.0k,10.2k,19.7k,28.0k,-,1.4k,0.7k,4.2k,13.4k,6.3k,6.1k,1.1k,61,14,-,18,12.3k,8.4k,86,-,-,-
