year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,summer,Challengers Korea,3,ESC Shane,Jin Air,2.0,OK,7/2/2020,JAG,TaNa,Ornn,blue,2/0/7,2,1,○fb,9.9k,3.6k,6.3k,0.0k,100.1k,46.0k,47.0k,7.1k,15,3.7k,3.4k,1.6k,11.9k,10.2k,1.5k,0.2k,10,2,-,3,8.3k,7.5k,176,2,1,-
2020.0,summer,Challengers Korea,3,ESC Shane,Jin Air,2.0,OK,7/2/2020,JAG,UmTi,Olaf,blue,4/1/8,3,1,●fb,8.8k,5.9k,0.3k,2.6k,156.6k,99.6k,31.7k,25.4k,-,34.8k,1.2k,8.7k,19.0k,14.8k,4.2k,0.0k,11,6,-,10,9.4k,8.6k,21,132,49,44
2020.0,summer,Challengers Korea,3,ESC Shane,Jin Air,2.0,OK,7/2/2020,JAG,Yaharong,Zoe,blue,8/1/9,6,3,○fb,20.0k,1.8k,16.6k,1.6k,121.4k,16.2k,101.5k,3.7k,-,5.2k,5.2k,2.3k,8.0k,4.2k,3.8k,0.0k,11,-,-,7,11.8k,10.9k,182,24,24,-
2020.0,summer,Challengers Korea,3,ESC Shane,Jin Air,2.0,OK,7/2/2020,JAG,Light,Kalista,blue,8/2/6,4,2,○fb,14.2k,13.5k,0.1k,0.6k,107.1k,95.9k,0.1k,11.1k,413,6.3k,4.1k,3.0k,10.8k,8.7k,2.0k,0.1k,9,4,-,5,10.9k,9.4k,176,20,8,12
2020.0,summer,Challengers Korea,3,ESC Shane,Jin Air,2.0,OK,7/2/2020,JAG,Senan,Galio,blue,1/1/11,1,1,○fb,6.8k,0.2k,6.0k,0.6k,31.8k,1.4k,24.4k,6.0k,-,2.4k,1.6k,0.0k,9.0k,7.1k,1.8k,0.2k,24,4,-,12,6.3k,5.7k,27,-,-,-
2020.0,summer,Challengers Korea,3,ESC Shane,Jin Air,2.0,OK,7/2/2020,ESC,Lapis,Aatrox,red,1/1/1,1,1,○fb,6.3k,6.3k,0.0k,0.0k,98.1k,93.6k,0.0k,4.5k,-,1.9k,0.0k,3.8k,11.3k,7.5k,3.3k,0.5k,7,-,-,-,7.4k,7.0k,185,12,9,-
2020.0,summer,Challengers Korea,3,ESC Shane,Jin Air,2.0,OK,7/2/2020,ESC,Lia,Volibear,red,2/4/3,2,1,○fb,5.0k,2.4k,2.2k,0.4k,62.9k,30.5k,28.9k,3.5k,-,3.4k,0.0k,4.4k,20.8k,9.1k,10.3k,1.4k,6,8,-,8,6.3k,6.2k,11,76,39,15
2020.0,summer,Challengers Korea,3,ESC Shane,Jin Air,2.0,OK,7/2/2020,ESC,Gone,Azir,red,1/9/3,1,1,○fb,10.5k,3.1k,7.3k,0.0k,91.1k,10.3k,79.4k,1.5k,-,1.8k,0.2k,0.0k,16.9k,6.8k,8.5k,1.7k,8,4,-,3,7.2k,6.8k,167,4,4,-
2020.0,summer,Challengers Korea,3,ESC Shane,Jin Air,2.0,OK,7/2/2020,ESC,Bini,MonkeyKing,red,1/4/4,1,1,○fb,4.2k,3.5k,0.7k,0.0k,49.1k,43.3k,5.8k,0.0k,-,1.2k,0.0k,0.2k,12.0k,7.4k,3.5k,1.0k,8,5,-,2,6.3k,6.2k,133,1,1,-
2020.0,summer,Challengers Korea,3,ESC Shane,Jin Air,2.0,OK,7/2/2020,ESC,Harp,Senna,red,0/5/4,0,0,○fb,8.1k,7.9k,0.2k,0.0k,20.6k,20.4k,0.2k,0.0k,153,1.1k,0.4k,4.1k,11.6k,5.7k,5.1k,0.8k,22,8,-,6,4.6k,4.1k,14,-,-,-
2020.0,summer,Challengers Korea,7,Jin Air,Griffin,3.0,OK,7/30/2020,JAG,TaNa,Sett,blue,2/2/9,2,1,○fb,8.4k,4.6k,1.4k,2.5k,103.3k,57.1k,27.5k,18.7k,-,5.5k,4.8k,2.5k,17.0k,9.2k,5.7k,2.1k,10,3,-,6,10.5k,9.7k,158,12,4,4
2020.0,summer,Challengers Korea,7,Jin Air,Griffin,3.0,OK,7/30/2020,JAG,UmTi,LeeSin,blue,2/0/11,2,2,○fb,4.0k,3.4k,0.5k,0.1k,127.3k,93.4k,19.6k,14.2k,-,36.1k,2.7k,8.5k,18.4k,13.7k,4.5k,0.1k,16,8,-,9,9.0k,7.5k,16,123,67,18
2020.0,summer,Challengers Korea,7,Jin Air,Griffin,3.0,OK,7/30/2020,JAG,Yaharong,Azir,blue,2/1/7,2,1,○fb,11.6k,0.4k,11.2k,0.0k,112.5k,6.6k,104.3k,1.5k,-,12.0k,5.1k,2.5k,8.3k,4.2k,4.0k,0.1k,8,7,-,4,9.8k,7.1k,195,20,20,-
2020.0,summer,Challengers Korea,7,Jin Air,Griffin,3.0,OK,7/30/2020,JAG,Light,Aphelios,blue,9/0/1,9,2,●fb,10.9k,10.2k,0.4k,0.3k,121.0k,116.3k,2.1k,2.5k,601,14.6k,8.9k,1.5k,7.6k,5.1k,2.4k,0.1k,9,6,-,6,12.5k,11.3k,178,31,18,6
2020.0,summer,Challengers Korea,7,Jin Air,Griffin,3.0,OK,7/30/2020,JAG,Senan,Galio,blue,0/2/9,0,0,○fb,3.0k,0.0k,2.7k,0.3k,25.5k,0.7k,21.6k,3.3k,-,1.9k,1.4k,1.1k,7.1k,5.0k,1.6k,0.5k,32,4,-,13,6.1k,5.5k,26,-,-,-
2020.0,summer,Challengers Korea,7,Jin Air,Griffin,3.0,OK,7/30/2020,GRF,Hoya,Jayce,red,2/4/2,2,1,○fb,11.1k,9.4k,1.7k,0.0k,102.9k,89.8k,11.3k,1.7k,-,6.0k,0.0k,0.3k,10.6k,7.0k,2.9k,0.6k,9,2,-,2,8.1k,7.8k,150,20,12,-
2020.0,summer,Challengers Korea,7,Jin Air,Griffin,3.0,OK,7/30/2020,GRF,Citrus,Trundle,red,0/3/2,0,0,○fb,2.6k,1.3k,0.9k,0.4k,93.0k,57.6k,29.9k,5.4k,-,5.4k,0.0k,11.1k,20.5k,15.1k,5.0k,0.4k,7,10,-,8,6.0k,6.0k,21,92,75,-
2020.0,summer,Challengers Korea,7,Jin Air,Griffin,3.0,OK,7/30/2020,GRF,Naehyun,Sylas,red,2/3/2,2,1,○fb,8.6k,0.3k,8.3k,0.0k,103.1k,4.1k,98.4k,0.5k,-,5.1k,3.6k,4.7k,15.6k,7.4k,7.2k,1.0k,9,5,-,2,8.3k,8.1k,167,20,17,-
2020.0,summer,Challengers Korea,7,Jin Air,Griffin,3.0,OK,7/30/2020,GRF,Wayne,Ezreal,red,1/2/1,1,1,○fb,8.5k,5.8k,2.7k,0.0k,103.6k,87.7k,11.6k,4.2k,-,2.0k,1.4k,0.7k,6.6k,4.7k,1.4k,0.5k,8,3,-,1,8.8k,8.5k,215,-,-,-
2020.0,summer,Challengers Korea,7,Jin Air,Griffin,3.0,OK,7/30/2020,GRF,Yusin,Nautilus,red,0/3/4,0,0,○fb,2.2k,0.3k,1.4k,0.5k,18.2k,5.5k,3.9k,8.8k,-,0.0k,0.0k,0.7k,8.0k,5.2k,2.1k,0.7k,34,7,-,9,5.0k,4.5k,31,-,-,-
