year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,spring,DL,4,Echo Zulu,PSV,1.0,OK,3/11/2020,EZ,Mke,Galio,blue,0/10/3,0,0,○fb,3.2k,0.3k,2.6k,0.3k,23.1k,2.1k,15.3k,5.7k,-,0.4k,0.4k,0.0k,17.0k,8.7k,7.9k,0.4k,13,1,-,8,4.3k,5.2k,34,-,-,-
2020.0,spring,DL,4,Echo Zulu,PSV,1.0,OK,3/11/2020,EZ,Dommy,Kassadin,blue,1/3/2,1,1,○fb,3.7k,0.3k,3.4k,0.0k,56.8k,15.5k,35.6k,5.8k,-,9.3k,1.5k,3.5k,16.2k,9.7k,6.0k,0.5k,7,-,-,2,6.3k,6.0k,128,4,-,-
2020.0,spring,DL,4,Echo Zulu,PSV,1.0,OK,3/11/2020,EZ,Baba,JarvanIV,blue,1/2/2,1,1,○fb,4.7k,3.0k,1.0k,0.6k,46.3k,30.4k,12.1k,3.8k,-,6.7k,0.3k,2.7k,14.7k,6.6k,7.3k,0.7k,3,1,-,3,4.8k,4.4k,8,59,34,4
2020.0,spring,DL,4,Echo Zulu,PSV,1.0,OK,3/11/2020,EZ,Jkalam,Cassiopeia,blue,1/5/3,1,1,○fb,6.6k,0.2k,6.4k,0.0k,41.9k,5.0k,36.9k,0.0k,-,0.8k,0.7k,1.8k,13.0k,7.3k,5.5k,0.2k,8,1,-,2,5.8k,5.6k,105,7,3,-
2020.0,spring,DL,4,Echo Zulu,PSV,1.0,OK,3/11/2020,EZ,Boomin,Vayne,blue,3/4/3,2,1,○fb,4.9k,4.1k,0.2k,0.6k,64.8k,48.6k,0.2k,16.0k,-,0.3k,0.3k,0.8k,11.0k,4.3k,6.4k,0.2k,9,-,-,3,7.3k,6.1k,124,12,12,-
2020.0,spring,DL,4,Echo Zulu,PSV,1.0,OK,3/11/2020,PSV,Zhergoth,Pantheon,red,5/1/7,3,1,○fb,11.6k,10.8k,0.6k,0.2k,81.5k,77.5k,1.9k,2.1k,-,10.9k,7.0k,2.7k,12.4k,6.7k,5.5k,0.3k,7,2,-,1,9.3k,7.8k,126,9,1,4
2020.0,spring,DL,4,Echo Zulu,PSV,1.0,OK,3/11/2020,PSV,Albetrayber,Ekko,red,3/3/3,2,1,○fb,5.0k,0.9k,4.0k,0.0k,112.1k,27.3k,76.2k,8.7k,-,16.0k,0.5k,8.3k,18.6k,13.1k,4.4k,1.1k,9,4,-,6,7.4k,7.3k,27,101,60,16
2020.0,spring,DL,4,Echo Zulu,PSV,1.0,OK,3/11/2020,PSV,Furuy,Taliyah,red,11/1/6,8,2,●fb,19.4k,0.7k,17.7k,1.0k,112.9k,10.6k,98.2k,4.1k,-,9.1k,3.1k,4.4k,9.3k,5.5k,2.4k,1.3k,8,2,-,3,10.7k,9.1k,163,13,8,5
2020.0,spring,DL,4,Echo Zulu,PSV,1.0,OK,3/11/2020,PSV,Kitty,Ezreal,red,4/1/10,3,1,○fb,18.1k,12.4k,5.3k,0.4k,112.4k,99.7k,11.8k,0.8k,-,9.9k,7.0k,1.4k,11.0k,6.3k,2.3k,2.5k,9,3,-,3,9.6k,8.6k,176,9,4,2
2020.0,spring,DL,4,Echo Zulu,PSV,1.0,OK,3/11/2020,PSV,Anthrax,Nami,red,1/2/16,1,1,○fb,5.0k,0.4k,4.2k,0.3k,12.4k,1.4k,8.7k,2.2k,-,5.0k,2.7k,6.9k,3.6k,1.5k,1.8k,0.3k,14,2,-,5,6.3k,5.1k,2,-,-,-
