year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2018.0,spring,EM,Qualifiers,LDLC OL,Movistar Riders,1.0,OK,4/13/2018,TLD,Dan Dan,Gangplank,blue,4/1/3,3,1,○fb,27.1k,18.1k,8.2k,0.9k,465.2k,438.0k,12.2k,15.0k,1402,11.2k,0.8k,10.9k,29.0k,15.1k,12.3k,1.6k,21,4,-,6,19.5k,19.4k,391,32,16,4
2018.0,spring,EM,Qualifiers,LDLC OL,Movistar Riders,1.0,OK,4/13/2018,TLD,Skeanz,Sejuani,blue,1/2/5,1,1,○fb,6.9k,2.6k,3.6k,0.8k,136.3k,64.9k,49.4k,21.9k,-,11.7k,0.0k,9.1k,25.0k,14.1k,9.6k,1.3k,19,14,-,18,9.8k,9.4k,28,123,99,7
2018.0,spring,EM,Qualifiers,LDLC OL,Movistar Riders,1.0,OK,4/13/2018,TLD,Eika,Cassiopeia,blue,1/3/4,1,1,○fb,13.0k,0.3k,12.7k,0.0k,184.6k,11.7k,172.9k,0.0k,-,1.8k,0.6k,8.5k,23.2k,8.8k,13.1k,1.3k,23,17,-,11,13.6k,13.1k,326,12,12,-
2018.0,spring,EM,Qualifiers,LDLC OL,Movistar Riders,1.0,OK,4/13/2018,TLD,Comp,Caitlyn,blue,2/3/4,2,1,○fb,16.5k,13.4k,3.0k,0.1k,276.1k,234.6k,39.5k,2.0k,1896,6.3k,1.6k,4.0k,13.6k,6.9k,6.1k,0.6k,11,19,-,-,15.6k,15.4k,380,34,27,-
2018.0,spring,EM,Qualifiers,LDLC OL,Movistar Riders,1.0,OK,4/13/2018,TLD,Moopz,Braum,blue,0/3/7,0,0,○fb,6.9k,0.4k,6.4k,0.2k,180.1k,7.5k,8.7k,163.8k,-,0.3k,0.1k,4.3k,22.3k,10.2k,10.1k,1.9k,73,12,-,23,8.5k,8.4k,71,-,-,-
2018.0,spring,EM,Qualifiers,LDLC OL,Movistar Riders,1.0,OK,4/13/2018,MRS,Flaxxish,Ryze,red,2/2/4,2,1,○fb,16.9k,0.4k,15.5k,1.0k,294.1k,12.5k,277.2k,4.4k,1252,16.0k,5.0k,9.3k,19.8k,11.7k,7.5k,0.6k,26,4,-,7,16.3k,14.5k,343,21,7,3
2018.0,spring,EM,Qualifiers,LDLC OL,Movistar Riders,1.0,OK,4/13/2018,MRS,bluerzor,Skarner,red,3/1/6,3,1,○fb,7.1k,3.0k,1.9k,2.1k,176.5k,97.2k,66.3k,13.0k,-,21.5k,1.7k,11.5k,27.7k,19.2k,7.9k,0.6k,47,12,-,12,14.0k,11.6k,46,167,92,18
2018.0,spring,EM,Qualifiers,LDLC OL,Movistar Riders,1.0,OK,4/13/2018,MRS,MagiFelix,Azir,red,4/2/2,2,1,●fb,25.2k,0.1k,24.7k,0.4k,256.0k,8.5k,244.4k,3.1k,-,24.4k,3.8k,4.9k,16.9k,8.4k,8.4k,0.2k,17,14,-,6,17.1k,15.4k,345,44,28,8
2018.0,spring,EM,Qualifiers,LDLC OL,Movistar Riders,1.0,OK,4/13/2018,MRS,Jeskla,Ezreal,red,0/0/8,0,0,○fb,27.9k,20.7k,5.0k,2.3k,288.2k,250.3k,29.0k,8.8k,-,34.2k,12.3k,4.4k,14.6k,8.3k,6.3k,0.0k,21,12,-,7,18.3k,16.2k,361,37,16,9
2018.0,spring,EM,Qualifiers,LDLC OL,Movistar Riders,1.0,OK,4/13/2018,MRS,Klaj,Shen,red,3/3/6,2,1,○fb,4.2k,2.2k,1.1k,0.9k,134.7k,14.1k,3.5k,117.0k,-,2.5k,1.6k,4.6k,21.7k,13.5k,7.6k,0.5k,53,20,-,18,11.5k,9.2k,80,-,-,-
