year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2018.0,summer,EM,Stage,Vodafone Giants,Ninjas in Pyjamas,1.0,OK,9/14/2018,VGIA,Yoppa,Poppy,blue,0/4/1,0,0,○fb,8.4k,6.0k,2.4k,0.0k,97.0k,74.4k,19.9k,2.6k,-,1.6k,0.0k,0.7k,14.7k,9.8k,4.4k,0.4k,10,4,-,3,7.2k,6.5k,185,4,1,-
2018.0,summer,EM,Stage,Vodafone Giants,Ninjas in Pyjamas,1.0,OK,9/14/2018,VGIA,Razork,Trundle,blue,2/3/1,2,1,○fb,5.9k,3.6k,1.6k,0.7k,84.2k,66.2k,8.7k,9.2k,-,15.0k,1.7k,8.9k,16.7k,12.1k,4.3k,0.3k,10,10,-,8,6.9k,6.3k,20,83,53,11
2018.0,summer,EM,Stage,Vodafone Giants,Ninjas in Pyjamas,1.0,OK,9/14/2018,VGIA,Kashtelan,Irelia,blue,0/4/1,0,0,○fb,4.4k,2.4k,1.6k,0.4k,104.5k,87.6k,13.4k,3.6k,-,0.8k,0.8k,0.6k,9.5k,5.9k,2.7k,0.9k,9,2,-,3,7.5k,7.2k,188,4,4,-
2018.0,summer,EM,Stage,Vodafone Giants,Ninjas in Pyjamas,1.0,OK,9/14/2018,VGIA,Deadly,Kaisa,blue,2/4/0,2,1,○fb,8.1k,3.4k,4.3k,0.3k,102.2k,75.8k,24.9k,1.5k,-,1.3k,0.0k,1.9k,8.8k,5.2k,3.6k,0.1k,9,8,-,5,8.7k,8.3k,196,24,22,-
2018.0,summer,EM,Stage,Vodafone Giants,Ninjas in Pyjamas,1.0,OK,9/14/2018,VGIA,Denyk,Alistar,blue,0/3/2,0,0,○fb,3.4k,0.4k,2.7k,0.3k,18.6k,4.8k,3.3k,10.5k,-,0.0k,0.0k,2.1k,9.0k,5.7k,3.0k,0.2k,23,3,-,9,4.9k,4.3k,43,-,-,-
2018.0,summer,EM,Stage,Vodafone Giants,Ninjas in Pyjamas,1.0,OK,9/14/2018,NiP,Doxy,Sion,red,0/2/10,0,0,○fb,8.1k,5.6k,2.5k,0.0k,99.4k,66.5k,23.3k,9.6k,-,2.5k,1.0k,2.8k,10.7k,7.4k,3.0k,0.4k,12,2,-,7,8.3k,6.9k,156,8,-,4
2018.0,summer,EM,Stage,Vodafone Giants,Ninjas in Pyjamas,1.0,OK,9/14/2018,NiP,Maxi,Graves,red,6/0/11,6,2,●fb,9.0k,7.7k,0.8k,0.5k,125.1k,111.8k,7.0k,6.3k,-,21.5k,5.1k,7.4k,12.4k,8.9k,3.4k,0.1k,10,3,-,8,10.4k,8.1k,14,106,62,14
2018.0,summer,EM,Stage,Vodafone Giants,Ninjas in Pyjamas,1.0,OK,9/14/2018,NiP,Larssen,Fizz,red,10/0/4,10,4,○fb,10.6k,2.0k,7.7k,0.8k,103.0k,23.2k,78.5k,1.3k,-,9.1k,4.4k,0.4k,11.3k,8.7k,1.9k,0.7k,11,3,-,4,11.9k,9.4k,196,12,12,-
2018.0,summer,EM,Stage,Vodafone Giants,Ninjas in Pyjamas,1.0,OK,9/14/2018,NiP,XDSMILEYs6T,Tristana,red,2/1/11,2,2,○fb,8.1k,6.2k,1.8k,0.2k,121.9k,97.8k,23.4k,0.7k,722,19.4k,13.8k,2.1k,7.0k,3.4k,3.2k,0.4k,9,7,-,3,10.8k,9.3k,222,4,4,-
2018.0,summer,EM,Stage,Vodafone Giants,Ninjas in Pyjamas,1.0,OK,9/14/2018,NiP,H1IVA,Braum,red,0/1/14,0,0,○fb,5.3k,1.2k,3.8k,0.3k,29.5k,8.4k,5.9k,15.2k,-,4.7k,1.2k,1.4k,9.5k,6.5k,2.9k,0.1k,27,4,-,9,6.5k,5.5k,44,-,-,-
