year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,spring,EM,1,Team GamerLegion,Vipers Inc,1.0,OK,4/7/2020,GL,Phones,MonkeyKing,blue,3/2/6,2,1,○fb,14.6k,11.9k,2.5k,0.2k,137.2k,98.0k,32.9k,6.2k,-,6.3k,3.3k,5.1k,19.5k,15.9k,3.4k,0.2k,11,1,-,4,11.6k,11.4k,226,2,1,-
2020.0,spring,EM,1,Team GamerLegion,Vipers Inc,1.0,OK,4/7/2020,GL,Rabble,Trundle,blue,2/1/13,2,2,○fb,7.4k,5.1k,1.8k,0.5k,115.5k,75.3k,27.9k,12.3k,12,28.2k,2.1k,16.0k,22.5k,19.2k,2.8k,0.5k,10,10,-,9,9.4k,7.7k,25,99,48,9
2020.0,spring,EM,1,Team GamerLegion,Vipers Inc,1.0,OK,4/7/2020,GL,Nite,Syndra,blue,2/1/7,2,1,○fb,12.5k,0.7k,11.7k,0.0k,158.6k,10.6k,144.8k,3.2k,-,10.8k,2.8k,2.3k,7.1k,5.2k,1.7k,0.2k,14,3,-,7,11.4k,9.9k,221,33,20,9
2020.0,spring,EM,1,Team GamerLegion,Vipers Inc,1.0,OK,4/7/2020,GL,Hjarnaan,Varus,blue,10/2/5,9,2,○fb,16.0k,12.0k,3.6k,0.5k,176.6k,137.7k,31.5k,7.3k,-,41.0k,7.2k,3.4k,13.8k,9.3k,4.5k,0.1k,9,5,-,2,13.7k,11.2k,204,27,20,3
2020.0,spring,EM,1,Team GamerLegion,Vipers Inc,1.0,OK,4/7/2020,GL,Visdom,Thresh,blue,1/1/14,1,1,○fb,4.7k,0.9k,3.6k,0.1k,24.7k,8.2k,10.0k,6.5k,-,4.3k,3.0k,5.2k,8.7k,7.4k,1.3k,0.0k,31,11,-,13,7.9k,6.5k,36,-,-,-
2020.0,spring,EM,1,Team GamerLegion,Vipers Inc,1.0,OK,4/7/2020,VIP,Lunddorf,Jax,red,2/5/0,2,1,●fb,10.9k,7.9k,3.1k,0.0k,158.3k,129.0k,25.3k,4.0k,-,4.7k,4.1k,3.1k,23.0k,16.9k,6.1k,0.1k,9,-,-,1,10.8k,10.9k,225,10,8,1
2020.0,spring,EM,1,Team GamerLegion,Vipers Inc,1.0,OK,4/7/2020,VIP,Hidon,RekSai,red,3/2/3,2,1,○fb,4.0k,4.0k,0.0k,0.1k,120.6k,96.0k,8.6k,15.9k,-,11.8k,0.0k,12.0k,21.0k,15.8k,4.7k,0.4k,11,14,-,12,8.5k,8.2k,31,119,85,8
2020.0,spring,EM,1,Team GamerLegion,Vipers Inc,1.0,OK,4/7/2020,VIP,Poulsen,Ornn,red,0/3/3,0,0,○fb,4.9k,1.7k,3.0k,0.2k,98.4k,61.7k,33.5k,3.2k,-,3.5k,0.0k,1.1k,15.6k,9.6k,5.7k,0.2k,14,2,-,6,8.4k,8.1k,197,8,3,-
2020.0,spring,EM,1,Team GamerLegion,Vipers Inc,1.0,OK,4/7/2020,VIP,Den Voksne,Aphelios,red,2/5/3,2,1,○fb,15.8k,14.6k,0.5k,0.7k,158.9k,145.7k,2.8k,10.4k,595,3.1k,1.2k,1.4k,12.9k,9.6k,3.1k,0.1k,7,2,-,3,10.1k,9.7k,195,18,14,-
2020.0,spring,EM,1,Team GamerLegion,Vipers Inc,1.0,OK,4/7/2020,VIP,BeBopBulli,TahmKench,red,0/3/4,0,0,○fb,3.4k,0.4k,3.1k,0.0k,26.0k,5.6k,11.7k,8.7k,-,3.4k,0.4k,2.6k,13.1k,6.5k,6.2k,0.4k,34,7,-,14,5.5k,5.4k,29,-,-,-
