year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2019.0,summer,LCK,1,Jin Air,KT,1.0,OK,6/5/2019,JAG,Lindarang,Ryze,blue,1/4/1,1,1,○fb,12.3k,0.4k,11.9k,0.0k,194.5k,12.0k,182.5k,0.0k,-,3.2k,1.2k,2.2k,12.8k,8.9k,3.4k,0.6k,19,4,-,10,11.8k,11.5k,280,8,3,-
2019.0,summer,LCK,1,Jin Air,KT,1.0,OK,6/5/2019,JAG,Malrang,Olaf,blue,1/3/0,1,1,○fb,4.9k,2.7k,0.2k,2.1k,137.7k,97.0k,20.6k,20.0k,-,4.3k,0.3k,7.8k,18.2k,14.1k,3.4k,0.7k,18,18,-,16,8.8k,8.4k,48,122,94,8
2019.0,summer,LCK,1,Jin Air,KT,1.0,OK,6/5/2019,JAG,Grace,Taliyah,blue,0/3/1,0,0,○fb,11.7k,0.6k,10.6k,0.5k,164.6k,14.4k,138.0k,12.2k,-,0.5k,0.4k,2.9k,13.9k,8.4k,5.3k,0.2k,19,7,-,11,9.7k,9.1k,225,24,24,-
2019.0,summer,LCK,1,Jin Air,KT,1.0,OK,6/5/2019,JAG,Route,Ezreal,blue,1/3/1,1,1,○fb,15.5k,10.1k,5.3k,0.1k,143.9k,122.8k,15.8k,5.3k,-,3.5k,0.0k,0.2k,10.2k,7.0k,3.0k,0.2k,14,10,-,6,11.3k,11.4k,277,6,6,-
2019.0,summer,LCK,1,Jin Air,KT,1.0,OK,6/5/2019,JAG,Kellin,TahmKench,blue,0/3/2,0,0,○fb,2.0k,0.1k,1.8k,0.0k,34.1k,6.4k,11.8k,16.0k,-,0.3k,0.0k,2.4k,9.9k,6.7k,2.6k,0.6k,47,7,-,15,6.5k,6.1k,59,-,-,-
2019.0,summer,LCK,1,Jin Air,KT,1.0,OK,6/5/2019,KT,Kingen,Pyke,red,5/1/4,4,2,●fb,10.5k,9.1k,0.0k,1.4k,176.5k,169.3k,0.0k,7.2k,-,7.4k,4.4k,7.1k,17.4k,7.2k,8.3k,2.0k,9,11,-,3,13.8k,13.0k,264,-,-,-
2019.0,summer,LCK,1,Jin Air,KT,1.0,OK,6/5/2019,KT,UmTi,LeeSin,red,2/0/9,2,1,○fb,7.7k,6.2k,0.9k,0.6k,176.6k,126.3k,26.9k,23.3k,-,44.7k,1.6k,10.6k,24.3k,16.1k,7.7k,0.6k,24,11,-,13,12.0k,11.0k,35,155,89,9
2019.0,summer,LCK,1,Jin Air,KT,1.0,OK,6/5/2019,KT,Bdd,Akali,red,5/0/5,5,2,○fb,11.4k,1.9k,9.5k,0.0k,181.1k,31.5k,133.0k,16.5k,-,5.2k,2.1k,6.8k,15.5k,7.5k,7.5k,0.5k,24,8,-,8,14.0k,12.7k,276,12,8,1
2019.0,summer,LCK,1,Jin Air,KT,1.0,OK,6/5/2019,KT,PraY,Kalista,red,4/1/11,2,1,○fb,11.4k,10.4k,0.9k,0.0k,200.9k,188.9k,1.2k,10.8k,544,18.9k,4.8k,2.3k,9.6k,5.2k,4.2k,0.2k,17,25,-,9,15.4k,13.1k,321,26,16,6
2019.0,summer,LCK,1,Jin Air,KT,1.0,OK,6/5/2019,KT,SnowFlower,Nautilus,red,0/1/15,0,0,○fb,5.5k,0.7k,4.6k,0.2k,35.7k,8.9k,14.1k,12.7k,-,2.5k,1.3k,2.5k,11.1k,5.4k,5.2k,0.4k,48,11,-,14,8.8k,8.0k,64,-,-,-
