year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,spring,LCK,1,T1,Damwon,1.0,OK,2/5/2020,T1,Roach,Sett,blue,4/3/5,2,2,○fb,12.9k,7.8k,0.0k,5.1k,171.0k,126.7k,0.0k,44.2k,-,6.1k,0.0k,1.9k,26.0k,15.8k,9.8k,0.3k,23,9,-,9,14.1k,13.0k,261,14,6,-
2020.0,spring,LCK,1,T1,Damwon,1.0,OK,2/5/2020,T1,Cuzz,Gragas,blue,2/2/3,2,1,○fb,14.6k,0.4k,13.1k,1.1k,234.1k,35.3k,183.4k,15.4k,-,31.8k,0.0k,15.7k,25.6k,17.1k,8.2k,0.3k,49,18,-,13,12.7k,11.9k,30,215,150,3
2020.0,spring,LCK,1,T1,Damwon,1.0,OK,2/5/2020,T1,Faker,Rumble,blue,0/4/7,0,0,○fb,17.5k,0.2k,17.3k,0.0k,236.7k,17.4k,212.4k,7.0k,-,12.8k,0.0k,5.2k,21.3k,10.3k,10.7k,0.2k,24,9,-,10,14.3k,14.0k,325,18,11,-
2020.0,spring,LCK,1,T1,Damwon,1.0,OK,2/5/2020,T1,Teddy,MissFortune,blue,6/2/5,4,3,○fb,27.3k,24.8k,1.7k,0.8k,413.8k,402.5k,6.4k,4.9k,1503,21.2k,4.1k,1.7k,14.2k,7.9k,6.2k,0.0k,18,24,-,4,21.2k,19.8k,444,49,37,-
2020.0,spring,LCK,1,T1,Damwon,1.0,OK,2/5/2020,T1,Effort,Leona,blue,2/9/4,2,1,○fb,4.7k,0.8k,2.7k,1.2k,21.7k,4.7k,7.5k,9.5k,-,0.1k,0.0k,0.4k,27.0k,10.7k,15.7k,0.6k,78,18,-,31,9.6k,9.3k,40,-,-,-
2020.0,spring,LCK,1,T1,Damwon,1.0,OK,2/5/2020,DWG,Nuguri,Mordekaiser,red,8/5/6,5,1,●fb,23.5k,3.1k,20.1k,0.3k,254.9k,33.5k,216.6k,4.8k,-,19.1k,5.4k,11.8k,31.0k,17.8k,11.5k,1.8k,16,4,-,4,17.5k,17.6k,281,42,25,4
2020.0,spring,LCK,1,T1,Damwon,1.0,OK,2/5/2020,DWG,Canyon,LeeSin,red,1/3/12,1,1,○fb,6.0k,5.3k,0.6k,0.1k,187.3k,145.1k,30.8k,11.4k,-,30.2k,0.4k,12.3k,36.4k,22.2k,11.7k,2.5k,32,17,-,18,11.6k,11.0k,24,164,132,-
2020.0,spring,LCK,1,T1,Damwon,1.0,OK,2/5/2020,DWG,ShowMaker,Ryze,red,5/1/7,3,1,○fb,21.8k,0.4k,21.4k,0.0k,362.5k,14.4k,340.8k,7.3k,-,29.0k,4.7k,10.3k,19.9k,12.0k,6.8k,1.1k,26,20,-,12,18.0k,15.8k,390,38,21,8
2020.0,spring,LCK,1,T1,Damwon,1.0,OK,2/5/2020,DWG,Nuclear,Aphelios,red,6/2/7,4,2,○fb,26.1k,24.2k,0.8k,1.1k,357.3k,334.7k,7.2k,15.3k,1317,20.3k,10.4k,1.4k,11.5k,8.0k,3.3k,0.2k,17,24,-,8,19.2k,16.9k,374,44,40,4
2020.0,spring,LCK,1,T1,Damwon,1.0,OK,2/5/2020,DWG,Hoit,Braum,red,0/3/15,0,0,○fb,4.0k,0.5k,3.4k,0.0k,17.6k,4.3k,7.0k,6.2k,-,0.5k,0.1k,3.9k,16.5k,7.0k,6.8k,2.7k,72,20,-,21,9.1k,8.3k,44,-,-,-
2020.0,spring,LCK,1,T1,Damwon,2.0,OK,2/5/2020,DWG,Nuguri,Sett,blue,1/7/5,1,1,○fb,25.3k,19.4k,0.2k,5.7k,316.1k,255.1k,0.2k,60.8k,-,27.7k,7.1k,3.5k,44.9k,27.6k,16.3k,1.0k,22,11,-,4,16.8k,16.9k,300,36,13,4
