year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,summer,LCK,5,SeolHaeOne Prince,Hanwha,2.0,OK,7/19/2020,HLE,DuDu,MonkeyKing,blue,4/1/8,3,1,●fb,13.1k,10.7k,2.3k,0.1k,127.4k,97.6k,27.7k,2.1k,-,8.6k,7.6k,4.9k,16.3k,9.2k,5.2k,1.9k,16,4,-,11,12.6k,11.9k,224,2,-,-
2020.0,summer,LCK,5,SeolHaeOne Prince,Hanwha,2.0,OK,7/19/2020,HLE,Haru,Nidalee,blue,5/0/7,5,1,○fb,10.4k,0.3k,9.9k,0.2k,189.0k,24.5k,144.8k,19.7k,-,46.0k,4.2k,19.0k,22.7k,16.9k,5.4k,0.4k,36,19,-,12,11.7k,10.3k,40,162,81,26
2020.0,summer,LCK,5,SeolHaeOne Prince,Hanwha,2.0,OK,7/19/2020,HLE,Mireu,Galio,blue,2/2/9,2,2,○fb,10.2k,0.1k,10.0k,0.1k,154.5k,5.3k,146.7k,2.4k,-,6.4k,2.2k,4.6k,18.7k,10.4k,5.8k,2.5k,19,4,-,9,11.3k,8.8k,219,12,5,-
2020.0,summer,LCK,5,SeolHaeOne Prince,Hanwha,2.0,OK,7/19/2020,HLE,Viper,Aphelios,blue,4/0/4,4,2,○fb,16.9k,14.6k,1.5k,0.9k,215.3k,196.7k,4.4k,14.2k,660,20.3k,3.4k,1.0k,3.1k,2.3k,0.9k,0.0k,16,14,-,7,13.4k,11.0k,283,28,20,8
2020.0,summer,LCK,5,SeolHaeOne Prince,Hanwha,2.0,OK,7/19/2020,HLE,Lehends,Braum,blue,1/0/8,1,1,○fb,7.0k,0.7k,5.9k,0.4k,24.6k,6.2k,10.5k,7.9k,-,1.6k,0.3k,2.1k,9.7k,5.8k,3.5k,0.4k,53,8,-,19,7.5k,7.9k,31,-,-,-
2020.0,summer,LCK,5,SeolHaeOne Prince,Hanwha,2.0,OK,7/19/2020,SP,ikssu,Chogath,red,1/6/0,1,1,○fb,6.5k,1.4k,4.4k,0.7k,129.9k,26.8k,86.7k,16.3k,14,1.9k,1.9k,5.2k,22.5k,14.2k,8.0k,0.3k,10,9,-,1,9.9k,10.0k,222,1,1,-
2020.0,summer,LCK,5,SeolHaeOne Prince,Hanwha,2.0,OK,7/19/2020,SP,Flawless,Trundle,red,0/2/1,0,0,○fb,1.6k,0.7k,0.9k,0.1k,135.7k,90.3k,39.8k,5.6k,-,10.1k,0.0k,18.5k,28.3k,16.9k,10.6k,0.8k,14,23,-,9,8.4k,10.3k,34,142,96,12
2020.0,summer,LCK,5,SeolHaeOne Prince,Hanwha,2.0,OK,7/19/2020,SP,Mickey,Zoe,red,1/4/1,1,1,○fb,13.5k,2.1k,8.9k,2.6k,144.0k,17.4k,121.1k,5.5k,-,1.4k,1.1k,2.5k,14.0k,7.0k,6.9k,0.1k,19,8,-,10,10.0k,9.8k,241,8,4,4
2020.0,summer,LCK,5,SeolHaeOne Prince,Hanwha,2.0,OK,7/19/2020,SP,HyBriD,Ezreal,red,1/2/1,1,1,○fb,13.1k,9.5k,3.3k,0.2k,180.9k,154.1k,20.0k,6.7k,-,4.5k,2.3k,0.9k,9.6k,6.4k,2.9k,0.2k,9,11,-,2,11.5k,11.2k,295,16,16,-
2020.0,summer,LCK,5,SeolHaeOne Prince,Hanwha,2.0,OK,7/19/2020,SP,Secret,TahmKench,red,0/2/2,0,0,○fb,1.3k,0.1k,1.2k,0.0k,19.0k,3.7k,10.4k,4.9k,-,0.8k,0.8k,2.0k,10.5k,5.3k,4.9k,0.3k,46,12,-,16,6.0k,5.6k,37,-,-,-
2020.0,summer,LCK,8,KT,GenG,3.0,OK,8/9/2020,GEN,Rascal,Camille,blue,3/1/4,2,1,○fb,13.0k,10.2k,1.2k,1.7k,114.7k,92.9k,1.2k,20.6k,-,14.0k,10.6k,3.9k,16.9k,11.4k,3.1k,2.4k,6,4,-,3,11.0k,10.5k,210,12,4,-
2020.0,summer,LCK,8,KT,GenG,3.0,OK,8/9/2020,GEN,Clid,Nidalee,blue,6/1/8,5,2,●fb,11.7k,0.8k,10.6k,0.3k,197.2k,25.2k,154.6k,17.5k,-,57.7k,2.6k,18.7k,22.5k,16.3k,4.8k,1.4k,22,14,-,7,11.5k,9.9k,19,158,61,48
