year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2019.0,summer,LCL,3,Vaevictis eSports,RoX,1.0,OK,8/10/2019,VS,HellMa,Tristana,blue,0/4/1,0,0,○fb,5.1k,4.0k,1.2k,0.0k,40.6k,29.0k,11.7k,0.0k,-,0.0k,0.0k,0.1k,11.3k,7.9k,3.0k,0.4k,6,-,-,-,4.4k,4.2k,71,-,-,-
2019.0,summer,LCL,3,Vaevictis eSports,RoX,1.0,OK,8/10/2019,VS,Merao,Sylas,blue,4/6/1,2,1,○fb,6.7k,0.1k,6.1k,0.5k,63.2k,9.2k,49.9k,4.2k,-,2.6k,0.0k,4.2k,18.1k,13.1k,4.5k,0.6k,6,2,-,5,6.4k,6.3k,16,65,53,-
2019.0,summer,LCL,3,Vaevictis eSports,RoX,1.0,OK,8/10/2019,VS,Remus,Azir,blue,0/4/2,0,0,○fb,7.3k,0.2k,6.7k,0.4k,59.2k,8.6k,45.3k,5.3k,-,0.0k,0.0k,0.2k,12.2k,8.9k,2.7k,0.5k,7,1,-,2,5.6k,5.7k,136,-,-,-
2019.0,summer,LCL,3,Vaevictis eSports,RoX,1.0,OK,8/10/2019,VS,Intgration,Ezreal,blue,2/5/1,2,1,○fb,7.2k,4.3k,2.9k,0.0k,50.1k,38.8k,8.7k,2.6k,-,0.3k,0.3k,0.4k,12.2k,8.0k,3.6k,0.6k,6,1,-,3,6.6k,5.7k,114,-,-,-
2019.0,summer,LCL,3,Vaevictis eSports,RoX,1.0,OK,8/10/2019,VS,Trianna,Karma,blue,1/8/4,1,1,○fb,4.2k,0.4k,3.4k,0.3k,14.7k,2.3k,12.2k,0.3k,-,0.3k,0.3k,0.5k,12.4k,8.3k,3.8k,0.2k,11,2,-,5,4.6k,4.3k,10,-,-,-
2019.0,summer,LCL,3,Vaevictis eSports,RoX,1.0,OK,8/10/2019,ROX,Dreampull,Karthus,red,5/2/6,2,2,○fb,11.2k,0.0k,10.7k,0.5k,129.6k,6.7k,116.6k,6.3k,-,11.4k,1.0k,7.3k,15.0k,8.8k,6.0k,0.2k,2,2,-,1,9.0k,6.8k,8,130,72,32
2019.0,summer,LCL,3,Vaevictis eSports,RoX,1.0,OK,8/10/2019,ROX,Anechek,Bard,red,3/4/13,3,1,●fb,7.1k,0.9k,5.6k,0.5k,14.1k,3.0k,10.5k,0.5k,-,1.6k,0.8k,2.3k,8.9k,3.1k,5.2k,0.6k,16,10,-,10,7.1k,5.8k,14,-,-,-
2019.0,summer,LCL,3,Vaevictis eSports,RoX,1.0,OK,8/10/2019,ROX,Maxim,Zed,red,7/0/5,7,1,○fb,13.5k,12.6k,0.5k,0.4k,96.4k,91.5k,4.4k,0.4k,-,7.5k,7.5k,1.4k,8.4k,4.3k,4.0k,0.1k,10,3,-,5,9.4k,8.0k,159,1,-,1
2019.0,summer,LCL,3,Vaevictis eSports,RoX,1.0,OK,8/10/2019,ROX,pooh,Jhin,red,10/1/7,10,2,○fb,18.1k,17.6k,0.4k,0.0k,105.4k,104.5k,0.5k,0.4k,921,10.3k,7.6k,1.5k,7.8k,3.5k,4.1k,0.2k,7,2,-,2,11.7k,9.3k,157,4,-,-
2019.0,summer,LCL,3,Vaevictis eSports,RoX,1.0,OK,8/10/2019,ROX,Vatа,Renekton,red,2/0/2,2,1,○fb,7.4k,6.3k,0.2k,0.8k,142.3k,137.8k,2.7k,1.8k,-,11.1k,8.3k,4.8k,14.9k,11.2k,3.7k,0.1k,7,1,-,2,10.2k,8.4k,179,26,15,1
