year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,spring,LCL,1,UOL.CIS,Vega Squadron,1.0,OK,2/22/2020,UOL,BOSS,Sett,blue,4/2/1,4,2,○fb,10.8k,8.2k,0.0k,2.7k,108.0k,88.2k,0.0k,19.7k,-,7.3k,6.2k,2.0k,14.0k,9.4k,4.2k,0.4k,8,4,-,2,10.8k,8.6k,206,-,-,-
2020.0,spring,LCL,1,UOL.CIS,Vega Squadron,1.0,OK,2/22/2020,UOL,AHaHaCiK,Pantheon,blue,3/0/2,3,1,○fb,7.2k,6.6k,0.5k,0.1k,96.7k,78.9k,6.2k,11.6k,-,35.1k,2.5k,7.4k,14.9k,10.4k,4.3k,0.1k,5,5,-,7,7.9k,7.3k,11,92,35,16
2020.0,spring,LCL,1,UOL.CIS,Vega Squadron,1.0,OK,2/22/2020,UOL,Nomanz,Viktor,blue,5/1/2,5,2,○fb,14.3k,0.1k,14.2k,0.0k,139.9k,12.0k,127.2k,0.7k,-,8.9k,3.1k,0.4k,6.8k,4.1k,2.5k,0.2k,7,7,-,-,10.4k,9.7k,195,25,13,9
2020.0,spring,LCL,1,UOL.CIS,Vega Squadron,1.0,OK,2/22/2020,UOL,Gadget,Aphelios,blue,1/1/8,1,1,○fb,13.5k,11.6k,1.4k,0.5k,156.0k,140.0k,5.2k,10.8k,1425,26.0k,11.0k,1.7k,5.7k,3.5k,2.0k,0.3k,9,6,-,4,10.6k,8.8k,203,23,12,7
2020.0,spring,LCL,1,UOL.CIS,Vega Squadron,1.0,OK,2/22/2020,UOL,SaNTaS,Braum,blue,0/0/9,0,0,○fb,3.4k,0.5k,2.9k,0.0k,21.9k,8.8k,6.6k,6.5k,-,6.8k,1.3k,2.3k,7.8k,5.2k,2.4k,0.2k,23,7,-,6,6.5k,5.0k,30,4,-,-
2020.0,spring,LCL,1,UOL.CIS,Vega Squadron,1.0,OK,2/22/2020,VEG,Charger,Ornn,red,2/2/2,2,1,●fb,6.9k,2.5k,4.1k,0.2k,70.6k,31.0k,39.4k,0.2k,-,0.9k,0.0k,0.3k,15.1k,8.6k,4.4k,2.0k,10,-,-,3,6.8k,6.5k,138,-,-,-
2020.0,spring,LCL,1,UOL.CIS,Vega Squadron,1.0,OK,2/22/2020,VEG,MightyDragon,JarvanIV,red,0/1/4,0,0,○fb,2.3k,2.0k,0.2k,0.1k,68.2k,45.6k,16.7k,5.9k,-,2.4k,0.0k,4.4k,15.4k,10.5k,4.6k,0.3k,8,5,-,9,5.7k,5.4k,17,77,55,8
2020.0,spring,LCL,1,UOL.CIS,Vega Squadron,1.0,OK,2/22/2020,VEG,Keysie,Cassiopeia,red,0/4/0,0,0,○fb,8.2k,0.3k,7.9k,0.0k,113.8k,8.6k,97.3k,7.9k,-,2.8k,0.4k,3.5k,14.5k,10.1k,4.1k,0.3k,9,2,-,6,7.5k,7.7k,182,14,11,-
2020.0,spring,LCL,1,UOL.CIS,Vega Squadron,1.0,OK,2/22/2020,VEG,Optimas,Jinx,red,1/3/1,1,1,○fb,5.5k,5.0k,0.1k,0.4k,105.0k,102.5k,0.3k,2.3k,519,2.2k,0.0k,0.6k,7.5k,3.8k,3.6k,0.1k,6,2,-,2,7.6k,6.9k,191,8,8,-
2020.0,spring,LCL,1,UOL.CIS,Vega Squadron,1.0,OK,2/22/2020,VEG,SimSin,TahmKench,red,1/3/2,1,1,○fb,2.3k,0.1k,1.7k,0.4k,16.8k,3.7k,8.0k,5.1k,-,0.8k,0.0k,1.0k,10.1k,6.3k,3.2k,0.5k,31,2,-,10,5.6k,5.3k,28,-,-,-
