year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,summer,LCL,1,RoX,UOL.CIS,1.0,OK,6/20/2020,ROX,Gimliques,Mordekaiser,blue,1/2/3,1,1,○fb,6.5k,0.6k,5.8k,0.1k,103.6k,19.1k,82.1k,2.5k,-,1.1k,0.0k,3.3k,14.6k,9.4k,4.8k,0.4k,10,1,-,2,9.6k,9.1k,210,4,1,-
2020.0,summer,LCL,1,RoX,UOL.CIS,1.0,OK,6/20/2020,ROX,Soul,Graves,blue,2/2/2,2,1,○fb,10.3k,9.2k,0.2k,0.9k,157.4k,145.5k,6.2k,5.7k,-,4.3k,0.0k,5.1k,15.6k,9.0k,5.9k,0.7k,6,7,-,6,8.8k,8.5k,37,147,125,-
2020.0,summer,LCL,1,RoX,UOL.CIS,1.0,OK,6/20/2020,ROX,Keysie,Qiyana,blue,0/7/3,0,0,○fb,8.9k,8.0k,0.2k,0.8k,100.2k,92.1k,5.4k,2.7k,-,2.1k,0.0k,2.2k,17.1k,7.6k,8.7k,0.8k,14,4,-,5,7.7k,7.7k,180,-,-,-
2020.0,summer,LCL,1,RoX,UOL.CIS,1.0,OK,6/20/2020,ROX,MyKey,Syndra,blue,3/4/0,2,2,○fb,6.2k,0.4k,5.8k,0.0k,99.9k,8.8k,91.1k,0.0k,-,2.1k,0.0k,0.9k,10.0k,3.6k,6.0k,0.4k,14,2,-,7,8.8k,8.0k,198,8,5,-
2020.0,summer,LCL,1,RoX,UOL.CIS,1.0,OK,6/20/2020,ROX,Miracle,Nautilus,blue,0/7/3,0,0,○fb,3.4k,0.9k,2.0k,0.5k,18.9k,7.3k,4.4k,7.2k,-,0.0k,0.0k,0.0k,13.4k,6.3k,6.3k,0.7k,33,8,-,11,5.6k,5.6k,46,2,2,-
2020.0,summer,LCL,1,RoX,UOL.CIS,1.0,OK,6/20/2020,UOL,BOSS,Aatrox,red,3/2/4,2,1,○fb,10.7k,10.7k,0.0k,0.0k,106.8k,103.9k,0.0k,2.8k,-,7.7k,5.0k,5.4k,12.0k,6.2k,4.8k,0.9k,9,-,-,1,10.5k,9.3k,204,2,1,-
2020.0,summer,LCL,1,RoX,UOL.CIS,1.0,OK,6/20/2020,UOL,AHaHaCiK,Nidalee,red,4/2/8,3,2,○fb,9.8k,0.3k,9.2k,0.3k,164.9k,27.3k,123.1k,14.5k,-,44.8k,3.8k,15.6k,21.0k,15.6k,5.2k,0.2k,17,6,-,8,10.3k,8.8k,23,144,75,8
2020.0,summer,LCL,1,RoX,UOL.CIS,1.0,OK,6/20/2020,UOL,Nomanz,Galio,red,7/1/10,7,1,○fb,16.9k,0.1k,15.6k,1.2k,169.2k,4.1k,162.7k,2.5k,-,6.8k,5.3k,4.9k,15.3k,11.5k,1.1k,2.6k,11,6,-,6,13.3k,13.2k,251,13,12,1
2020.0,summer,LCL,1,RoX,UOL.CIS,1.0,OK,6/20/2020,UOL,Gadget,Kalista,red,5/1/10,4,2,●fb,14.3k,12.1k,1.3k,0.9k,154.5k,148.3k,1.5k,4.6k,489,17.0k,4.8k,2.7k,8.5k,4.1k,2.7k,1.7k,8,11,-,1,12.8k,11.6k,232,23,12,7
2020.0,summer,LCL,1,RoX,UOL.CIS,1.0,OK,6/20/2020,UOL,SaNTaS,Thresh,red,3/0/15,3,1,○fb,5.2k,0.7k,3.9k,0.7k,22.1k,5.7k,11.3k,5.2k,-,6.5k,1.6k,3.0k,9.2k,5.5k,3.4k,0.3k,28,9,-,4,8.3k,7.2k,34,-,-,-
2020.0,summer,LCL,1,Vega Squadron,One Breath Gaming,1.0,OK,6/20/2020,VEG,Shellkunchik,Ornn,blue,0/1/2,0,0,○fb,4.6k,2.0k,2.6k,0.0k,117.4k,56.6k,55.9k,4.9k,-,2.5k,1.5k,1.2k,14.1k,7.7k,6.3k,0.1k,11,1,-,5,10.0k,9.2k,222,6,1,1
2020.0,summer,LCL,1,Vega Squadron,One Breath Gaming,1.0,OK,6/20/2020,VEG,Rein,Trundle,blue,0/1/2,0,0,○fb,2.9k,1.1k,1.6k,0.2k,116.1k,73.6k,34.5k,8.0k,-,8.2k,0.6k,16.7k,26.8k,17.2k,9.3k,0.3k,22,10,-,10,8.0k,8.0k,21,113,78,14
2020.0,summer,LCL,1,Vega Squadron,One Breath Gaming,1.0,OK,6/20/2020,VEG,Griffon,Orianna,blue,1/3/2,1,1,○fb,12.1k,0.1k,11.9k,0.0k,139.0k,16.6k,116.4k,6.0k,-,3.6k,0.2k,2.2k,13.6k,7.2k,5.7k,0.7k,9,5,-,6,10.1k,10.2k,250,12,12,-
2020.0,summer,LCL,1,Vega Squadron,One Breath Gaming,1.0,OK,6/20/2020,VEG,Mytant,Aphelios,blue,1/2/1,1,1,○fb,10.2k,10.0k,0.2k,0.0k,175.4k,166.5k,1.1k,7.8k,732,4.9k,3.0k,2.1k,9.0k,4.5k,4.2k,0.3k,8,6,-,4,11.2k,10.0k,265,12,12,-
2020.0,summer,LCL,1,Vega Squadron,One Breath Gaming,1.0,OK,6/20/2020,VEG,WildHeart,Thresh,blue,1/3/1,1,1,○fb,1.3k,0.1k,0.6k,0.6k,15.1k,5.1k,4.7k,5.3k,-,1.2k,0.2k,1.0k,12.9k,6.4k,6.5k,0.1k,41,6,-,13,6.0k,5.7k,29,-,-,-
2020.0,summer,LCL,1,Vega Squadron,One Breath Gaming,1.0,OK,6/20/2020,OBG,Smurf,Mordekaiser,red,1/0/5,1,1,○fb,9.5k,1.0k,8.4k,0.0k,146.6k,25.8k,119.2k,1.6k,-,8.3k,4.6k,6.2k,10.7k,7.2k,3.3k,0.3k,13,6,-,5,11.9k,11.1k,253,16,4,1
2020.0,summer,LCL,1,Vega Squadron,One Breath Gaming,1.0,OK,6/20/2020,OBG,Kreox,Graves,red,2/2/5,2,1,○fb,13.4k,11.7k,0.7k,1.0k,198.7k,177.9k,6.6k,14.1k,-,29.8k,1.7k,9.5k,18.4k,11.3k,6.4k,0.6k,9,16,-,8,11.3k,9.5k,64,166,78,31
2020.0,summer,LCL,1,Vega Squadron,One Breath Gaming,1.0,OK,6/20/2020,OBG,xTyLk,Cassiopeia,red,2/1/4,2,1,●fb,14.8k,0.3k,14.4k,0.0k,184.8k,9.0k,175.8k,0.0k,-,19.9k,6.6k,8.2k,14.9k,6.2k,8.7k,0.0k,18,7,-,11,12.4k,12.1k,247,28,24,4
2020.0,summer,LCL,1,Vega Squadron,One Breath Gaming,1.0,OK,6/20/2020,OBG,Kinzu,Sivir,red,4/0/1,4,3,○fb,10.1k,9.9k,0.1k,0.1k,234.5k,230.2k,0.8k,3.5k,881,17.8k,4.9k,1.7k,6.7k,4.9k,1.8k,0.0k,15,5,-,6,13.9k,11.8k,279,51,33,15
2020.0,summer,LCL,1,Vega Squadron,One Breath Gaming,1.0,OK,6/20/2020,OBG,Jestkui Max,Karma,red,1/0/7,1,1,○fb,6.2k,0.3k,5.6k,0.3k,23.6k,3.8k,19.5k,0.3k,-,2.7k,1.5k,0.7k,1.5k,1.5k,0.0k,0.0k,22,6,-,9,7.3k,6.6k,15,4,4,-
2020.0,summer,LCL,1,Gambit,CrowCrowd,1.0,OK,6/20/2020,GMB,Dreampullka,MonkeyKing,blue,2/1/5,2,1,○fb,11.4k,8.9k,2.5k,0.0k,140.6k,106.2k,28.3k,6.1k,-,2.2k,0.9k,6.9k,24.8k,13.0k,6.9k,4.9k,19,3,-,7,13.1k,12.8k,238,8,-,4
2020.0,summer,LCL,1,Gambit,CrowCrowd,1.0,OK,6/20/2020,GMB,Diamondprox,Nidalee,blue,2/0/8,2,1,○fb,14.0k,0.6k,12.8k,0.7k,272.3k,26.4k,229.5k,16.4k,-,39.9k,4.9k,28.1k,28.3k,21.6k,6.4k,0.2k,33,18,-,9,14.1k,13.3k,33,232,131,39
2020.0,summer,LCL,1,Gambit,CrowCrowd,1.0,OK,6/20/2020,GMB,Phlaty,Ryze,blue,3/1/7,3,2,○fb,21.2k,0.4k,20.8k,0.0k,340.1k,11.2k,326.1k,2.9k,-,36.8k,4.0k,8.3k,18.5k,9.4k,8.1k,1.0k,20,6,-,9,16.6k,14.9k,331,42,29,3
