year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2018.0,summer,LCS,1,TL,100 Thieves,1.0,OK,6/17/2018,TL,Impact,Aatrox,blue,1/2/11,1,1,○fb,16.8k,12.4k,1.7k,2.7k,151.9k,141.8k,2.1k,8.0k,-,15.6k,0.9k,8.6k,21.2k,13.3k,6.9k,1.1k,13,7,-,5,11.5k,10.7k,224,18,11,-
2018.0,summer,LCS,1,TL,100 Thieves,1.0,OK,6/17/2018,TL,Xmithie,Camille,blue,3/3/9,3,1,○fb,6.8k,5.5k,0.3k,0.9k,126.7k,97.9k,8.6k,20.2k,-,18.9k,0.1k,11.5k,22.4k,16.0k,6.1k,0.4k,17,5,-,9,10.2k,10.3k,8,131,84,7
2018.0,summer,LCS,1,TL,100 Thieves,1.0,OK,6/17/2018,TL,Pobelter,Galio,blue,2/1/11,2,1,○fb,15.6k,0.2k,15.2k,0.2k,169.0k,9.9k,150.0k,9.1k,-,6.5k,3.7k,3.0k,12.0k,8.9k,2.0k,1.0k,16,7,-,8,12.7k,11.3k,285,8,8,-
2018.0,summer,LCS,1,TL,100 Thieves,1.0,OK,6/17/2018,TL,Doublelift,Xayah,blue,9/1/7,8,2,●fb,27.0k,22.2k,2.4k,2.4k,216.6k,201.9k,6.1k,8.6k,633,18.4k,9.9k,0.4k,8.1k,3.8k,3.8k,0.5k,9,5,-,2,16.2k,13.3k,299,15,4,5
2018.0,summer,LCS,1,TL,100 Thieves,1.0,OK,6/17/2018,TL,Olleh,Rakan,blue,2/2/14,2,1,○fb,9.6k,1.3k,7.6k,0.8k,19.3k,6.1k,11.9k,1.3k,-,4.0k,1.5k,4.9k,8.6k,3.3k,5.0k,0.3k,35,10,-,17,9.0k,7.7k,16,4,-,4
2018.0,summer,LCS,1,TL,100 Thieves,1.0,OK,6/17/2018,100,Ssumday,Renekton,red,2/3/2,2,1,○fb,12.7k,9.8k,1.2k,1.6k,174.4k,158.9k,6.4k,9.1k,-,1.3k,0.8k,8.2k,28.3k,18.0k,7.6k,2.7k,15,1,-,7,11.4k,11.6k,250,17,8,-
2018.0,summer,LCS,1,TL,100 Thieves,1.0,OK,6/17/2018,100,Meteos,Trundle,red,0/2/6,0,0,○fb,5.5k,3.1k,1.7k,0.7k,151.5k,113.5k,22.7k,15.3k,-,17.6k,0.0k,16.4k,29.3k,18.3k,9.7k,1.3k,10,16,-,6,9.3k,9.0k,49,136,104,4
2018.0,summer,LCS,1,TL,100 Thieves,1.0,OK,6/17/2018,100,Ryu,Irelia,red,3/4/4,2,1,○fb,8.1k,5.4k,2.0k,0.7k,118.6k,101.3k,16.5k,0.8k,-,1.9k,0.3k,2.7k,18.1k,11.8k,5.1k,1.2k,5,4,-,1,10.0k,9.7k,208,16,13,-
2018.0,summer,LCS,1,TL,100 Thieves,1.0,OK,6/17/2018,100,Cody Sun,Vladimir,red,4/3/2,2,1,○fb,14.9k,0.3k,14.6k,0.0k,116.6k,13.1k,103.3k,0.2k,-,2.2k,1.1k,14.5k,15.4k,10.0k,4.5k,0.9k,14,2,-,2,11.2k,9.6k,230,-,-,-
2018.0,summer,LCS,1,TL,100 Thieves,1.0,OK,6/17/2018,100,aphromoo,Leona,red,0/5/6,0,0,○fb,2.4k,0.6k,1.5k,0.3k,47.2k,6.1k,7.0k,34.1k,-,0.5k,0.0k,2.1k,15.0k,10.1k,4.0k,0.9k,30,9,-,10,6.2k,5.5k,53,-,-,-
2018.0,summer,LCS,1,TSM,CLG,1.0,OK,6/17/2018,TSM,Hauntzer,Aatrox,blue,3/1/7,3,1,○fb,26.1k,19.1k,2.0k,5.0k,388.4k,355.6k,4.6k,28.2k,-,29.7k,5.2k,12.8k,32.6k,21.1k,10.9k,0.6k,25,13,-,8,19.4k,18.5k,424,28,11,3
2018.0,summer,LCS,1,TSM,CLG,1.0,OK,6/17/2018,TSM,Grig,Olaf,blue,3/1/7,2,1,○fb,8.8k,4.8k,0.3k,3.7k,211.0k,139.0k,34.9k,37.2k,-,17.1k,1.9k,14.8k,30.5k,18.1k,10.9k,1.5k,41,6,-,11,14.6k,13.3k,33,177,141,10
2018.0,summer,LCS,1,TSM,CLG,1.0,OK,6/17/2018,TSM,Bjergsen,Irelia,blue,3/2/8,3,1,○fb,12.8k,6.9k,3.8k,2.1k,295.0k,245.6k,41.2k,8.2k,-,11.6k,5.2k,5.9k,18.8k,12.5k,5.3k,1.0k,16,5,-,7,18.4k,16.5k,379,32,28,-
2018.0,summer,LCS,1,TSM,CLG,1.0,OK,6/17/2018,TSM,Zven,Kaisa,blue,5/1/9,3,2,○fb,29.2k,4.8k,23.9k,0.4k,331.5k,190.0k,138.9k,2.6k,-,28.6k,10.0k,3.6k,12.2k,6.9k,5.1k,0.2k,16,21,-,5,20.5k,16.8k,431,28,13,8
2018.0,summer,LCS,1,TSM,CLG,1.0,OK,6/17/2018,TSM,Mithy,Alistar,blue,0/4/9,0,0,○fb,4.5k,0.1k,3.3k,1.1k,139.6k,4.0k,3.6k,132.0k,-,0.0k,0.0k,9.5k,20.0k,12.9k,4.4k,2.8k,75,11,-,28,9.5k,8.3k,52,-,-,-
2018.0,summer,LCS,1,TSM,CLG,1.0,OK,6/17/2018,CLG,Darshan,Ornn,red,2/4/5,2,1,○fb,16.3k,4.8k,11.1k,0.4k,188.1k,99.4k,85.3k,3.4k,-,2.2k,0.4k,3.2k,29.6k,15.3k,8.6k,5.7k,20,7,-,5,13.3k,12.2k,318,-,-,-
2018.0,summer,LCS,1,TSM,CLG,1.0,OK,6/17/2018,CLG,Reignover,Graves,red,0/2/8,0,0,○fb,10.5k,8.3k,1.2k,1.1k,257.4k,223.9k,13.7k,19.8k,378,31.8k,0.3k,11.1k,21.7k,12.1k,8.5k,1.1k,26,17,-,12,13.7k,13.4k,51,207,143,3
2018.0,summer,LCS,1,TSM,CLG,1.0,OK,6/17/2018,CLG,huhi,Renekton,red,2/3/4,2,1,●fb,12.5k,9.7k,1.7k,1.1k,243.3k,234.2k,2.8k,6.3k,-,4.2k,0.0k,5.4k,22.0k,14.7k,4.3k,2.9k,28,21,-,12,15.0k,13.8k,369,12,7,-
2018.0,summer,LCS,1,TSM,CLG,1.0,OK,6/17/2018,CLG,Stixxay,Ezreal,red,5/3/1,3,2,○fb,31.5k,17.3k,12.8k,1.5k,383.5k,299.9k,73.6k,10.0k,-,19.6k,5.4k,2.4k,17.8k,10.3k,6.1k,1.3k,15,11,-,6,19.8k,18.1k,468,36,28,4
2018.0,summer,LCS,1,TSM,CLG,1.0,OK,6/17/2018,CLG,Biofrost,Braum,red,0/2/5,0,0,○fb,5.1k,0.4k,4.6k,0.1k,181.0k,6.7k,11.3k,163.0k,-,0.9k,0.4k,3.3k,15.4k,6.1k,8.3k,1.0k,69,19,-,22,9.0k,8.9k,71,-,-,-
2018.0,summer,LCS,1,Clutch Gaming,Cloud9,1.0,OK,6/17/2018,CG,Solo,Ornn,blue,1/0/11,1,1,○fb,11.4k,5.0k,6.5k,0.0k,185.2k,102.5k,69.7k,13.1k,-,4.2k,0.7k,2.8k,13.9k,7.8k,6.2k,0.0k,15,3,-,3,12.7k,11.2k,306,6,1,-
2018.0,summer,LCS,1,Clutch Gaming,Cloud9,1.0,OK,6/17/2018,CG,LirA,Graves,blue,3/0/10,3,1,○fb,16.4k,14.2k,0.6k,1.6k,277.5k,247.8k,9.9k,19.8k,553,42.5k,6.9k,11.5k,19.6k,10.3k,8.0k,1.4k,10,16,-,7,14.7k,13.2k,88,207,134,20
