year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2019.0,summer,LCS,2,TL,100 Thieves,1.0,OK,6/9/2019,TL,Impact,Jayce,blue,1/0/7,1,1,○fb,20.0k,15.8k,3.6k,0.5k,168.7k,147.7k,18.9k,2.0k,-,24.5k,10.6k,5.5k,15.1k,11.5k,2.8k,0.8k,12,3,-,4,12.9k,12.3k,229,20,-,8
2019.0,summer,LCS,2,TL,100 Thieves,1.0,OK,6/9/2019,TL,Xmithie,Trundle,blue,3/1/8,3,2,○fb,5.6k,3.2k,1.9k,0.4k,114.3k,77.8k,22.4k,14.1k,-,32.9k,1.4k,20.6k,24.0k,17.2k,6.5k,0.4k,11,12,-,9,10.2k,9.6k,21,109,65,-
2019.0,summer,LCS,2,TL,100 Thieves,1.0,OK,6/9/2019,TL,Jensen,Azir,blue,3/0/6,3,1,○fb,20.0k,0.1k,19.9k,0.0k,173.7k,7.7k,166.0k,0.0k,-,14.6k,4.4k,3.4k,11.2k,5.8k,4.8k,0.5k,14,4,-,8,12.6k,12.1k,253,20,16,4
2019.0,summer,LCS,2,TL,100 Thieves,1.0,OK,6/9/2019,TL,Doublelift,Xayah,blue,5/0/7,5,2,●fb,12.3k,11.4k,0.6k,0.2k,204.4k,191.6k,4.0k,8.7k,1488,22.8k,4.4k,1.6k,10.8k,6.2k,4.1k,0.6k,8,6,-,3,14.4k,12.5k,269,36,16,16
2019.0,summer,LCS,2,TL,100 Thieves,1.0,OK,6/9/2019,TL,CoreJJ,Rakan,blue,3/1/12,3,1,○fb,5.5k,1.3k,4.1k,0.2k,14.1k,6.1k,7.9k,0.2k,-,3.7k,2.3k,5.0k,7.0k,4.1k,2.1k,0.8k,38,12,-,13,9.2k,8.7k,14,-,-,-
2019.0,summer,LCS,2,TL,100 Thieves,1.0,OK,6/9/2019,100,Ssumday,JarvanIV,red,0/4/0,0,0,○fb,6.5k,5.5k,1.1k,0.0k,117.9k,98.2k,10.5k,9.2k,-,1.1k,1.1k,3.6k,22.2k,14.1k,7.6k,0.5k,13,4,-,6,8.8k,8.9k,198,12,12,-
2019.0,summer,LCS,2,TL,100 Thieves,1.0,OK,6/9/2019,100,Amazing,Olaf,red,2/3/0,2,2,○fb,7.3k,5.3k,0.0k,2.0k,156.1k,124.7k,6.7k,24.7k,-,10.0k,0.5k,9.2k,26.2k,17.4k,8.5k,0.4k,8,7,-,8,9.1k,8.9k,48,112,88,4
2019.0,summer,LCS,2,TL,100 Thieves,1.0,OK,6/9/2019,100,Soligo,Orianna,red,0/0/0,0,0,○fb,15.0k,0.3k,14.3k,0.4k,185.5k,14.4k,150.2k,21.0k,-,5.0k,0.3k,2.5k,12.9k,5.7k,7.1k,0.1k,13,4,-,7,10.3k,9.7k,260,8,8,-
2019.0,summer,LCS,2,TL,100 Thieves,1.0,OK,6/9/2019,100,Bang,Sivir,red,0/2/2,0,0,○fb,9.9k,9.7k,0.2k,0.0k,186.7k,183.1k,3.6k,0.0k,470,3.0k,1.8k,1.8k,10.7k,7.1k,3.4k,0.1k,15,10,-,7,11.3k,11.1k,280,10,7,-
2019.0,summer,LCS,2,TL,100 Thieves,1.0,OK,6/9/2019,100,aphromoo,Nautilus,red,0/6/2,0,0,○fb,3.7k,0.8k,2.3k,0.6k,27.5k,8.7k,7.2k,11.6k,-,0.7k,0.7k,1.0k,15.9k,9.7k,5.9k,0.3k,33,3,-,11,6.1k,5.1k,48,-,-,-
2019.0,summer,LCS,9,TSM,TL,1.0,OK,8/5/2019,TSM,Broken Blade,Sylas,blue,0/4/0,0,0,○fb,14.7k,0.2k,13.9k,0.7k,179.6k,6.6k,172.4k,0.7k,-,7.3k,3.8k,5.8k,23.5k,16.4k,6.9k,0.2k,14,3,-,5,11.1k,11.3k,261,8,3,-
2019.0,summer,LCS,9,TSM,TL,1.0,OK,8/5/2019,TSM,Spica,Sejuani,blue,0/2/1,0,0,○fb,5.1k,2.6k,1.9k,0.6k,128.6k,68.2k,51.0k,9.3k,-,15.8k,0.0k,6.7k,19.7k,13.2k,6.2k,0.3k,5,12,-,5,8.3k,8.0k,19,123,81,-
2019.0,summer,LCS,9,TSM,TL,1.0,OK,8/5/2019,TSM,Bjergsen,Zed,blue,1/3/0,1,1,○fb,12.7k,11.4k,0.4k,0.9k,149.4k,126.3k,6.1k,17.0k,-,5.7k,0.1k,1.0k,10.5k,6.2k,4.0k,0.2k,16,7,-,8,10.5k,10.4k,236,12,12,-
2019.0,summer,LCS,9,TSM,TL,1.0,OK,8/5/2019,TSM,Zven,Sivir,blue,3/2/0,3,2,○fb,13.7k,12.9k,0.5k,0.3k,194.3k,177.9k,13.6k,2.9k,620,0.9k,0.9k,0.6k,8.7k,5.1k,3.6k,0.0k,11,7,-,3,12.4k,11.8k,307,5,5,-
2019.0,summer,LCS,9,TSM,TL,1.0,OK,8/5/2019,TSM,Smoothie,Nautilus,blue,0/6/4,0,0,○fb,4.4k,0.6k,3.3k,0.6k,21.5k,6.2k,6.5k,8.8k,-,0.0k,0.0k,0.9k,13.1k,5.1k,7.8k,0.1k,45,4,-,16,6.2k,6.2k,37,-,-,-
2019.0,summer,LCS,9,TSM,TL,1.0,OK,8/5/2019,TL,Impact,Volibear,red,3/0/8,3,1,○fb,16.0k,8.3k,7.6k,0.0k,156.7k,68.8k,86.3k,1.6k,-,9.4k,6.1k,1.6k,22.6k,9.4k,12.0k,1.2k,13,4,-,3,11.9k,10.1k,223,4,-,4
2019.0,summer,LCS,9,TSM,TL,1.0,OK,8/5/2019,TL,Xmithie,Nunu,red,2/1/11,2,1,○fb,4.8k,0.4k,4.4k,0.0k,143.7k,28.1k,63.3k,52.3k,-,21.2k,2.6k,14.7k,25.1k,18.8k,4.9k,1.4k,14,12,-,13,11.0k,10.0k,35,146,93,20
2019.0,summer,LCS,9,TSM,TL,1.0,OK,8/5/2019,TL,Jensen,Anivia,red,5/1/4,3,1,○fb,10.2k,0.8k,9.1k,0.3k,158.2k,10.0k,147.6k,0.6k,-,8.0k,1.5k,4.2k,15.2k,12.0k,1.5k,1.7k,9,4,-,5,12.2k,13.4k,226,30,21,-
2019.0,summer,LCS,9,TSM,TL,1.0,OK,8/5/2019,TL,Doublelift,Ashe,red,7/1/5,6,3,●fb,17.7k,15.5k,1.8k,0.4k,184.0k,175.3k,2.4k,6.3k,779,17.2k,6.7k,0.3k,6.8k,5.4k,1.0k,0.3k,11,12,-,5,14.1k,11.4k,294,8,8,-
2019.0,summer,LCS,9,TSM,TL,1.0,OK,8/5/2019,TL,CoreJJ,Braum,red,0/1/14,0,0,○fb,4.7k,0.6k,3.9k,0.1k,37.6k,10.2k,7.5k,19.9k,-,3.1k,1.2k,2.5k,12.4k,8.7k,3.3k,0.4k,38,9,-,9,8.3k,7.2k,69,-,-,-
2019.0,summer,LCS,Tiebreakers,Cloud9,CLG,1.0,OK,8/5/2019,C9,Licorice,Aatrox,blue,1/0/3,1,1,○fb,5.6k,5.6k,0.0k,0.0k,139.0k,138.3k,0.0k,0.7k,-,2.5k,2.5k,6.2k,12.2k,8.6k,2.2k,1.4k,12,1,-,5,9.9k,8.5k,207,17,5,4
2019.0,summer,LCS,Tiebreakers,Cloud9,CLG,1.0,OK,8/5/2019,C9,Svenskeren,RekSai,blue,1/1/6,1,1,○fb,3.2k,2.9k,0.0k,0.3k,131.2k,97.4k,6.4k,27.4k,-,31.7k,0.5k,12.5k,19.0k,15.0k,4.0k,0.0k,15,7,-,3,8.5k,6.0k,20,111,65,6
2019.0,summer,LCS,Tiebreakers,Cloud9,CLG,1.0,OK,8/5/2019,C9,Nisqy,Taliyah,blue,3/1/3,2,1,●fb,7.3k,0.3k,7.0k,0.0k,107.6k,11.5k,94.2k,1.8k,-,7.4k,1.9k,4.4k,8.7k,3.9k,4.6k,0.1k,8,5,-,3,9.3k,6.6k,176,12,8,4
2019.0,summer,LCS,Tiebreakers,Cloud9,CLG,1.0,OK,8/5/2019,C9,Sneaky,Caitlyn,blue,5/0/4,5,3,○fb,15.9k,13.0k,2.7k,0.2k,158.7k,139.3k,10.4k,9.0k,836,22.8k,14.6k,2.0k,7.7k,3.9k,3.8k,0.0k,10,14,-,5,13.6k,10.3k,236,16,4,4
2019.0,summer,LCS,Tiebreakers,Cloud9,CLG,1.0,OK,8/5/2019,C9,Zeyzal,Morgana,blue,0/0/10,0,0,○fb,3.1k,0.2k,2.6k,0.3k,15.3k,5.7k,8.2k,1.4k,-,5.2k,4.6k,0.6k,4.4k,2.4k,2.0k,0.0k,18,3,-,7,7.1k,4.4k,4,-,-,-
2019.0,summer,LCS,Tiebreakers,Cloud9,CLG,1.0,OK,8/5/2019,CLG,Ruin,Gangplank,red,1/1/0,1,1,○fb,6.4k,4.2k,1.8k,0.3k,141.3k,126.6k,6.1k,8.6k,-,3.4k,1.2k,3.2k,11.1k,7.6k,3.5k,0.0k,10,2,-,4,8.9k,8.1k,185,12,12,-
2019.0,summer,LCS,Tiebreakers,Cloud9,CLG,1.0,OK,8/5/2019,CLG,Wiggily,XinZhao,red,1/3/1,1,1,○fb,2.0k,1.5k,0.1k,0.4k,78.4k,66.6k,7.5k,4.3k,-,3.3k,0.8k,6.4k,14.7k,9.7k,4.9k,0.1k,19,7,-,10,6.6k,6.5k,12,91,65,12
2019.0,summer,LCS,Tiebreakers,Cloud9,CLG,1.0,OK,8/5/2019,CLG,PowerOfEvil,Azir,red,0/2/2,0,0,○fb,11.9k,0.3k,11.0k,0.5k,118.5k,6.2k,111.8k,0.5k,-,0.8k,0.1k,0.3k,11.5k,8.4k,2.8k,0.3k,12,5,-,6,8.4k,8.3k,211,4,4,-
2019.0,summer,LCS,Tiebreakers,Cloud9,CLG,1.0,OK,8/5/2019,CLG,Stixxay,Xayah,red,0/2/0,0,0,○fb,3.1k,3.0k,0.1k,0.0k,105.8k,102.0k,1.1k,2.7k,327,4.6k,2.5k,0.1k,7.2k,5.0k,2.1k,0.1k,8,2,-,3,7.9k,7.4k,192,4,1,-
2019.0,summer,LCS,Tiebreakers,Cloud9,CLG,1.0,OK,8/5/2019,CLG,Biofrost,Rakan,red,0/2/1,0,0,○fb,2.0k,0.0k,2.0k,0.0k,4.7k,1.6k,3.2k,0.0k,-,1.6k,1.6k,0.8k,5.5k,3.5k,1.7k,0.3k,28,11,-,13,4.7k,4.2k,14,-,-,-
