year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,spring,LCS,1,Immortals,FlyQuest,1.0,OK,1/26/2020,IMT,sOAZ,Aatrox,blue,0/3/2,0,0,○fb,9.8k,9.0k,0.0k,0.8k,194.5k,178.9k,0.0k,15.6k,-,11.0k,0.2k,6.9k,25.5k,18.2k,3.9k,3.4k,20,5,-,7,11.5k,11.4k,254,22,14,-
2020.0,spring,LCS,1,Immortals,FlyQuest,1.0,OK,1/26/2020,IMT,Xmithie,Trundle,blue,0/7/5,0,0,○fb,3.2k,1.4k,1.5k,0.4k,134.7k,86.5k,41.0k,7.2k,-,11.1k,0.6k,17.7k,35.8k,22.0k,13.0k,0.8k,8,12,-,8,9.6k,8.7k,22,136,108,2
2020.0,spring,LCS,1,Immortals,FlyQuest,1.0,OK,1/26/2020,IMT,Eika,Lucian,blue,4/5/1,2,1,●fb,12.7k,10.3k,1.6k,0.7k,238.0k,224.5k,9.8k,3.6k,957,7.2k,2.0k,2.7k,20.4k,12.4k,7.6k,0.4k,18,9,-,6,14.9k,15.2k,315,24,24,-
2020.0,spring,LCS,1,Immortals,FlyQuest,1.0,OK,1/26/2020,IMT,Altec,Cassiopeia,blue,4/3/3,2,1,○fb,10.6k,0.3k,9.9k,0.4k,218.9k,7.3k,208.1k,3.5k,-,10.9k,1.0k,11.2k,22.2k,14.5k,7.5k,0.2k,19,10,-,7,15.3k,14.6k,305,19,16,2
2020.0,spring,LCS,1,Immortals,FlyQuest,1.0,OK,1/26/2020,IMT,Hakuho,Thresh,blue,0/3/6,0,0,○fb,4.9k,0.4k,3.3k,1.2k,20.7k,5.5k,7.2k,8.0k,-,5.7k,0.3k,1.6k,12.2k,5.6k,6.2k,0.4k,53,19,-,19,8.0k,7.7k,41,-,-,-
2020.0,spring,LCS,1,Immortals,FlyQuest,1.0,OK,1/26/2020,FLY,V1per,Riven,red,8/0/5,8,2,○fb,19.7k,18.4k,0.0k,1.3k,265.1k,263.4k,0.0k,1.7k,-,17.6k,5.3k,9.7k,17.3k,11.3k,2.9k,3.2k,11,15,-,4,18.0k,15.3k,325,33,7,7
2020.0,spring,LCS,1,Immortals,FlyQuest,1.0,OK,1/26/2020,FLY,Santorin,LeeSin,red,4/3/12,2,1,○fb,9.9k,7.9k,1.1k,0.9k,196.7k,146.1k,34.1k,16.4k,-,37.7k,0.4k,10.3k,30.9k,21.0k,9.0k,0.9k,21,12,-,16,12.8k,11.5k,16,183,119,16
2020.0,spring,LCS,1,Immortals,FlyQuest,1.0,OK,1/26/2020,FLY,PowerOfEvil,Viktor,red,5/2/9,3,2,○fb,32.4k,0.3k,31.3k,0.7k,325.6k,12.3k,288.8k,24.6k,-,13.1k,5.1k,0.0k,9.0k,6.5k,2.4k,0.1k,16,10,-,4,17.1k,15.0k,335,31,21,7
2020.0,spring,LCS,1,Immortals,FlyQuest,1.0,OK,1/26/2020,FLY,WildTurtle,Senna,red,3/3/12,2,2,○fb,17.0k,15.3k,0.5k,1.3k,181.1k,173.7k,2.2k,5.2k,667,19.6k,3.7k,7.2k,10.0k,6.4k,3.3k,0.3k,17,8,-,9,14.3k,13.2k,267,24,20,-
2020.0,spring,LCS,1,Immortals,FlyQuest,1.0,OK,1/26/2020,FLY,IgNar,Blitzcrank,red,1/0/9,1,1,○fb,4.0k,1.0k,2.4k,0.6k,15.4k,5.4k,4.3k,5.8k,-,0.9k,0.8k,0.7k,7.6k,3.9k,3.5k,0.3k,77,14,-,21,8.5k,7.8k,38,-,-,-
