year,season,league_name,week,team_1,team_2,set_number,state
2017.0,summer,LCS_a,1,Gold Coin United,Tempo Storm,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,1,Gold Coin United,Tempo Storm,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,1,Big Gods Jackals,CLG Academy,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,1,Big Gods Jackals,CLG Academy,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,1,eUnited,Delta Fox,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,1,eUnited,Delta Fox,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,1,Big Gods Jackals,Tempo Storm,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,1,Big Gods Jackals,Tempo Storm,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,1,Delta Fox,CLG Academy,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,1,Delta Fox,CLG Academy,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,1,eUnited,Gold Coin United,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,1,eUnited,Gold Coin United,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,1,eUnited,Gold Coin United,3.0,this row doesn't have MH_url
2017.0,summer,LCS_a,2,Gold Coin United,Big Gods Jackals,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,2,Gold Coin United,Big Gods Jackals,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,2,Tempo Storm,Delta Fox,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,2,Tempo Storm,Delta Fox,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,2,CLG Academy,eUnited,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,2,CLG Academy,eUnited,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,2,CLG Academy,Gold Coin United,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,2,CLG Academy,Gold Coin United,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,2,CLG Academy,Gold Coin United,3.0,this row doesn't have MH_url
2017.0,summer,LCS_a,2,eUnited,Tempo Storm,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,2,eUnited,Tempo Storm,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,2,eUnited,Tempo Storm,3.0,this row doesn't have MH_url
2017.0,summer,LCS_a,2,Delta Fox,Big Gods Jackals,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,2,Delta Fox,Big Gods Jackals,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,Big Gods Jackals,Delta Fox,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,Big Gods Jackals,Delta Fox,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,Tempo Storm,eUnited,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,Tempo Storm,eUnited,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,Tempo Storm,eUnited,3.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,Gold Coin United,CLG Academy,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,Gold Coin United,CLG Academy,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,Delta Fox,eUnited,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,Delta Fox,eUnited,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,Delta Fox,eUnited,3.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,Big Gods Jackals,Gold Coin United,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,Big Gods Jackals,Gold Coin United,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,Big Gods Jackals,Gold Coin United,3.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,CLG Academy,Tempo Storm,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,CLG Academy,Tempo Storm,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,3,CLG Academy,Tempo Storm,3.0,this row doesn't have MH_url
2017.0,summer,LCS_a,4,Gold Coin United,Delta Fox,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,4,Gold Coin United,Delta Fox,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,4,Tempo Storm,Big Gods Jackals,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,4,Tempo Storm,Big Gods Jackals,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,4,eUnited,CLG Academy,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,4,eUnited,CLG Academy,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,4,Big Gods Jackals,eUnited,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,4,Big Gods Jackals,eUnited,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,4,CLG Academy,Delta Fox,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,4,CLG Academy,Delta Fox,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,4,Tempo Storm,Gold Coin United,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,4,Tempo Storm,Gold Coin United,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,4,Tempo Storm,Gold Coin United,3.0,this row doesn't have MH_url
2017.0,summer,LCS_a,5,Gold Coin United,eUnited,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,5,Gold Coin United,eUnited,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,5,Delta Fox,Tempo Storm,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,5,Delta Fox,Tempo Storm,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,5,Delta Fox,Tempo Storm,3.0,this row doesn't have MH_url
2017.0,summer,LCS_a,5,CLG Academy,Big Gods Jackals,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,5,CLG Academy,Big Gods Jackals,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,5,Tempo Storm,CLG Academy,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,5,Tempo Storm,CLG Academy,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,5,Delta Fox,Gold Coin United,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,5,Delta Fox,Gold Coin United,2.0,this row doesn't have MH_url
2017.0,summer,LCS_a,5,Delta Fox,Gold Coin United,3.0,this row doesn't have MH_url
2017.0,summer,LCS_a,5,eUnited,Big Gods Jackals,1.0,this row doesn't have MH_url
2017.0,summer,LCS_a,5,eUnited,Big Gods Jackals,2.0,this row doesn't have MH_url
