year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2018.0,spring,LCS_a,4,Echo Fox Academy,TL Academy,1.0,OK,2/9/2018,FOXA,Allorim,Poppy,blue,0/4/4,0,0,○fb,8.9k,5.8k,3.1k,0.0k,157.7k,106.7k,51.0k,0.0k,-,1.8k,1.3k,1.8k,24.5k,13.9k,6.8k,3.8k,11,2,-,2,11.9k,11.4k,285,16,1,6
2018.0,spring,LCS_a,4,Echo Fox Academy,TL Academy,1.0,OK,2/9/2018,FOXA,OddOrange,Sejuani,blue,0/3/7,0,0,○fb,6.4k,3.5k,2.9k,0.0k,146.2k,79.2k,53.6k,13.3k,-,6.6k,1.0k,9.0k,37.3k,20.3k,14.4k,2.6k,61,12,-,8,9.9k,9.7k,43,118,90,1
2018.0,spring,LCS_a,4,Echo Fox Academy,TL Academy,1.0,OK,2/9/2018,FOXA,Damonte,Ryze,blue,5/1/0,4,2,○fb,18.7k,0.8k,17.9k,0.0k,394.6k,11.1k,231.9k,151.5k,951,2.8k,2.8k,4.0k,17.6k,8.3k,9.0k,0.3k,16,6,-,8,14.6k,14.4k,319,28,24,-
2018.0,spring,LCS_a,4,Echo Fox Academy,TL Academy,1.0,OK,2/9/2018,FOXA,Lost,Varus,blue,4/0/3,4,1,○fb,20.7k,10.6k,9.7k,0.4k,237.4k,143.3k,84.4k,9.7k,499,17.3k,6.6k,3.0k,8.8k,5.3k,2.8k,0.7k,19,13,-,9,15.2k,14.2k,341,20,13,-
2018.0,spring,LCS_a,4,Echo Fox Academy,TL Academy,1.0,OK,2/9/2018,FOXA,Papa Chau,Alistar,blue,0/5/6,0,0,○fb,4.2k,0.2k,3.3k,0.6k,30.7k,9.1k,9.7k,11.9k,-,4.1k,2.4k,5.1k,23.1k,8.6k,13.6k,0.9k,37,11,-,9,7.8k,6.7k,58,-,-,-
2018.0,spring,LCS_a,4,Echo Fox Academy,TL Academy,1.0,OK,2/9/2018,TLA,V1PER,Camille,red,0/3/5,0,0,○fb,16.3k,9.9k,0.7k,5.7k,172.9k,143.4k,0.7k,28.8k,-,11.7k,9.4k,2.2k,20.5k,9.7k,10.8k,0.0k,18,2,-,3,13.1k,12.2k,259,15,15,-
2018.0,spring,LCS_a,4,Echo Fox Academy,TL Academy,1.0,OK,2/9/2018,TLA,Hard,Gragas,red,0/2/5,0,0,○fb,5.8k,0.7k,4.9k,0.2k,134.9k,27.6k,92.1k,15.2k,479,14.0k,0.4k,16.7k,34.2k,22.0k,12.0k,0.2k,36,23,-,16,10.6k,10.2k,30,133,92,-
2018.0,spring,LCS_a,4,Echo Fox Academy,TL Academy,1.0,OK,2/9/2018,TLA,Mickey,Azir,red,5/0/6,5,1,○fb,34.2k,1.1k,33.1k,0.0k,278.3k,17.6k,259.6k,1.1k,-,26.7k,6.8k,2.7k,12.1k,4.7k,7.0k,0.5k,20,17,-,6,16.6k,15.1k,324,43,27,4
2018.0,spring,LCS_a,4,Echo Fox Academy,TL Academy,1.0,OK,2/9/2018,TLA,Shoryu,Xayah,red,8/2/2,3,2,●fb,25.2k,24.1k,0.1k,1.0k,211.0k,208.2k,0.4k,2.4k,1045,20.1k,12.2k,3.4k,7.6k,3.2k,4.2k,0.1k,13,8,-,6,16.7k,14.1k,306,14,9,4
2018.0,spring,LCS_a,4,Echo Fox Academy,TL Academy,1.0,OK,2/9/2018,TLA,Joey,Janna,red,0/2/12,0,0,○fb,7.5k,0.5k,5.6k,1.4k,22.4k,3.7k,17.3k,1.4k,-,4.5k,1.9k,9.1k,10.0k,3.5k,6.3k,0.2k,46,14,-,13,9.8k,8.4k,23,-,-,-
