year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2018.0,summer,LCS_a,1,TSM Academy,CLG Academy,1.0,OK,6/15/2018,TSMA,PieCakeLord,Shen,blue,0/2/5,0,0,○fb,4.5k,3.1k,1.4k,0.0k,87.0k,77.2k,9.8k,0.0k,-,1.3k,0.0k,0.3k,10.4k,6.7k,3.5k,0.2k,13,2,-,5,7.8k,7.4k,171,4,1,-
2018.0,summer,LCS_a,1,TSM Academy,CLG Academy,1.0,OK,6/15/2018,TSMA,MikeYeung,Trundle,blue,0/2/6,0,0,○fb,5.8k,3.9k,1.5k,0.5k,107.3k,88.1k,14.1k,5.1k,-,11.0k,3.2k,11.7k,20.5k,13.9k,5.7k,0.9k,6,3,-,4,7.5k,6.7k,13,112,76,11
2018.0,summer,LCS_a,1,TSM Academy,CLG Academy,1.0,OK,6/15/2018,TSMA,Ablazeolive,Yasuo,blue,5/2/1,5,2,●fb,7.1k,5.4k,0.8k,0.9k,104.2k,95.9k,5.3k,2.9k,1983,9.3k,0.0k,0.8k,9.6k,6.5k,2.6k,0.6k,10,2,-,4,9.6k,8.9k,202,4,1,-
2018.0,summer,LCS_a,1,TSM Academy,CLG Academy,1.0,OK,6/15/2018,TSMA,MrRallez,Kaisa,blue,1/1/2,1,1,○fb,7.3k,2.6k,4.5k,0.2k,110.0k,77.6k,27.2k,5.2k,-,10.2k,2.6k,1.9k,5.6k,3.5k,1.8k,0.3k,6,5,-,3,8.7k,8.1k,210,8,8,-
2018.0,summer,LCS_a,1,TSM Academy,CLG Academy,1.0,OK,6/15/2018,TSMA,Shady,Rakan,blue,0/2/4,0,0,○fb,2.2k,0.3k,1.9k,0.0k,8.8k,5.4k,3.4k,0.0k,-,1.2k,1.1k,0.5k,5.0k,3.3k,1.6k,0.1k,32,9,-,12,5.9k,5.7k,13,-,-,-
2018.0,summer,LCS_a,1,TSM Academy,CLG Academy,1.0,OK,6/15/2018,CLGA,FallnBandit,DrMundo,red,3/1/4,2,2,○fb,7.9k,1.4k,6.4k,0.1k,253.1k,28.8k,72.1k,152.2k,-,11.5k,1.1k,7.0k,13.0k,10.2k,2.6k,0.2k,13,5,-,7,9.6k,8.4k,179,17,3,4
2018.0,summer,LCS_a,1,TSM Academy,CLG Academy,1.0,OK,6/15/2018,CLGA,Wiggily,Camille,red,1/2/7,1,1,○fb,4.4k,3.3k,0.3k,0.9k,132.0k,104.2k,7.1k,20.7k,-,25.3k,6.5k,11.2k,21.8k,17.1k,4.1k,0.5k,14,3,-,10,10.0k,8.4k,15,134,77,25
2018.0,summer,LCS_a,1,TSM Academy,CLG Academy,1.0,OK,6/15/2018,CLGA,Tuesday,Renekton,red,2/2/7,2,2,○fb,7.3k,5.2k,1.6k,0.5k,111.3k,101.5k,3.0k,6.8k,-,7.6k,1.6k,3.4k,15.6k,11.3k,3.6k,0.7k,10,2,-,4,10.1k,8.1k,197,4,1,-
2018.0,summer,LCS_a,1,TSM Academy,CLG Academy,1.0,OK,6/15/2018,CLGA,Auto,Lucian,red,3/0/5,3,2,○fb,8.0k,6.6k,1.2k,0.2k,129.9k,122.3k,3.7k,3.9k,-,16.0k,7.9k,1.1k,4.6k,3.0k,1.6k,0.0k,10,4,-,5,11.4k,9.3k,248,4,4,-
2018.0,summer,LCS_a,1,TSM Academy,CLG Academy,1.0,OK,6/15/2018,CLGA,Fill,Leona,red,0/1/8,0,0,○fb,3.0k,0.2k,2.4k,0.3k,176.1k,9.1k,6.3k,160.7k,-,3.0k,2.2k,1.3k,3.9k,2.4k,1.3k,0.2k,29,10,-,13,7.1k,5.8k,54,-,-,-
