year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2019.0,spring,LCS_a,1,TL Academy,Cloud9 Academy,1.0,OK,1/18/2019,C9,Kumo,Aatrox,blue,2/2/8,2,1,○fb,12.6k,12.6k,0.0k,0.0k,212.4k,207.6k,0.0k,4.9k,-,8.7k,2.2k,16.0k,28.8k,17.5k,5.3k,6.0k,15,4,-,6,13.1k,12.6k,258,27,3,17
2019.0,spring,LCS_a,1,TL Academy,Cloud9 Academy,1.0,OK,1/18/2019,C9,Blaber,Sejuani,blue,1/0/16,1,1,○fb,14.2k,6.0k,7.4k,0.9k,149.5k,70.9k,66.5k,12.1k,-,21.7k,0.7k,11.7k,25.4k,20.0k,4.5k,0.8k,15,3,-,11,11.0k,9.6k,20,126,78,9
2019.0,spring,LCS_a,1,TL Academy,Cloud9 Academy,1.0,OK,1/18/2019,C9,Goldenglue,Irelia,blue,4/4/3,3,1,○fb,8.5k,3.7k,2.6k,2.2k,157.3k,104.6k,24.5k,28.2k,-,5.8k,2.2k,6.0k,19.9k,8.4k,11.0k,0.5k,18,9,-,9,11.8k,9.7k,241,8,8,-
2019.0,spring,LCS_a,1,TL Academy,Cloud9 Academy,1.0,OK,1/18/2019,C9,Keith,Corki,blue,7/0/6,7,2,○fb,19.9k,1.7k,17.3k,0.9k,197.0k,27.2k,162.6k,7.2k,619,21.3k,8.3k,3.9k,10.3k,7.6k,2.6k,0.2k,11,15,-,5,15.4k,12.6k,299,20,20,-
2019.0,spring,LCS_a,1,TL Academy,Cloud9 Academy,1.0,OK,1/18/2019,C9,Diamond,Leona,blue,5/1/7,4,2,○fb,4.1k,0.9k,2.5k,0.6k,44.1k,13.5k,7.8k,22.7k,-,2.9k,2.4k,2.8k,9.4k,5.8k,2.8k,0.8k,29,6,-,5,11.5k,6.7k,65,-,-,-
2019.0,spring,LCS_a,1,TL Academy,Cloud9 Academy,1.0,OK,1/18/2019,TL,Jenkins,Urgot,red,3/5/0,2,1,○fb,14.3k,12.1k,0.4k,1.8k,138.7k,129.7k,0.4k,8.5k,-,4.8k,0.0k,0.7k,22.4k,12.8k,8.9k,0.7k,14,5,-,4,10.4k,9.8k,202,4,-,-
2019.0,spring,LCS_a,1,TL Academy,Cloud9 Academy,1.0,OK,1/18/2019,TL,MikeYeung,Jax,red,0/5/3,0,0,○fb,5.4k,3.7k,1.0k,0.7k,140.2k,100.8k,31.3k,8.1k,-,20.9k,0.0k,7.5k,20.9k,14.4k,5.3k,1.2k,14,7,-,8,8.6k,8.2k,19,135,94,12
2019.0,spring,LCS_a,1,TL Academy,Cloud9 Academy,1.0,OK,1/18/2019,TL,Insanity,Leblanc,red,4/3/0,3,1,●fb,19.0k,2.1k,16.0k,0.9k,126.2k,17.1k,101.7k,7.3k,-,8.3k,2.3k,1.8k,15.6k,9.6k,5.1k,1.0k,13,5,-,7,10.2k,9.6k,208,8,8,-
2019.0,spring,LCS_a,1,TL Academy,Cloud9 Academy,1.0,OK,1/18/2019,TL,Shoryu,Xayah,red,0/3/3,0,0,○fb,14.9k,12.8k,0.6k,1.4k,177.6k,171.1k,3.3k,3.2k,513,3.6k,0.1k,1.3k,11.7k,3.0k,8.0k,0.7k,11,5,-,3,11.1k,11.0k,280,16,12,-
2019.0,spring,LCS_a,1,TL Academy,Cloud9 Academy,1.0,OK,1/18/2019,TL,Matt,Rakan,red,0/3/2,0,0,○fb,4.8k,0.2k,4.2k,0.3k,14.2k,8.2k,5.6k,0.3k,-,1.2k,0.7k,2.8k,8.9k,3.3k,4.5k,1.1k,27,8,-,11,5.7k,5.5k,9,-,-,-
