year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,summer,LCS_a,1,CLG Academy,Immortals Academy,1.0,OK,6/13/2020,CLG,Deus,Ornn,blue,0/3/0,0,0,○fb,12.6k,5.0k,7.2k,0.5k,169.4k,81.0k,76.3k,12.1k,17,6.0k,0.0k,3.3k,23.9k,13.7k,9.3k,0.9k,12,7,-,1,10.3k,10.3k,249,12,4,-
2020.0,summer,LCS_a,1,CLG Academy,Immortals Academy,1.0,OK,6/13/2020,CLG,Fragas,JarvanIV,blue,0/5/2,0,0,○fb,5.1k,3.3k,0.6k,1.1k,122.4k,73.2k,38.3k,10.9k,16,17.4k,0.0k,7.7k,23.7k,12.3k,11.1k,0.3k,11,13,-,11,7.8k,7.5k,20,124,100,4
2020.0,summer,LCS_a,1,CLG Academy,Immortals Academy,1.0,OK,6/13/2020,CLG,Tuesday,Galio,blue,1/2/1,1,1,○fb,7.3k,0.0k,6.7k,0.6k,168.3k,5.7k,158.5k,4.1k,-,3.0k,0.0k,3.2k,19.8k,13.7k,5.7k,0.3k,15,2,-,8,10.2k,10.1k,238,8,8,-
2020.0,summer,LCS_a,1,CLG Academy,Immortals Academy,1.0,OK,6/13/2020,CLG,Wind,Xayah,blue,1/4/1,1,1,○fb,20.0k,17.2k,0.4k,2.3k,219.4k,215.7k,1.3k,2.3k,758,4.3k,1.6k,2.2k,14.4k,7.6k,6.6k,0.2k,9,2,-,3,13.2k,12.4k,299,17,17,-
2020.0,summer,LCS_a,1,CLG Academy,Immortals Academy,1.0,OK,6/13/2020,CLG,Fill,Rakan,blue,0/2/2,0,0,○fb,5.1k,0.7k,3.8k,0.6k,18.6k,6.5k,7.3k,4.9k,-,2.3k,1.2k,3.6k,13.4k,5.1k,7.9k,0.4k,39,9,-,11,6.2k,6.0k,35,-,-,-
2020.0,summer,LCS_a,1,CLG Academy,Immortals Academy,1.0,OK,6/13/2020,IMT,Allorim,Aatrox,red,5/0/6,5,3,○fb,16.3k,16.3k,0.0k,0.0k,177.9k,170.3k,0.0k,7.6k,-,4.9k,1.1k,15.7k,30.3k,19.0k,6.0k,5.2k,11,2,-,5,13.7k,12.7k,249,22,5,6
2020.0,summer,LCS_a,1,CLG Academy,Immortals Academy,1.0,OK,6/13/2020,IMT,Xmithie,Trundle,red,1/0/14,1,1,○fb,8.6k,4.9k,2.7k,0.9k,130.1k,83.2k,30.1k,16.7k,-,34.7k,3.6k,18.4k,34.7k,24.1k,9.7k,0.8k,8,20,-,7,10.5k,9.6k,38,122,71,6
2020.0,summer,LCS_a,1,CLG Academy,Immortals Academy,1.0,OK,6/13/2020,IMT,Insanity,Corki,red,6/1/6,4,2,●fb,20.9k,1.9k,18.2k,0.8k,270.2k,34.1k,220.8k,15.3k,699,20.7k,12.3k,1.6k,10.2k,7.5k,2.6k,0.1k,18,4,-,7,15.8k,15.2k,279,37,21,12
2020.0,summer,LCS_a,1,CLG Academy,Immortals Academy,1.0,OK,6/13/2020,IMT,Apollo,Ezreal,red,4/1/7,4,3,○fb,17.1k,11.1k,5.6k,0.5k,193.4k,171.8k,19.5k,2.0k,-,22.7k,5.6k,1.9k,10.7k,7.2k,2.5k,1.0k,17,7,-,7,14.3k,12.7k,277,14,8,2
2020.0,summer,LCS_a,1,CLG Academy,Immortals Academy,1.0,OK,6/13/2020,IMT,Hakuho,Yuumi,red,0/0/16,0,0,○fb,11.6k,0.5k,11.1k,0.0k,20.3k,2.1k,15.9k,2.3k,-,5.5k,1.3k,19.7k,2.3k,1.2k,1.1k,0.1k,40,5,-,12,7.6k,7.0k,8,-,-,-
