year,season,league_name,week,team_1,team_2,set_number,state
2017.0,spring,LDL,1,IN Gaming,Young Miracles,1.0,this row doesn't have MH_url
2017.0,spring,LDL,1,IN Gaming,Young Miracles,2.0,this row doesn't have MH_url
2017.0,spring,LDL,1,DS Gaming,Gama Dream,1.0,this row doesn't have MH_url
2017.0,spring,LDL,1,DS Gaming,Gama Dream,2.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Oh My Dream,Mighty Eagle,1.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Oh My Dream,Mighty Eagle,2.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Now or Never,Legend Dragon,1.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Now or Never,Legend Dragon,2.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Now or Never,Legend Dragon,3.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Royal Club,Suning,1.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Royal Club,Suning,2.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Royal Club,Suning,3.0,this row doesn't have MH_url
2017.0,spring,LDL,1,DAN Gaming,Saint Gaming,1.0,this row doesn't have MH_url
2017.0,spring,LDL,1,DAN Gaming,Saint Gaming,2.0,this row doesn't have MH_url
2017.0,spring,LDL,1,DS Gaming,Oh My Dream,1.0,this row doesn't have MH_url
2017.0,spring,LDL,1,DS Gaming,Oh My Dream,2.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Legend Dragon,DAN Gaming,1.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Legend Dragon,DAN Gaming,2.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Legend Dragon,DAN Gaming,3.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Now or Never,Royal Club,1.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Now or Never,Royal Club,2.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Suning,Gama Dream,1.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Suning,Gama Dream,2.0,this row doesn't have MH_url
2017.0,spring,LDL,1,IN Gaming,Mighty Eagle,1.0,this row doesn't have MH_url
2017.0,spring,LDL,1,IN Gaming,Mighty Eagle,2.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Young Miracles,Saint Gaming,1.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Young Miracles,Saint Gaming,2.0,this row doesn't have MH_url
2017.0,spring,LDL,1,Young Miracles,Saint Gaming,3.0,this row doesn't have MH_url
2017.0,spring,LDL,2,Saint Gaming,IN Gaming,1.0,this row doesn't have MH_url
2017.0,spring,LDL,2,Saint Gaming,IN Gaming,2.0,this row doesn't have MH_url
2017.0,spring,LDL,2,Saint Gaming,IN Gaming,3.0,this row doesn't have MH_url
2017.0,spring,LDL,2,DAN Gaming,Young Miracles,1.0,this row doesn't have MH_url
2017.0,spring,LDL,2,DAN Gaming,Young Miracles,2.0,this row doesn't have MH_url
2017.0,spring,LDL,2,DAN Gaming,Young Miracles,3.0,this row doesn't have MH_url
2017.0,spring,LDL,2,Royal Club,Legend Dragon,1.0,this row doesn't have MH_url
2017.0,spring,LDL,2,Royal Club,Legend Dragon,2.0,this row doesn't have MH_url
2017.0,spring,LDL,2,Oh My Dream,Gama Dream,1.0,this row doesn't have MH_url
2017.0,spring,LDL,2,Oh My Dream,Gama Dream,2.0,this row doesn't have MH_url
2017.0,spring,LDL,2,Mighty Eagle,DS Gaming,1.0,this row doesn't have MH_url
2017.0,spring,LDL,2,Mighty Eagle,DS Gaming,2.0,this row doesn't have MH_url
2017.0,spring,LDL,2,Now or Never,Suning,1.0,this row doesn't have MH_url
