year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2019.0,spring,LEC,1,Fnatic,SK Gaming,1.0,OK,19/1/2019,FNC,Bwipo,Sion,blue,3/2/5,3,1,○fb,16.4k,9.3k,7.0k,0.0k,123.5k,83.9k,34.3k,5.3k,-,2.4k,1.8k,3.8k,25.1k,16.1k,8.4k,0.6k,15,2,-,6,10.0k,9.6k,197,4,-,-
2019.0,spring,LEC,1,Fnatic,SK Gaming,1.0,OK,19/1/2019,FNC,Broxah,LeeSin,blue,2/2/6,2,1,○fb,5.8k,5.0k,0.6k,0.2k,171.4k,126.1k,27.7k,17.6k,-,27.3k,0.0k,7.5k,25.4k,18.9k,6.0k,0.4k,13,10,-,8,10.5k,10.5k,24,152,107,11
2019.0,spring,LEC,1,Fnatic,SK Gaming,1.0,OK,19/1/2019,FNC,Nemesis,Akali,blue,3/0/3,3,1,○fb,20.6k,2.1k,18.5k,0.0k,172.5k,24.9k,137.6k,10.0k,-,6.0k,3.2k,10.2k,17.0k,9.8k,7.0k,0.2k,15,7,-,7,11.6k,11.7k,266,20,16,4
2019.0,spring,LEC,1,Fnatic,SK Gaming,1.0,OK,19/1/2019,FNC,Rekkles,Lucian,blue,1/3/6,1,1,○fb,13.0k,10.4k,2.5k,0.1k,161.9k,149.4k,7.7k,4.8k,534,11.2k,2.5k,3.1k,15.0k,8.3k,6.5k,0.2k,11,9,-,4,12.3k,12.2k,283,12,4,-
2019.0,spring,LEC,1,Fnatic,SK Gaming,1.0,OK,19/1/2019,FNC,Hylissang,Pyke,blue,3/4/6,3,1,○fb,6.7k,4.9k,0.3k,1.5k,33.3k,19.5k,0.3k,13.5k,-,1.0k,1.0k,9.3k,21.1k,10.8k,9.5k,0.8k,28,8,-,10,9.6k,7.9k,53,-,-,-
2019.0,spring,LEC,1,Fnatic,SK Gaming,1.0,OK,19/1/2019,SK,Werlyb,Poppy,red,2/4/1,2,1,●fb,13.7k,10.8k,3.0k,0.0k,176.2k,126.8k,30.9k,18.4k,-,5.7k,1.1k,1.4k,24.0k,13.0k,10.4k,0.5k,15,6,-,6,11.4k,10.9k,242,12,8,-
2019.0,spring,LEC,1,Fnatic,SK Gaming,1.0,OK,19/1/2019,SK,Selfmade,Sejuani,red,2/2/7,2,1,○fb,11.3k,5.6k,4.8k,0.9k,142.0k,80.2k,55.4k,6.4k,-,13.9k,1.2k,6.6k,24.1k,16.9k,6.5k,0.7k,15,9,-,15,9.8k,9.3k,17,124,87,8
2019.0,spring,LEC,1,Fnatic,SK Gaming,1.0,OK,19/1/2019,SK,Pirean,Lissandra,red,2/4/5,2,1,○fb,15.7k,1.8k,13.8k,0.1k,173.5k,15.5k,152.1k,5.8k,-,5.8k,4.6k,1.7k,17.0k,10.8k,5.9k,0.4k,4,6,-,4,11.8k,11.7k,255,10,5,-
2019.0,spring,LEC,1,Fnatic,SK Gaming,1.0,OK,19/1/2019,SK,Crownshot,Ezreal,red,5/1/3,4,2,○fb,29.4k,19.1k,9.4k,0.9k,208.0k,166.9k,32.5k,8.6k,-,22.6k,11.8k,0.8k,10.1k,6.3k,3.7k,0.1k,7,10,-,-,15.4k,14.7k,284,22,22,-
2019.0,spring,LEC,1,Fnatic,SK Gaming,1.0,OK,19/1/2019,SK,Dreams,Braum,red,0/1/7,0,0,○fb,4.6k,0.5k,3.7k,0.4k,28.7k,9.1k,7.8k,11.8k,-,4.1k,2.9k,2.0k,11.2k,6.3k,4.9k,0.0k,48,5,-,10,9.0k,6.7k,50,-,-,-
