year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2017.0,spring,LJL,5,Rascal Jester,Detonation FocusMe,1.0,OK,2/18/2017,RJ,Atyamomo,Gragas,blue,1/3/1,1,1,○fb,16.5k,3.8k,12.5k,0.2k,147.0k,38.6k,106.6k,1.8k,194,0.0k,0.0k,10.8k,25.6k,11.5k,14.0k,0.2k,18,3,-,3,11.0k,10.0k,248,1,1,-
2017.0,spring,LJL,5,Rascal Jester,Detonation FocusMe,1.0,OK,2/18/2017,RJ,WyverN,LeeSin,blue,3/2/1,2,1,○fb,7.1k,6.2k,0.8k,0.1k,150.8k,130.7k,13.5k,6.6k,-,0.0k,0.0k,6.8k,25.3k,17.9k,6.9k,0.5k,19,4,-,3,10.5k,10.9k,19,135,77,58
2017.0,spring,LJL,5,Rascal Jester,Detonation FocusMe,1.0,OK,2/18/2017,RJ,alleycat,Syndra,blue,0/5/0,0,0,○fb,12.2k,0.4k,10.8k,1.0k,171.2k,10.8k,157.2k,3.2k,-,0.0k,0.0k,1.1k,15.8k,4.7k,11.1k,0.0k,17,4,-,5,11.2k,10.9k,272,22,22,-
2017.0,spring,LJL,5,Rascal Jester,Detonation FocusMe,1.0,OK,2/18/2017,RJ,NoA,Varus,blue,0/1/2,0,0,○fb,22.2k,21.4k,0.7k,0.1k,166.3k,161.9k,4.1k,0.2k,-,0.0k,0.0k,1.5k,7.6k,3.3k,4.2k,0.0k,13,3,-,3,11.5k,11.0k,295,4,4,-
2017.0,spring,LJL,5,Rascal Jester,Detonation FocusMe,1.0,OK,2/18/2017,RJ,Yuki,Karma,blue,0/2/2,0,0,○fb,9.0k,0.7k,8.0k,0.3k,25.9k,4.0k,20.9k,1.0k,-,0.0k,0.0k,2.0k,9.2k,2.8k,6.1k,0.2k,46,12,-,14,7.9k,7.5k,23,-,-,-
2017.0,spring,LJL,5,Rascal Jester,Detonation FocusMe,1.0,OK,2/18/2017,DFM,Yutapon,Maokai,red,3/1/7,2,1,●fb,15.0k,2.2k,12.8k,0.0k,182.6k,29.9k,152.7k,0.0k,-,0.0k,0.0k,19.3k,37.6k,21.2k,15.5k,0.9k,15,4,-,4,13.8k,13.4k,281,2,-,2
2017.0,spring,LJL,5,Rascal Jester,Detonation FocusMe,1.0,OK,2/18/2017,DFM,Shrimp,Khazix,red,3/1/6,2,1,○fb,11.3k,9.8k,1.1k,0.3k,226.1k,205.8k,5.8k,14.5k,-,0.0k,0.0k,15.8k,28.1k,23.1k,5.0k,0.0k,13,11,-,6,13.5k,10.5k,53,146,92,54
2017.0,spring,LJL,5,Rascal Jester,Detonation FocusMe,1.0,OK,2/18/2017,DFM,Ceros,Corki,red,4/0/5,4,2,○fb,24.0k,1.7k,22.2k,0.1k,226.0k,51.2k,174.7k,0.1k,-,0.0k,0.0k,5.2k,13.3k,6.5k,6.3k,0.4k,18,7,-,4,15.2k,12.2k,314,11,4,7
2017.0,spring,LJL,5,Rascal Jester,Detonation FocusMe,1.0,OK,2/18/2017,DFM,Zerost,Jhin,red,3/2/3,2,1,○fb,8.7k,7.1k,1.3k,0.3k,141.5k,133.8k,6.4k,1.3k,1406,0.0k,0.0k,2.8k,10.9k,7.8k,3.1k,0.1k,9,2,-,3,13.2k,11.3k,229,6,2,4
2017.0,spring,LJL,5,Rascal Jester,Detonation FocusMe,1.0,OK,2/18/2017,DFM,viviD,Leona,red,0/0/8,0,0,○fb,2.7k,0.5k,2.0k,0.2k,31.6k,11.7k,9.6k,10.3k,-,0.0k,0.0k,5.7k,16.9k,9.9k,6.9k,0.1k,36,19,-,6,10.1k,7.8k,69,1,-,1
2017.0,spring,LJL,7,7th heaven,SCARZ,2.0,OK,3/5/2017,SZ,Kazu,Maokai,blue,0/4/5,0,0,○fb,16.2k,1.9k,14.3k,0.0k,154.0k,22.7k,131.4k,0.0k,-,0.0k,0.0k,12.0k,32.4k,18.1k,11.7k,2.7k,9,6,-,2,10.9k,10.6k,267,3,2,1
2017.0,spring,LJL,7,7th heaven,SCARZ,2.0,OK,3/5/2017,SZ,DayDream,Graves,blue,3/5/4,2,1,○fb,13.9k,12.6k,1.0k,0.3k,161.3k,148.8k,4.9k,7.6k,-,0.0k,0.0k,4.6k,21.5k,11.8k,8.5k,1.1k,31,12,-,3,11.0k,11.1k,81,90,78,12
2017.0,spring,LJL,7,7th heaven,SCARZ,2.0,OK,3/5/2017,SZ,Search,Katarina,blue,1/7/5,1,1,○fb,8.8k,0.7k,7.5k,0.6k,128.6k,12.5k,115.5k,0.6k,-,0.0k,0.0k,2.6k,16.4k,10.6k,4.4k,1.3k,19,5,-,6,10.5k,9.9k,190,11,11,-
2017.0,spring,LJL,7,7th heaven,SCARZ,2.0,OK,3/5/2017,SZ,Day1,Ashe,blue,3/3/2,2,2,○fb,9.4k,8.1k,0.8k,0.4k,153.4k,151.4k,0.8k,1.1k,510,0.0k,0.0k,1.7k,9.0k,6.0k,3.0k,0.0k,16,8,-,5,12.1k,11.9k,270,10,8,2
2017.0,spring,LJL,7,7th heaven,SCARZ,2.0,OK,3/5/2017,SZ,Air,Thresh,blue,0/5/5,0,0,○fb,1.2k,0.2k,1.0k,0.0k,9.6k,3.0k,6.6k,0.0k,-,0.0k,0.0k,0.3k,12.8k,7.6k,3.8k,1.5k,47,16,-,9,7.2k,6.5k,31,-,-,-
2017.0,spring,LJL,7,7th heaven,SCARZ,2.0,OK,3/5/2017,7h,SatoRy,Shen,red,4/0/15,4,1,○fb,20.0k,10.0k,9.8k,0.2k,167.4k,80.1k,84.3k,3.0k,-,0.0k,0.0k,4.0k,20.1k,10.3k,9.6k,0.2k,19,7,-,3,14.0k,12.2k,271,2,-,2
