year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2017.0,spring,LJL,1,Rampage,Detonation FocusMe,1.0,OK,1/20/2017,RPG,Evi,Nautilus,blue,1/5/3,1,1,●fb,15.0k,3.1k,11.9k,0.0k,161.9k,32.5k,129.4k,0.0k,-,0.0k,0.0k,2.4k,22.3k,13.7k,7.6k,1.0k,14,3,-,2,12.1k,10.7k,260,11,2,9
2017.0,spring,LJL,1,Rampage,Detonation FocusMe,1.0,OK,1/20/2017,RPG,Tussle,RekSai,blue,0/4/6,0,0,○fb,5.4k,1.7k,3.6k,0.0k,172.9k,92.9k,62.2k,17.8k,-,0.0k,0.0k,17.2k,42.3k,28.5k,12.5k,1.2k,32,21,-,2,11.2k,10.8k,34,153,86,67
2017.0,spring,LJL,1,Rampage,Detonation FocusMe,1.0,OK,1/20/2017,RPG,Ramune,Orianna,blue,2/4/3,2,1,○fb,12.8k,0.6k,12.2k,0.0k,187.5k,19.6k,167.9k,0.0k,-,0.0k,0.0k,1.6k,15.1k,7.4k,7.5k,0.2k,14,3,-,3,13.1k,12.4k,303,7,7,-
2017.0,spring,LJL,1,Rampage,Detonation FocusMe,1.0,OK,1/20/2017,RPG,YutoriMoyasi,Ashe,blue,3/1/4,3,2,○fb,20.7k,17.6k,2.2k,0.9k,295.5k,290.2k,2.5k,2.8k,750,0.0k,0.0k,3.5k,12.5k,8.2k,4.3k,0.0k,17,8,-,4,17.0k,17.0k,408,22,19,3
2017.0,spring,LJL,1,Rampage,Detonation FocusMe,1.0,OK,1/20/2017,RPG,Dara,Zyra,blue,3/3/5,2,2,○fb,15.1k,0.5k,14.4k,0.3k,35.1k,2.7k,32.2k,0.3k,-,0.0k,0.0k,0.1k,9.1k,2.3k,6.5k,0.3k,51,12,-,15,9.9k,8.7k,31,-,-,-
2017.0,spring,LJL,1,Rampage,Detonation FocusMe,1.0,OK,1/20/2017,DFM,Yutapon,Poppy,red,2/0/10,2,1,○fb,10.9k,8.6k,2.3k,0.1k,164.0k,118.6k,44.6k,0.7k,-,0.0k,0.0k,3.6k,27.2k,15.6k,10.9k,0.7k,20,14,-,4,14.8k,13.3k,289,11,6,5
2017.0,spring,LJL,1,Rampage,Detonation FocusMe,1.0,OK,1/20/2017,DFM,Paz,Elise,red,2/1/11,2,1,○fb,12.4k,1.2k,11.0k,0.2k,174.7k,43.0k,115.2k,16.4k,-,0.0k,0.0k,11.2k,22.7k,11.7k,10.9k,0.1k,28,12,-,6,13.7k,12.3k,31,119,64,55
2017.0,spring,LJL,1,Rampage,Detonation FocusMe,1.0,OK,1/20/2017,DFM,Ceros,Syndra,red,5/3/8,2,1,○fb,17.5k,0.5k,16.1k,1.0k,186.7k,13.3k,169.5k,4.0k,-,0.0k,0.0k,1.7k,13.4k,4.4k,9.0k,0.1k,26,3,-,10,15.4k,14.9k,272,17,12,5
2017.0,spring,LJL,1,Rampage,Detonation FocusMe,1.0,OK,1/20/2017,DFM,Zerost,Jhin,red,7/1/6,4,2,○fb,24.4k,20.8k,3.4k,0.3k,193.4k,184.6k,7.6k,1.2k,2226,0.0k,0.0k,3.6k,12.8k,6.4k,6.3k,0.1k,14,6,-,4,15.8k,13.8k,254,4,3,1
2017.0,spring,LJL,1,Rampage,Detonation FocusMe,1.0,OK,1/20/2017,DFM,viviD,Thresh,red,1/4/12,1,1,○fb,5.0k,0.8k,3.0k,1.2k,17.9k,7.7k,9.0k,1.2k,-,0.0k,0.0k,3.9k,17.3k,7.2k,9.8k,0.3k,45,13,-,11,10.8k,10.3k,47,-,-,-
