year,season,league_name,week,team_1,team_2,set_number,state
2017.0,summer,LJL,1,Rampage,Burning Core,1.0,this row doesn't have MH_url
2017.0,summer,LJL,1,Rampage,Burning Core,2.0,this row doesn't have MH_url
2017.0,summer,LJL,1,Detonation FocusMe,7th heaven,1.0,this row doesn't have MH_url
2017.0,summer,LJL,1,Detonation FocusMe,7th heaven,2.0,this row doesn't have MH_url
2017.0,summer,LJL,1,Unsold Stuff Gaming,Rascal Jester,1.0,this row doesn't have MH_url
2017.0,summer,LJL,1,Unsold Stuff Gaming,Rascal Jester,2.0,this row doesn't have MH_url
2017.0,summer,LJL,1,Unsold Stuff Gaming,Rascal Jester,3.0,this row doesn't have MH_url
2017.0,summer,LJL,2,Burning Core,7th heaven,1.0,this row doesn't have MH_url
2017.0,summer,LJL,2,Burning Core,7th heaven,2.0,this row doesn't have MH_url
2017.0,summer,LJL,2,Burning Core,7th heaven,3.0,this row doesn't have MH_url
2017.0,summer,LJL,2,Rascal Jester,Rampage,1.0,this row doesn't have MH_url
2017.0,summer,LJL,2,Rascal Jester,Rampage,2.0,this row doesn't have MH_url
2017.0,summer,LJL,2,Unsold Stuff Gaming,Detonation FocusMe,1.0,this row doesn't have MH_url
2017.0,summer,LJL,2,Unsold Stuff Gaming,Detonation FocusMe,2.0,this row doesn't have MH_url
2017.0,summer,LJL,2,Unsold Stuff Gaming,Detonation FocusMe,3.0,this row doesn't have MH_url
2017.0,summer,LJL,3,7th heaven,Rampage,1.0,this row doesn't have MH_url
2017.0,summer,LJL,3,7th heaven,Rampage,2.0,this row doesn't have MH_url
2017.0,summer,LJL,3,Unsold Stuff Gaming,Burning Core,1.0,this row doesn't have MH_url
2017.0,summer,LJL,3,Unsold Stuff Gaming,Burning Core,2.0,this row doesn't have MH_url
2017.0,summer,LJL,3,Rascal Jester,Detonation FocusMe,1.0,this row doesn't have MH_url
2017.0,summer,LJL,3,Rascal Jester,Detonation FocusMe,2.0,this row doesn't have MH_url
2017.0,summer,LJL,4,Detonation FocusMe,Burning Core,1.0,this row doesn't have MH_url
2017.0,summer,LJL,4,Detonation FocusMe,Burning Core,2.0,this row doesn't have MH_url
2017.0,summer,LJL,4,Detonation FocusMe,Burning Core,3.0,this row doesn't have MH_url
2017.0,summer,LJL,4,Rampage,Unsold Stuff Gaming,1.0,this row doesn't have MH_url
2017.0,summer,LJL,4,Rampage,Unsold Stuff Gaming,2.0,this row doesn't have MH_url
2017.0,summer,LJL,4,7th heaven,Rascal Jester,1.0,this row doesn't have MH_url
2017.0,summer,LJL,4,7th heaven,Rascal Jester,2.0,this row doesn't have MH_url
2017.0,summer,LJL,4,7th heaven,Rascal Jester,3.0,this row doesn't have MH_url
2017.0,summer,LJL,5,Burning Core,Rascal Jester,1.0,this row doesn't have MH_url
2017.0,summer,LJL,5,Burning Core,Rascal Jester,2.0,this row doesn't have MH_url
2017.0,summer,LJL,5,Burning Core,Rascal Jester,3.0,this row doesn't have MH_url
2017.0,summer,LJL,5,7th heaven,Unsold Stuff Gaming,1.0,this row doesn't have MH_url
2017.0,summer,LJL,5,7th heaven,Unsold Stuff Gaming,2.0,this row doesn't have MH_url
2017.0,summer,LJL,5,7th heaven,Unsold Stuff Gaming,3.0,this row doesn't have MH_url
2017.0,summer,LJL,5,Rampage,Detonation FocusMe,1.0,this row doesn't have MH_url
2017.0,summer,LJL,5,Rampage,Detonation FocusMe,2.0,this row doesn't have MH_url
2017.0,summer,LJL,5,Rampage,Detonation FocusMe,3.0,this row doesn't have MH_url
2017.0,summer,LJL,6,Rascal Jester,Unsold Stuff Gaming,1.0,this row doesn't have MH_url
2017.0,summer,LJL,6,Rascal Jester,Unsold Stuff Gaming,2.0,this row doesn't have MH_url
2017.0,summer,LJL,6,Rascal Jester,Unsold Stuff Gaming,3.0,this row doesn't have MH_url
2017.0,summer,LJL,6,7th heaven,Detonation FocusMe,1.0,this row doesn't have MH_url
2017.0,summer,LJL,6,7th heaven,Detonation FocusMe,2.0,this row doesn't have MH_url
2017.0,summer,LJL,6,7th heaven,Detonation FocusMe,3.0,this row doesn't have MH_url
2017.0,summer,LJL,6,Burning Core,Rampage,1.0,this row doesn't have MH_url
2017.0,summer,LJL,6,Burning Core,Rampage,2.0,this row doesn't have MH_url
2017.0,summer,LJL,7,Rampage,Rascal Jester,1.0,this row doesn't have MH_url
2017.0,summer,LJL,7,Rampage,Rascal Jester,2.0,this row doesn't have MH_url
2017.0,summer,LJL,7,Detonation FocusMe,Unsold Stuff Gaming,1.0,this row doesn't have MH_url
2017.0,summer,LJL,7,Detonation FocusMe,Unsold Stuff Gaming,2.0,this row doesn't have MH_url
2017.0,summer,LJL,7,7th heaven,Burning Core,1.0,this row doesn't have MH_url
2017.0,summer,LJL,7,7th heaven,Burning Core,2.0,this row doesn't have MH_url
2017.0,summer,LJL,8,Detonation FocusMe,Rascal Jester,1.0,this row doesn't have MH_url
2017.0,summer,LJL,8,Detonation FocusMe,Rascal Jester,2.0,this row doesn't have MH_url
2017.0,summer,LJL,8,Rampage,7th heaven,1.0,this row doesn't have MH_url
2017.0,summer,LJL,8,Rampage,7th heaven,2.0,this row doesn't have MH_url
2017.0,summer,LJL,8,Burning Core,Unsold Stuff Gaming,1.0,this row doesn't have MH_url
2017.0,summer,LJL,8,Burning Core,Unsold Stuff Gaming,2.0,this row doesn't have MH_url
2017.0,summer,LJL,9,Burning Core,Detonation FocusMe,1.0,this row doesn't have MH_url
2017.0,summer,LJL,9,Burning Core,Detonation FocusMe,2.0,this row doesn't have MH_url
2017.0,summer,LJL,9,Unsold Stuff Gaming,Rampage,1.0,this row doesn't have MH_url
2017.0,summer,LJL,9,Unsold Stuff Gaming,Rampage,2.0,this row doesn't have MH_url
2017.0,summer,LJL,9,Rascal Jester,7th heaven,1.0,this row doesn't have MH_url
2017.0,summer,LJL,9,Rascal Jester,7th heaven,2.0,this row doesn't have MH_url
2017.0,summer,LJL,9,Rascal Jester,7th heaven,3.0,this row doesn't have MH_url
2017.0,summer,LJL,10,Unsold Stuff Gaming,7th heaven,1.0,this row doesn't have MH_url
2017.0,summer,LJL,10,Unsold Stuff Gaming,7th heaven,2.0,this row doesn't have MH_url
2017.0,summer,LJL,10,Rascal Jester,Burning Core,1.0,this row doesn't have MH_url
2017.0,summer,LJL,10,Rascal Jester,Burning Core,2.0,this row doesn't have MH_url
2017.0,summer,LJL,10,Detonation FocusMe,Rampage,1.0,this row doesn't have MH_url
2017.0,summer,LJL,10,Detonation FocusMe,Rampage,2.0,this row doesn't have MH_url
2017.0,summer,LJL,Tiebreakers,Unsold Stuff Gaming,Rascal Jester,1.0,this row doesn't have MH_url
2017.0,summer,LJL,Tiebreakers,Unsold Stuff Gaming,Rascal Jester,2.0,this row doesn't have MH_url
