year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,summer,LLA,1,Isurus,All Knights,1.0,OK,6/21/2020,AK,Jisu,Mordekaiser,blue,5/1/3,5,2,○fb,21.6k,2.5k,18.8k,0.3k,227.7k,24.1k,203.2k,0.5k,45,14.6k,3.3k,9.8k,19.3k,14.3k,4.9k,0.1k,13,6,-,3,14.1k,13.1k,286,20,8,4
2020.0,summer,LLA,1,Isurus,All Knights,1.0,OK,6/21/2020,AK,Grell,Trundle,blue,3/0/6,3,1,●fb,5.0k,2.7k,2.1k,0.2k,195.6k,113.6k,61.1k,20.8k,21,45.4k,3.5k,22.6k,30.7k,22.5k,7.3k,0.8k,10,16,-,9,12.3k,9.8k,56,164,88,24
2020.0,summer,LLA,1,Isurus,All Knights,1.0,OK,6/21/2020,AK,Pancake,Karma,blue,0/2/6,0,0,○fb,11.6k,1.2k,10.4k,0.0k,194.3k,23.7k,156.7k,14.0k,-,10.4k,5.6k,5.6k,10.8k,8.1k,2.6k,0.1k,22,5,-,10,11.9k,10.9k,257,8,8,-
2020.0,summer,LLA,1,Isurus,All Knights,1.0,OK,6/21/2020,AK,Alive,Ezreal,blue,4/1/3,3,1,○fb,30.9k,20.3k,9.8k,0.7k,263.6k,218.3k,33.4k,11.9k,-,11.8k,7.3k,4.0k,15.2k,11.6k,2.5k,1.1k,16,17,-,5,15.0k,14.4k,298,40,32,4
2020.0,summer,LLA,1,Isurus,All Knights,1.0,OK,6/21/2020,AK,Newbie,Braum,blue,0/0/9,0,0,○fb,5.5k,1.0k,4.5k,0.0k,23.1k,5.8k,10.9k,6.4k,-,1.1k,0.5k,2.6k,10.3k,7.0k,3.0k,0.3k,65,9,-,21,7.6k,7.2k,32,-,-,-
2020.0,summer,LLA,1,Isurus,All Knights,1.0,OK,6/21/2020,ISG,Jirall,Renekton,red,1/1/1,1,1,○fb,10.0k,8.5k,1.4k,0.1k,182.7k,178.7k,3.9k,0.1k,-,3.7k,0.0k,6.3k,32.2k,14.8k,17.0k,0.4k,17,5,-,8,12.4k,12.3k,282,16,13,-
2020.0,summer,LLA,1,Isurus,All Knights,1.0,OK,6/21/2020,ISG,Oddie,LeeSin,red,2/0/1,2,1,○fb,4.9k,4.2k,0.5k,0.1k,162.3k,119.1k,34.5k,8.6k,-,13.2k,0.0k,9.7k,26.7k,18.3k,8.2k,0.1k,18,5,-,10,10.0k,9.8k,42,135,95,-
2020.0,summer,LLA,1,Isurus,All Knights,1.0,OK,6/21/2020,ISG,Seiya,TwistedFate,red,1/1/1,1,1,○fb,13.4k,1.0k,11.9k,0.5k,208.0k,22.7k,183.3k,2.1k,-,10.8k,7.8k,4.6k,16.3k,6.8k,9.4k,0.1k,17,1,-,5,13.4k,12.5k,275,8,8,-
2020.0,summer,LLA,1,Isurus,All Knights,1.0,OK,6/21/2020,ISG,Warangelus,Aphelios,red,0/5/2,0,0,○fb,19.1k,17.5k,0.7k,0.9k,233.6k,224.4k,2.2k,7.0k,676,9.2k,0.3k,2.9k,16.8k,8.5k,8.0k,0.3k,11,12,-,5,12.6k,11.8k,299,28,25,-
2020.0,summer,LLA,1,Isurus,All Knights,1.0,OK,6/21/2020,ISG,Slow,Nautilus,red,0/5/2,0,0,○fb,5.2k,1.3k,3.2k,0.7k,25.4k,6.5k,10.3k,8.6k,-,2.9k,0.0k,1.1k,15.7k,8.3k,7.0k,0.4k,50,17,-,21,6.9k,6.6k,47,-,-,-
2020.0,summer,LLA,1,XTEN,Furious Gaming,1.0,OK,6/21/2020,XTN,Mayhem,Pantheon,blue,4/1/8,4,1,○fb,8.7k,8.4k,0.3k,0.0k,89.6k,86.3k,0.6k,2.8k,-,3.4k,0.9k,4.8k,14.9k,7.8k,6.9k,0.1k,17,13,-,8,10.0k,9.9k,152,7,-,2
2020.0,summer,LLA,1,XTEN,Furious Gaming,1.0,OK,6/21/2020,XTN,Unforgiven,LeeSin,blue,8/0/8,8,2,●fb,14.4k,11.9k,2.2k,0.3k,147.3k,108.8k,26.1k,12.4k,-,30.1k,3.0k,8.8k,21.7k,15.8k,5.7k,0.2k,23,7,-,13,12.1k,10.3k,35,121,51,17
