year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2018.0,summer,LMS,1,Machi Esports,MAD Team,1.0,OK,6/23/2018,M17,3z,Ornn,blue,1/0/6,1,1,○fb,9.5k,4.1k,5.4k,0.0k,294.1k,80.3k,62.3k,151.5k,-,1.7k,0.3k,2.1k,16.2k,5.2k,10.5k,0.4k,13,4,-,2,12.9k,10.6k,305,-,-,-
2018.0,summer,LMS,1,Machi Esports,MAD Team,1.0,OK,6/23/2018,M17,Crash,Skarner,blue,1/1/6,1,1,○fb,3.4k,1.5k,1.4k,0.6k,129.0k,68.5k,51.7k,8.7k,-,10.7k,1.9k,7.3k,17.9k,9.7k,7.9k,0.2k,41,19,-,8,11.1k,10.8k,40,135,105,7
2018.0,summer,LMS,1,Machi Esports,MAD Team,1.0,OK,6/23/2018,M17,Apex,Cassiopeia,blue,2/0/5,2,1,○fb,8.1k,0.2k,7.8k,0.1k,317.4k,11.7k,152.4k,153.4k,-,12.9k,0.7k,3.2k,10.4k,3.8k,6.4k,0.3k,20,8,-,10,12.9k,10.9k,274,22,16,1
2018.0,summer,LMS,1,Machi Esports,MAD Team,1.0,OK,6/23/2018,M17,Deul,Ezreal,blue,4/1/4,3,2,○fb,17.4k,10.3k,6.4k,0.7k,227.8k,198.1k,24.9k,4.8k,-,22.8k,11.7k,0.3k,13.0k,5.9k,7.1k,0.1k,21,12,-,9,15.3k,12.8k,332,12,8,-
2018.0,summer,LMS,1,Machi Esports,MAD Team,1.0,OK,6/23/2018,M17,Dreamer,Soraka,blue,0/2/8,0,0,○fb,3.7k,0.4k,3.3k,0.0k,15.7k,2.4k,12.8k,0.5k,-,1.7k,0.8k,10.7k,7.7k,2.8k,4.9k,0.0k,37,9,-,16,7.8k,6.2k,15,-,-,-
2018.0,summer,LMS,1,Machi Esports,MAD Team,1.0,OK,6/23/2018,MAD,Liang,Singed,red,0/2/0,0,0,○fb,12.8k,0.2k,12.5k,0.0k,172.7k,9.4k,152.1k,11.2k,-,0.2k,0.0k,1.9k,19.6k,10.5k,8.6k,0.5k,12,6,-,4,10.5k,10.5k,270,4,-,-
2018.0,summer,LMS,1,Machi Esports,MAD Team,1.0,OK,6/23/2018,MAD,Kongyue,Camille,red,0/1/3,0,0,○fb,1.8k,1.8k,0.0k,0.0k,132.9k,103.5k,7.1k,22.2k,-,17.9k,0.3k,10.4k,22.6k,17.3k,5.1k,0.2k,26,16,-,21,9.2k,8.3k,40,127,82,8
2018.0,summer,LMS,1,Machi Esports,MAD Team,1.0,OK,6/23/2018,MAD,Uniboy,Zoe,red,0/1/3,0,0,○fb,14.1k,0.5k,12.7k,0.9k,315.2k,15.0k,147.6k,152.5k,-,3.4k,2.1k,1.6k,7.4k,2.8k,4.4k,0.2k,19,8,-,8,10.9k,10.5k,260,16,16,-
2018.0,summer,LMS,1,Machi Esports,MAD Team,1.0,OK,6/23/2018,MAD,Breeze,Kaisa,red,4/2/0,4,2,●fb,11.4k,4.2k,7.1k,0.1k,197.9k,133.9k,61.0k,3.0k,-,20.3k,3.7k,2.6k,12.5k,8.1k,4.1k,0.3k,9,8,-,4,13.8k,13.7k,267,50,38,1
2018.0,summer,LMS,1,Machi Esports,MAD Team,1.0,OK,6/23/2018,MAD,K,TahmKench,red,0/2/4,0,0,○fb,2.0k,0.1k,1.9k,0.0k,169.5k,5.8k,8.8k,154.9k,-,2.8k,0.1k,3.0k,11.3k,6.5k,4.7k,0.1k,53,19,-,21,7.5k,6.9k,72,-,-,-
