year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2019.0,spring,LMS,1,G Rex,J Team,1.0,OK,17/1/2019,GRX,PK,Urgot,blue,6/3/10,3,1,○fb,22.7k,18.7k,0.5k,3.4k,207.5k,189.9k,0.5k,17.0k,-,18.0k,3.3k,5.4k,32.5k,14.9k,15.3k,2.3k,25,16,-,11,15.5k,13.6k,260,18,3,5
2019.0,spring,LMS,1,G Rex,J Team,1.0,OK,17/1/2019,GRX,Raise,Gragas,blue,3/2/13,2,2,○fb,21.0k,0.8k,18.0k,2.2k,237.9k,37.2k,186.0k,14.7k,-,42.5k,0.0k,21.7k,33.6k,20.4k,12.8k,0.4k,41,11,-,17,13.0k,12.3k,42,184,126,8
2019.0,spring,LMS,1,G Rex,J Team,1.0,OK,17/1/2019,GRX,Wuji,Lissandra,blue,5/6/6,2,1,●fb,18.8k,1.1k,17.2k,0.5k,210.4k,17.5k,189.5k,3.5k,-,3.7k,0.0k,3.3k,22.3k,8.5k,12.8k,1.0k,27,14,-,13,14.2k,14.3k,296,21,12,1
2019.0,spring,LMS,1,G Rex,J Team,1.0,OK,17/1/2019,GRX,Atlen,Xayah,blue,2/2/11,2,2,○fb,21.4k,17.3k,1.1k,3.0k,274.3k,262.1k,7.7k,4.5k,676,18.8k,2.2k,5.6k,19.9k,8.5k,10.2k,1.3k,15,10,-,10,15.6k,14.6k,342,16,16,-
2019.0,spring,LMS,1,G Rex,J Team,1.0,OK,17/1/2019,GRX,Eason,Alistar,blue,3/4/12,3,1,○fb,5.4k,0.2k,4.3k,0.8k,30.5k,6.6k,9.9k,14.0k,-,0.5k,0.4k,11.6k,22.7k,8.6k,13.1k,1.0k,62,13,-,21,10.5k,8.6k,54,-,-,-
2019.0,spring,LMS,1,G Rex,J Team,1.0,OK,17/1/2019,JT,Rest,Sion,red,0/3/11,0,0,○fb,16.5k,10.6k,5.9k,0.0k,224.1k,154.3k,64.3k,5.4k,53,4.6k,3.1k,1.9k,29.7k,15.7k,11.4k,2.6k,23,6,-,9,13.8k,11.2k,294,7,7,-
2019.0,spring,LMS,1,G Rex,J Team,1.0,OK,17/1/2019,JT,Hana,Zac,red,0/6/6,0,0,○fb,5.1k,0.5k,3.8k,0.9k,144.6k,33.9k,97.7k,13.0k,-,9.3k,0.5k,29.1k,33.6k,19.1k,9.1k,5.4k,22,17,-,17,10.9k,9.3k,38,134,108,-
2019.0,spring,LMS,1,G Rex,J Team,1.0,OK,17/1/2019,JT,FoFo,Vladimir,red,11/2/4,9,2,○fb,34.4k,0.8k,32.2k,1.3k,296.3k,21.6k,271.4k,3.3k,-,19.6k,6.4k,41.3k,33.9k,20.2k,12.5k,1.2k,18,10,-,6,19.2k,16.9k,313,19,8,-
2019.0,spring,LMS,1,G Rex,J Team,1.0,OK,17/1/2019,JT,Lilv,Ezreal,red,3/3/10,3,1,○fb,33.8k,19.2k,11.8k,2.7k,310.3k,237.8k,61.0k,11.4k,-,18.8k,8.1k,5.3k,15.7k,9.0k,6.0k,0.8k,13,7,-,1,17.8k,17.5k,349,52,40,8
2019.0,spring,LMS,1,G Rex,J Team,1.0,OK,17/1/2019,JT,Koala,Rakan,red,3/5/10,3,3,○fb,7.5k,0.7k,5.5k,1.4k,20.8k,8.3k,11.0k,1.5k,-,2.1k,1.1k,1.9k,10.5k,4.9k,5.2k,0.4k,63,25,-,23,9.8k,7.3k,28,-,-,-
