year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,spring,LPLOL,1,Boavista,Estoril Praia eSports,1.0,OK,1/19/2020,BFC,Sl4shD,Kennen,blue,6/2/10,5,3,○fb,18.5k,1.4k,17.2k,0.0k,166.7k,32.0k,134.7k,0.0k,-,6.8k,3.1k,5.6k,16.0k,8.5k,7.4k,0.0k,11,3,-,4,13.5k,13.2k,250,22,6,5
2020.0,spring,LPLOL,1,Boavista,Estoril Praia eSports,1.0,OK,1/19/2020,BFC,Maat,LeeSin,blue,4/2/10,2,1,○fb,8.6k,7.2k,1.2k,0.2k,156.0k,109.9k,32.3k,13.7k,-,28.9k,3.9k,12.2k,24.3k,15.7k,7.9k,0.6k,18,4,-,11,11.5k,10.5k,18,127,92,11
2020.0,spring,LPLOL,1,Boavista,Estoril Praia eSports,1.0,OK,1/19/2020,BFC,Burnie,Kled,blue,4/0/9,4,2,○fb,6.2k,6.2k,0.0k,0.0k,136.0k,135.4k,0.0k,0.7k,-,13.3k,6.1k,4.0k,17.4k,10.9k,6.3k,0.3k,21,2,-,10,12.6k,11.3k,218,13,4,-
2020.0,spring,LPLOL,1,Boavista,Estoril Praia eSports,1.0,OK,1/19/2020,BFC,Keisaki,MissFortune,blue,7/1/6,6,2,○fb,14.9k,13.9k,0.9k,0.1k,250.6k,225.6k,5.0k,20.0k,886,25.9k,8.2k,1.2k,7.4k,4.5k,2.7k,0.2k,12,4,-,3,15.1k,13.9k,270,40,26,5
2020.0,spring,LPLOL,1,Boavista,Estoril Praia eSports,1.0,OK,1/19/2020,BFC,Nesiiw fixe,Pyke,blue,1/2/13,1,1,○fb,6.4k,5.5k,0.1k,0.9k,29.6k,21.6k,0.1k,7.9k,-,5.3k,4.6k,4.7k,12.3k,7.0k,4.5k,0.9k,80,30,-,14,10.0k,8.9k,57,3,-,-
2020.0,spring,LPLOL,1,Boavista,Estoril Praia eSports,1.0,OK,1/19/2020,EPE,Renas,Mordekaiser,red,1/4/0,1,1,○fb,12.6k,1.3k,11.4k,0.0k,163.1k,25.2k,137.9k,0.0k,-,4.2k,0.9k,4.6k,19.7k,13.0k,6.0k,0.6k,9,9,-,3,10.9k,11.0k,227,20,17,-
2020.0,spring,LPLOL,1,Boavista,Estoril Praia eSports,1.0,OK,1/19/2020,EPE,Furyy,RekSai,red,2/5/1,2,1,○fb,4.4k,3.2k,0.0k,1.2k,118.3k,95.1k,5.4k,17.8k,-,17.5k,0.0k,9.4k,20.6k,14.9k,5.7k,0.0k,11,13,-,12,8.6k,10.2k,47,107,78,-
2020.0,spring,LPLOL,1,Boavista,Estoril Praia eSports,1.0,OK,1/19/2020,EPE,Supershoto,Diana,red,0/5/1,0,0,○fb,10.4k,0.9k,9.6k,0.0k,116.7k,20.0k,94.2k,2.5k,-,8.5k,4.4k,1.0k,14.1k,10.1k,3.5k,0.4k,8,4,-,2,9.5k,9.3k,198,5,5,-
2020.0,spring,LPLOL,1,Boavista,Estoril Praia eSports,1.0,OK,1/19/2020,EPE,Pyton,Lucian,red,4/3/2,3,1,●fb,15.0k,13.8k,1.0k,0.2k,205.0k,192.8k,4.8k,7.3k,658,12.2k,2.4k,2.0k,14.5k,9.9k,4.6k,0.0k,14,14,-,8,13.3k,12.3k,281,26,26,-
2020.0,spring,LPLOL,1,Boavista,Estoril Praia eSports,1.0,OK,1/19/2020,EPE,TicTac,Thresh,red,0/5/5,0,0,○fb,4.2k,0.4k,3.3k,0.5k,13.4k,3.9k,5.5k,3.9k,-,1.1k,0.1k,0.1k,9.1k,6.3k,2.7k,0.1k,61,23,-,27,6.6k,5.9k,40,-,-,-
