year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,summer,LPLOL,1,SAMCLAN,Karma,1.0,OK,6/9/2020,SAM,Nuance,Ornn,blue,1/0/3,1,1,○fb,12.7k,3.7k,8.8k,0.2k,143.5k,57.6k,85.1k,0.8k,23,4.4k,0.8k,2.6k,15.0k,10.9k,4.1k,0.0k,12,3,-,4,10.9k,10.7k,239,12,5,4
2020.0,summer,LPLOL,1,SAMCLAN,Karma,1.0,OK,6/9/2020,SAM,Travanques,Graves,blue,6/1/3,6,1,○fb,9.8k,8.0k,0.7k,1.0k,222.8k,194.4k,8.6k,19.8k,-,53.1k,2.0k,10.0k,18.9k,12.5k,6.1k,0.3k,4,9,-,3,12.0k,10.2k,35,167,106,17
2020.0,summer,LPLOL,1,SAMCLAN,Karma,1.0,OK,6/9/2020,SAM,Noma,Zoe,blue,4/0/3,4,1,○fb,15.4k,1.1k,12.5k,1.9k,160.0k,17.9k,135.8k,6.2k,-,6.7k,3.7k,2.2k,6.3k,2.8k,3.5k,0.0k,12,6,-,4,11.5k,10.7k,227,22,16,2
2020.0,summer,LPLOL,1,SAMCLAN,Karma,1.0,OK,6/9/2020,SAM,GotzY,Aphelios,blue,3/0/7,3,1,○fb,13.1k,11.8k,0.8k,0.4k,179.6k,164.3k,3.5k,11.9k,677,15.3k,6.8k,2.2k,9.2k,3.6k,5.2k,0.4k,10,8,-,3,12.2k,10.4k,253,16,12,4
2020.0,summer,LPLOL,1,SAMCLAN,Karma,1.0,OK,6/9/2020,SAM,Calmsky,Braum,blue,0/3/12,0,0,○fb,5.0k,1.1k,3.9k,0.0k,15.9k,5.4k,6.3k,4.2k,-,2.1k,0.6k,1.6k,12.1k,7.6k,4.4k,0.1k,33,13,-,7,7.2k,5.2k,37,-,-,-
2020.0,summer,LPLOL,1,SAMCLAN,Karma,1.0,OK,6/9/2020,KRM,Argonaut,Trundle,red,1/2/0,1,1,○fb,8.6k,7.5k,1.1k,0.0k,173.3k,170.5k,1.1k,1.7k,-,18.0k,16.0k,7.0k,19.2k,10.5k,8.1k,0.6k,13,4,-,6,11.6k,10.9k,241,4,-,1
2020.0,summer,LPLOL,1,SAMCLAN,Karma,1.0,OK,6/9/2020,KRM,Alba,Shyvana,red,2/4/1,2,1,●fb,9.6k,0.6k,8.9k,0.1k,157.2k,40.3k,111.6k,5.3k,-,11.9k,0.0k,10.3k,25.7k,17.4k,7.0k,1.3k,7,10,-,6,9.0k,8.5k,21,157,115,-
2020.0,summer,LPLOL,1,SAMCLAN,Karma,1.0,OK,6/9/2020,KRM,Karoq,Karma,red,0/2/1,0,0,○fb,8.4k,0.4k,8.0k,0.0k,119.3k,12.1k,99.4k,7.8k,-,2.4k,0.0k,2.2k,10.3k,4.5k,5.1k,0.7k,9,1,-,3,8.5k,7.7k,208,4,1,-
2020.0,summer,LPLOL,1,SAMCLAN,Karma,1.0,OK,6/9/2020,KRM,MetroArcher,Kalista,red,1/2/1,1,1,○fb,7.9k,7.3k,0.6k,0.0k,111.5k,102.1k,2.7k,6.8k,322,3.0k,0.3k,1.7k,9.1k,5.2k,3.8k,0.1k,9,2,-,3,9.4k,9.1k,231,-,-,-
2020.0,summer,LPLOL,1,SAMCLAN,Karma,1.0,OK,6/9/2020,KRM,Kamyta,Nautilus,red,0/4/2,0,0,○fb,3.9k,0.7k,2.5k,0.7k,23.0k,5.8k,9.9k,7.3k,-,0.6k,0.0k,1.9k,13.2k,7.3k,5.2k,0.7k,35,7,-,12,5.6k,5.3k,36,-,-,-
2020.0,summer,LPLOL,1,GeekCase,GTZ,1.0,OK,6/9/2020,GC,Renas,Aatrox,blue,3/4/2,3,1,○fb,18.4k,18.2k,0.0k,0.2k,246.7k,235.9k,0.0k,10.8k,-,11.1k,2.2k,20.1k,38.6k,21.4k,9.6k,7.6k,22,9,-,7,15.8k,15.7k,308,14,8,-
2020.0,summer,LPLOL,1,GeekCase,GTZ,1.0,OK,6/9/2020,GC,Bakako,Graves,blue,1/4/4,1,1,○fb,9.7k,8.4k,0.6k,0.7k,216.3k,198.0k,8.0k,10.3k,-,18.9k,0.0k,8.8k,24.2k,15.6k,8.0k,0.6k,18,21,-,19,12.3k,11.9k,38,187,148,5
2020.0,summer,LPLOL,1,GeekCase,GTZ,1.0,OK,6/9/2020,GC,RapMonsters,Cassiopeia,blue,0/7/5,0,0,○fb,13.8k,0.2k,13.1k,0.6k,193.3k,11.5k,181.3k,0.6k,-,10.0k,0.0k,6.7k,26.9k,11.8k,14.8k,0.4k,18,4,-,7,13.6k,13.7k,269,42,38,-
2020.0,summer,LPLOL,1,GeekCase,GTZ,1.0,OK,6/9/2020,GC,Pyton,Syndra,blue,4/2/2,2,1,○fb,23.0k,0.3k,21.2k,1.5k,312.0k,21.7k,265.7k,24.7k,-,8.0k,1.1k,5.7k,17.1k,11.2k,5.9k,0.0k,20,5,-,8,17.1k,17.6k,368,31,22,-
2020.0,summer,LPLOL,1,GeekCase,GTZ,1.0,OK,6/9/2020,GC,QueresYogurt,Bard,blue,0/3/5,0,0,○fb,5.8k,1.1k,4.7k,0.0k,25.7k,6.0k,13.4k,6.3k,-,3.0k,0.0k,5.7k,14.8k,6.7k,8.0k,0.0k,104,26,-,19,8.5k,8.0k,46,-,-,-
2020.0,summer,LPLOL,1,GeekCase,GTZ,1.0,OK,6/9/2020,GTZ,HaZZ,Ornn,red,5/0/10,5,1,○fb,17.5k,5.7k,10.2k,1.6k,207.1k,102.0k,100.5k,4.7k,-,10.3k,2.8k,13.5k,27.0k,16.5k,9.3k,1.2k,24,8,-,8,15.8k,14.2k,258,2,2,-
2020.0,summer,LPLOL,1,GeekCase,GTZ,1.0,OK,6/9/2020,GTZ,Kaiba,Khazix,red,4/2/10,3,1,●fb,20.2k,16.6k,1.1k,2.6k,285.6k,262.0k,11.8k,11.8k,-,51.8k,4.1k,32.9k,45.9k,30.8k,14.2k,1.0k,13,13,-,12,14.8k,13.9k,44,214,135,18
2020.0,summer,LPLOL,1,GeekCase,GTZ,1.0,OK,6/9/2020,GTZ,Sintax,Orianna,red,6/1/13,3,2,○fb,28.1k,0.4k,26.0k,1.6k,316.9k,22.6k,270.6k,23.7k,-,18.9k,8.8k,6.9k,14.7k,5.0k,8.3k,1.4k,26,14,-,11,19.0k,16.5k,363,32,20,4
