year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2017.0,spring,OCS,1,Alpha Sydney,Team Regicide,1.0,OK,2/3/2017,AS,Frogadog,Darius,blue,1/6/0,1,1,○fb,2.5k,2.3k,0.0k,0.2k,182.1k,181.9k,0.0k,0.2k,-,0.0k,0.0k,3.3k,29.6k,20.9k,7.9k,0.7k,28,4,-,7,14.0k,14.1k,325,6,5,1
2017.0,spring,OCS,1,Alpha Sydney,Team Regicide,1.0,OK,2/3/2017,AS,Mooboo,Rengar,blue,1/3/2,1,1,○fb,4.8k,3.5k,0.9k,0.5k,155.3k,121.3k,23.6k,10.4k,255,0.0k,0.0k,12.1k,32.1k,20.2k,11.2k,0.7k,29,8,-,15,11.7k,10.4k,65,75,49,26
2017.0,spring,OCS,1,Alpha Sydney,Team Regicide,1.0,OK,2/3/2017,AS,Chazz,Orianna,blue,4/3/1,2,1,○fb,19.2k,0.7k,18.4k,0.1k,349.1k,27.3k,321.7k,0.1k,-,0.0k,0.0k,2.3k,18.4k,9.5k,8.6k,0.3k,18,9,-,4,18.4k,16.6k,434,42,34,8
2017.0,spring,OCS,1,Alpha Sydney,Team Regicide,1.0,OK,2/3/2017,AS,Remon,Varus,blue,0/2/4,0,0,○fb,22.0k,20.8k,0.9k,0.2k,270.9k,263.5k,7.0k,0.4k,-,0.0k,0.0k,3.2k,13.8k,8.1k,5.1k,0.7k,14,6,-,6,15.6k,14.8k,402,2,1,1
2017.0,spring,OCS,1,Alpha Sydney,Team Regicide,1.0,OK,2/3/2017,AS,Luminum,Karma,blue,0/2/4,0,0,○fb,6.0k,0.0k,6.0k,0.0k,22.4k,2.4k,19.2k,0.8k,-,0.0k,0.0k,7.0k,10.2k,6.4k,3.5k,0.3k,76,30,-,22,10.1k,9.2k,43,-,-,-
2017.0,spring,OCS,1,Alpha Sydney,Team Regicide,1.0,OK,2/3/2017,RGC,Panda,Riven,red,10/1/2,7,2,●fb,19.7k,18.1k,1.4k,0.1k,391.5k,387.3k,2.7k,1.5k,-,0.0k,0.0k,3.7k,12.2k,10.7k,1.3k,0.2k,20,9,-,3,22.8k,18.0k,419,51,2,49
2017.0,spring,OCS,1,Alpha Sydney,Team Regicide,1.0,OK,2/3/2017,RGC,leeSA,Graves,red,2/2/4,2,1,○fb,12.9k,10.3k,2.1k,0.5k,400.9k,365.3k,12.6k,23.0k,807,0.0k,0.0k,10.7k,24.1k,16.5k,7.2k,0.4k,34,23,-,6,19.6k,20.9k,132,222,113,109
2017.0,spring,OCS,1,Alpha Sydney,Team Regicide,1.0,OK,2/3/2017,RGC,Nana,Corki,red,1/2/7,1,1,○fb,27.3k,2.9k,23.5k,0.9k,340.1k,78.0k,258.7k,3.4k,604,0.0k,0.0k,3.5k,25.1k,13.0k,11.9k,0.2k,20,16,-,2,19.4k,18.2k,421,20,7,13
2017.0,spring,OCS,1,Alpha Sydney,Team Regicide,1.0,OK,2/3/2017,RGC,Eyla,Jhin,red,3/1/6,2,2,○fb,21.1k,15.1k,5.1k,0.9k,247.3k,224.8k,21.3k,1.1k,1868,0.0k,0.0k,2.0k,16.9k,11.3k,5.4k,0.3k,16,13,-,7,17.9k,15.7k,315,7,-,7
2017.0,spring,OCS,1,Alpha Sydney,Team Regicide,1.0,OK,2/3/2017,RGC,Milky,Nami,red,0/0/10,0,0,○fb,2.6k,0.2k,2.2k,0.2k,11.9k,8.1k,3.2k,0.5k,-,0.0k,0.0k,19.0k,9.9k,5.7k,4.3k,0.0k,71,25,-,15,12.5k,10.3k,29,-,-,-
2017.0,spring,OCS,1,Corvidae,Tainted Minds Blue,1.0,this row doesn't have MH_url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017.0,spring,OCS,1,Sin Academy,Legacy Genesis,1.0,OK,2/3/2017,S1N,Raven,Nautilus,blue,1/4/9,1,1,○fb,11.3k,3.2k,8.1k,0.0k,121.3k,24.2k,97.0k,0.0k,-,0.0k,0.0k,1.3k,19.2k,12.3k,4.6k,2.3k,14,5,-,1,12.2k,9.5k,215,-,-,-
2017.0,spring,OCS,1,Sin Academy,Legacy Genesis,1.0,OK,2/3/2017,S1N,Swathe,Olaf,blue,2/1/6,2,1,○fb,7.8k,4.7k,0.4k,2.7k,176.6k,122.0k,24.2k,30.4k,-,0.0k,0.0k,11.3k,28.3k,23.5k,3.4k,1.3k,8,11,-,3,11.9k,10.7k,64,117,56,61
2017.0,spring,OCS,1,Sin Academy,Legacy Genesis,1.0,OK,2/3/2017,S1N,Shok,Syndra,blue,4/3/3,2,1,○fb,12.4k,0.3k,11.6k,0.6k,164.4k,16.4k,145.3k,2.6k,-,0.0k,0.0k,0.7k,8.4k,4.2k,3.5k,0.7k,16,5,-,2,13.3k,11.9k,242,11,4,7
2017.0,spring,OCS,1,Sin Academy,Legacy Genesis,1.0,OK,2/3/2017,S1N,Squidgy,Varus,blue,12/1/1,7,3,○fb,22.1k,20.4k,1.6k,0.1k,214.7k,204.8k,7.9k,2.1k,-,0.0k,0.0k,4.0k,11.8k,8.0k,2.9k,0.9k,14,2,-,3,16.7k,15.0k,287,15,4,11
2017.0,spring,OCS,1,Sin Academy,Legacy Genesis,1.0,OK,2/3/2017,S1N,Decoy,Zyra,blue,0/4/8,0,0,○fb,6.8k,0.7k,6.1k,0.0k,26.2k,6.6k,19.6k,0.0k,-,0.0k,0.0k,1.2k,11.4k,5.4k,5.3k,0.7k,40,13,-,11,9.4k,8.4k,22,6,2,4
2017.0,spring,OCS,1,Sin Academy,Legacy Genesis,1.0,OK,2/3/2017,LGG,iSupervise,Jayce,red,1/5/2,1,1,○fb,11.3k,9.5k,1.8k,0.1k,119.9k,109.3k,10.5k,0.1k,-,0.0k,0.0k,1.0k,17.2k,11.4k,5.2k,0.6k,21,4,-,7,10.5k,9.9k,233,1,1,-
