year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2017.0,spring,OPL,3,Sin Gaming,Legacy Esports,1.0,OK,2/4/2017,SIN,Flaresz,Maokai,blue,3/2/15,2,1,○fb,16.5k,2.5k,14.0k,0.0k,112.4k,19.8k,92.5k,0.0k,-,0.0k,0.0k,15.6k,39.7k,21.3k,17.5k,0.9k,12,5,-,2,11.3k,9.2k,179,-,-,-
2017.0,spring,OPL,3,Sin Gaming,Legacy Esports,1.0,OK,2/4/2017,SIN,Juves,Elise,blue,4/6/7,3,2,○fb,10.4k,0.5k,9.9k,0.0k,110.3k,23.0k,77.5k,9.8k,-,0.0k,0.0k,7.5k,23.3k,17.0k,6.4k,0.0k,19,7,-,2,10.9k,9.7k,26,61,31,30
2017.0,spring,OPL,3,Sin Gaming,Legacy Esports,1.0,OK,2/4/2017,SIN,Wzrd,Jayce,blue,7/1/10,5,1,●fb,19.6k,17.8k,1.8k,0.1k,143.9k,130.3k,13.2k,0.4k,-,0.0k,0.0k,4.8k,16.6k,9.9k,6.7k,0.0k,16,4,-,5,13.1k,12.4k,183,8,4,4
2017.0,spring,OPL,3,Sin Gaming,Legacy Esports,1.0,OK,2/4/2017,SIN,FBI,Jhin,blue,5/2/13,2,2,○fb,18.6k,15.9k,2.3k,0.4k,127.6k,121.5k,5.5k,0.6k,1389,0.0k,0.0k,3.6k,13.3k,8.0k,5.3k,0.0k,9,5,-,5,12.4k,11.7k,183,4,2,2
2017.0,spring,OPL,3,Sin Gaming,Legacy Esports,1.0,OK,2/4/2017,SIN,Rogue,Velkoz,blue,5/2/8,3,1,○fb,14.6k,0.3k,12.6k,1.7k,38.3k,5.6k,28.6k,4.1k,-,0.0k,0.0k,2.5k,13.5k,8.5k,4.9k,0.2k,28,7,-,9,9.8k,8.7k,20,-,-,-
2017.0,spring,OPL,3,Sin Gaming,Legacy Esports,1.0,OK,2/4/2017,LGC,Tally,Singed,red,1/4/5,1,1,○fb,12.2k,1.1k,11.1k,0.0k,137.5k,12.9k,124.6k,0.0k,-,0.0k,0.0k,4.5k,34.7k,20.8k,13.2k,0.8k,12,1,-,1,9.4k,10.0k,182,26,10,16
2017.0,spring,OPL,3,Sin Gaming,Legacy Esports,1.0,OK,2/4/2017,LGC,Carbon,Khazix,red,1/6/5,1,1,○fb,11.0k,10.2k,0.7k,0.0k,122.0k,108.2k,3.3k,10.6k,-,0.0k,0.0k,8.7k,27.9k,17.6k,9.6k,0.7k,32,4,-,8,8.6k,8.3k,28,75,42,33
2017.0,spring,OPL,3,Sin Gaming,Legacy Esports,1.0,OK,2/4/2017,LGC,Claire,Corki,red,2/7/3,2,1,○fb,18.7k,2.6k,16.1k,0.0k,145.0k,28.3k,116.7k,0.0k,-,0.0k,0.0k,1.8k,17.9k,10.4k,6.9k,0.6k,15,7,-,6,10.4k,10.2k,228,1,1,-
2017.0,spring,OPL,3,Sin Gaming,Legacy Esports,1.0,OK,2/4/2017,LGC,Lost,Varus,red,9/4/4,3,2,○fb,33.1k,30.7k,2.4k,0.0k,144.1k,138.2k,5.9k,0.0k,-,0.0k,0.0k,2.3k,12.6k,8.6k,4.1k,0.0k,13,5,-,6,12.4k,11.3k,230,-,-,-
2017.0,spring,OPL,3,Sin Gaming,Legacy Esports,1.0,OK,2/4/2017,LGC,Cupcake,Karma,red,0/3/12,0,0,○fb,10.8k,0.8k,8.9k,1.0k,50.5k,8.7k,40.0k,1.8k,-,0.0k,0.0k,3.9k,14.8k,5.8k,8.9k,0.1k,28,10,-,8,8.6k,8.4k,46,1,1,-
2017.0,spring,OPL,6,Team Exile5,Sin Gaming,2.0,OK,4/3/2017,SIN,Flaresz,Renekton,blue,4/3/9,3,1,○fb,14.8k,13.0k,1.6k,0.2k,116.5k,111.6k,3.8k,1.1k,-,0.0k,0.0k,5.8k,23.7k,19.3k,4.2k,0.2k,12,3,-,2,11.6k,10.1k,185,8,-,8
