year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,1.0,OK,10/6/2017,DW,Chippys,Gragas,blue,2/1/5,2,2,○fb,10.0k,1.3k,8.6k,0.1k,109.0k,23.8k,82.1k,3.1k,304,11.2k,2.2k,7.0k,16.2k,9.3k,6.9k,0.1k,14,2,-,3,10.4k,9.5k,194,2,1,1
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,1.0,OK,10/6/2017,DW,Shernfire,Graves,blue,3/1/7,2,1,●fb,10.4k,9.1k,1.0k,0.3k,173.3k,155.5k,5.9k,11.9k,363,19.0k,7.4k,7.2k,13.5k,9.9k,3.6k,0.0k,23,11,-,6,11.5k,9.8k,47,125,61,64
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,1.0,OK,10/6/2017,DW,Phantiks,Vladimir,blue,6/0/5,6,1,○fb,12.6k,1.2k,10.9k,0.5k,144.4k,28.2k,115.3k,0.9k,624,8.6k,5.8k,19.1k,20.2k,7.7k,12.5k,0.0k,11,1,-,3,12.7k,10.8k,257,2,-,2
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,1.0,OK,10/6/2017,DW,k1ng,Varus,blue,4/0/7,4,1,○fb,8.3k,6.1k,2.2k,0.0k,111.9k,100.3k,11.2k,0.4k,393,10.1k,5.8k,2.8k,9.8k,7.0k,2.4k,0.3k,12,9,-,5,12.1k,10.2k,238,10,1,9
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,1.0,OK,10/6/2017,DW,Destiny,Braum,blue,1/0/13,1,1,○fb,3.0k,0.7k,2.2k,0.0k,20.7k,7.1k,4.6k,8.9k,-,3.0k,1.6k,3.3k,10.8k,6.2k,4.2k,0.5k,26,10,-,8,8.3k,6.8k,46,-,-,-
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,1.0,OK,10/6/2017,CHF,Swip3rR,Kennen,red,1/4/0,1,1,○fb,13.6k,7.4k,6.0k,0.2k,104.2k,71.5k,32.3k,0.5k,281,1.4k,0.0k,0.6k,16.7k,7.9k,8.6k,0.2k,15,5,-,5,8.4k,8.6k,202,13,3,10
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,1.0,OK,10/6/2017,CHF,Spookz,LeeSin,red,1/4/1,1,1,○fb,4.4k,3.0k,1.2k,0.1k,125.3k,93.6k,16.1k,15.6k,-,12.9k,0.0k,7.1k,23.2k,19.2k,3.9k,0.1k,19,5,-,4,7.7k,7.3k,9,106,79,27
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,1.0,OK,10/6/2017,CHF,Swiffer,Taliyah,red,0/3/2,0,0,○fb,18.8k,0.8k,18.0k,0.0k,124.8k,12.1k,112.6k,0.0k,-,0.4k,0.4k,0.1k,11.3k,4.1k,6.7k,0.5k,8,1,-,6,8.7k,8.3k,220,3,3,-
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,1.0,OK,10/6/2017,CHF,Raes,Xayah,red,0/2/0,0,0,○fb,12.0k,11.8k,0.2k,0.0k,118.7k,115.7k,0.9k,2.1k,341,6.4k,0.1k,1.7k,7.8k,4.5k,3.2k,0.0k,10,6,-,3,8.8k,8.6k,253,-,-,-
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,1.0,OK,10/6/2017,CHF,EGym,Rakan,red,0/3/0,0,0,○fb,3.2k,0.5k,2.2k,0.5k,12.2k,6.9k,4.7k,0.6k,-,1.4k,0.1k,1.3k,9.7k,5.6k,3.9k,0.1k,33,6,-,9,5.2k,5.0k,10,1,-,1
