year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2019.0,spring,OPL,1,Legacy Esports,Gravitas,1.0,OK,1/18/2019,LGC,Papryze,Akali,blue,0/4/0,0,0,○fb,5.3k,0.6k,4.5k,0.3k,176.8k,32.6k,139.3k,4.9k,-,4.0k,1.2k,11.2k,24.8k,17.5k,6.9k,0.4k,23,8,-,11,11.1k,11.0k,273,15,4,4
2019.0,spring,OPL,1,Legacy Esports,Gravitas,1.0,OK,1/18/2019,LGC,Guts,Sejuani,blue,1/1/2,1,1,●fb,1.5k,0.8k,0.6k,0.2k,134.2k,71.4k,58.5k,4.4k,-,3.4k,0.0k,6.6k,17.8k,11.3k,6.3k,0.3k,12,8,-,11,9.2k,9.0k,21,128,100,4
2019.0,spring,OPL,1,Legacy Esports,Gravitas,1.0,OK,1/18/2019,LGC,Chazz,Syndra,blue,3/2/1,3,2,○fb,13.3k,0.7k,12.4k,0.3k,208.5k,15.6k,186.8k,6.2k,-,3.5k,1.4k,2.9k,11.3k,6.0k,5.1k,0.2k,16,3,-,9,13.1k,11.8k,273,31,31,-
2019.0,spring,OPL,1,Legacy Esports,Gravitas,1.0,OK,1/18/2019,LGC,Praedyth,Kaisa,blue,0/1/2,0,0,○fb,7.0k,5.0k,1.4k,0.5k,221.1k,194.7k,14.0k,12.4k,648,5.4k,4.4k,2.8k,13.4k,9.5k,3.7k,0.2k,12,13,-,3,13.9k,13.6k,332,23,21,-
2019.0,spring,OPL,1,Legacy Esports,Gravitas,1.0,OK,1/18/2019,LGC,Crayzee,Braum,blue,0/4/2,0,0,○fb,2.1k,0.0k,2.0k,0.0k,35.1k,7.5k,4.5k,23.1k,-,1.1k,1.1k,2.0k,14.8k,9.6k,3.4k,1.7k,40,3,-,13,10.2k,7.2k,63,-,-,-
2019.0,spring,OPL,1,Legacy Esports,Gravitas,1.0,OK,1/18/2019,GRV,Pabu,Urgot,red,3/0/4,3,2,○fb,11.4k,10.6k,0.2k,0.6k,210.3k,182.5k,0.2k,27.5k,-,17.3k,2.2k,2.9k,17.4k,8.9k,8.1k,0.3k,18,16,-,6,13.6k,12.5k,265,10,1,4
2019.0,spring,OPL,1,Legacy Esports,Gravitas,1.0,OK,1/18/2019,GRV,Praelus,LeeSin,red,3/2/6,2,1,○fb,6.0k,5.4k,0.5k,0.1k,144.7k,103.0k,26.7k,15.1k,-,28.9k,0.4k,8.5k,22.2k,16.1k,5.6k,0.5k,19,9,-,10,11.3k,9.3k,12,139,90,-
2019.0,spring,OPL,1,Legacy Esports,Gravitas,1.0,OK,1/18/2019,GRV,Haeri,Leblanc,red,2/1/8,2,1,○fb,16.1k,0.8k,15.3k,0.0k,192.9k,22.9k,154.2k,15.8k,-,13.0k,6.7k,2.7k,8.1k,3.8k,3.9k,0.3k,7,9,-,2,14.3k,13.1k,264,36,20,4
2019.0,spring,OPL,1,Legacy Esports,Gravitas,1.0,OK,1/18/2019,GRV,Raid,Sivir,red,2/0/5,2,1,○fb,15.5k,13.7k,0.5k,1.3k,308.4k,294.3k,4.1k,10.0k,835,32.7k,9.6k,3.1k,7.7k,5.5k,2.0k,0.2k,18,12,-,8,15.8k,13.1k,339,32,21,7
2019.0,spring,OPL,1,Legacy Esports,Gravitas,1.0,OK,1/18/2019,GRV,Decoy,Morgana,red,1/1/7,1,1,○fb,6.7k,0.3k,5.7k,0.7k,34.2k,12.8k,15.3k,6.1k,-,11.5k,3.9k,0.7k,4.9k,1.7k,3.2k,0.0k,46,13,-,10,9.3k,7.3k,17,-,-,-
