year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,spring,PCS,1,J Team,AHQ,1.0,OK,2/29/2020,ahq,Ziv,Renekton,blue,4/1/2,4,2,○fb,18.1k,14.8k,2.7k,0.7k,192.2k,171.2k,5.6k,15.4k,-,14.2k,2.9k,10.7k,31.0k,20.3k,9.3k,1.3k,17,8,-,6,13.2k,13.4k,271,8,1,-
2020.0,spring,PCS,1,J Team,AHQ,1.0,OK,2/29/2020,ahq,Kongyue,RekSai,blue,2/1/5,2,1,○fb,8.7k,6.1k,0.1k,2.5k,184.4k,146.5k,8.2k,29.7k,-,43.4k,0.6k,14.0k,21.8k,17.4k,4.4k,0.1k,36,15,-,14,10.7k,9.5k,19,170,100,13
2020.0,spring,PCS,1,J Team,AHQ,1.0,OK,2/29/2020,ahq,Uniboy,Zoe,blue,1/0/7,1,1,○fb,12.8k,1.0k,10.6k,1.3k,154.0k,20.1k,120.5k,13.4k,-,11.5k,2.9k,2.1k,7.1k,4.0k,2.9k,0.2k,15,5,-,7,11.5k,10.1k,224,28,16,4
2020.0,spring,PCS,1,J Team,AHQ,1.0,OK,2/29/2020,ahq,Wako,MissFortune,blue,3/2/6,2,2,○fb,19.4k,18.1k,1.0k,0.3k,264.2k,257.7k,2.5k,3.9k,1214,26.0k,11.6k,0.5k,5.6k,2.0k,3.2k,0.4k,13,8,-,4,15.2k,12.6k,299,22,21,-
2020.0,spring,PCS,1,J Team,AHQ,1.0,OK,2/29/2020,ahq,Ysera,Leona,blue,0/2/7,0,0,○fb,4.8k,1.4k,2.6k,0.8k,21.1k,5.5k,5.3k,10.3k,-,4.5k,0.0k,1.3k,10.0k,5.9k,3.4k,0.7k,51,13,-,17,7.3k,6.1k,31,-,-,-
2020.0,spring,PCS,1,J Team,AHQ,1.0,OK,2/29/2020,JT,Rest,Gangplank,red,1/1/3,1,1,○fb,15.7k,8.9k,5.3k,1.5k,189.5k,170.4k,9.4k,9.7k,820,2.2k,1.0k,4.9k,15.5k,11.3k,3.6k,0.7k,12,-,-,4,11.2k,11.2k,226,12,11,-
2020.0,spring,PCS,1,J Team,AHQ,1.0,OK,2/29/2020,JT,Hana,Sejuani,red,0/3/6,0,0,○fb,5.6k,2.1k,2.8k,0.7k,139.2k,75.8k,54.2k,9.1k,-,13.6k,0.0k,10.2k,32.5k,25.0k,6.8k,0.7k,11,19,-,13,9.2k,9.2k,37,135,95,12
2020.0,spring,PCS,1,J Team,AHQ,1.0,OK,2/29/2020,JT,Nestea,Sylas,red,2/5/3,2,1,○fb,9.0k,0.1k,8.9k,0.0k,108.7k,14.6k,90.8k,3.4k,-,4.1k,0.0k,6.4k,27.5k,18.6k,5.4k,3.5k,15,5,-,6,10.2k,9.8k,187,12,9,-
2020.0,spring,PCS,1,J Team,AHQ,1.0,OK,2/29/2020,JT,Lilv,Kalista,red,3/0/3,3,1,●fb,10.4k,9.4k,0.9k,0.1k,258.7k,251.6k,1.8k,5.3k,656,8.1k,0.6k,1.0k,7.2k,4.5k,2.5k,0.2k,13,15,-,3,14.5k,15.0k,337,44,37,-
2020.0,spring,PCS,1,J Team,AHQ,1.0,OK,2/29/2020,JT,Woody,Thresh,red,0/2/6,0,0,○fb,3.8k,0.5k,2.8k,0.5k,17.7k,4.1k,7.3k,6.2k,-,1.8k,0.2k,0.8k,9.4k,6.5k,2.4k,0.5k,50,14,-,17,6.5k,6.1k,33,-,-,-
