year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,summer,PCS,5,Resurgence,Hong Kong Attitude,1.0,OK,7/19/2020,RSG,Shinsekai,Camille,blue,1/4/3,1,1,○fb,5.9k,4.2k,0.1k,1.6k,208.3k,171.6k,0.1k,36.6k,-,13.7k,9.4k,4.1k,17.3k,9.7k,5.3k,2.3k,16,9,-,5,12.9k,12.3k,272,18,3,10
2020.0,summer,PCS,5,Resurgence,Hong Kong Attitude,1.0,OK,7/19/2020,RSG,Epic,Volibear,blue,1/2/7,1,1,○fb,7.5k,3.7k,3.3k,0.5k,170.2k,76.4k,83.9k,9.8k,-,18.0k,1.0k,8.7k,23.3k,16.1k,6.9k,0.3k,12,5,-,12,10.8k,11.0k,11,172,135,1
2020.0,summer,PCS,5,Resurgence,Hong Kong Attitude,1.0,OK,7/19/2020,RSG,Raven,Galio,blue,3/3/4,3,1,●fb,13.4k,0.1k,13.2k,0.1k,160.0k,5.2k,152.2k,2.6k,-,5.1k,0.8k,4.2k,17.5k,11.0k,6.0k,0.5k,12,9,-,10,11.7k,12.9k,226,12,10,1
2020.0,summer,PCS,5,Resurgence,Hong Kong Attitude,1.0,OK,7/19/2020,RSG,Mexi,MissFortune,blue,3/3/4,2,2,○fb,19.0k,17.8k,1.1k,0.1k,284.7k,246.5k,2.7k,35.5k,985,9.9k,2.6k,0.7k,8.9k,3.4k,5.3k,0.2k,15,13,-,5,14.6k,13.9k,315,29,29,-
2020.0,summer,PCS,5,Resurgence,Hong Kong Attitude,1.0,OK,7/19/2020,RSG,BoxeR,Leona,blue,0/3/8,0,0,○fb,3.9k,1.4k,2.5k,0.0k,21.5k,10.5k,3.8k,7.2k,-,2.6k,1.2k,1.0k,13.9k,8.3k,5.0k,0.5k,55,8,-,21,7.7k,7.9k,33,4,-,-
2020.0,summer,PCS,5,Resurgence,Hong Kong Attitude,1.0,OK,7/19/2020,HKA,Kartis,Ornn,red,2/0/10,2,1,○fb,11.2k,3.7k,7.4k,0.0k,154.8k,64.1k,89.2k,1.5k,12,11.9k,4.5k,5.1k,16.6k,10.7k,5.3k,0.7k,19,4,-,7,13.0k,11.8k,235,11,9,-
2020.0,summer,PCS,5,Resurgence,Hong Kong Attitude,1.0,OK,7/19/2020,HKA,Holo,Trundle,red,1/2/11,1,1,○fb,4.0k,2.3k,1.3k,0.4k,127.2k,84.8k,34.6k,7.7k,-,26.6k,3.3k,21.9k,32.8k,25.1k,6.6k,1.1k,13,17,-,16,10.2k,9.3k,30,135,80,4
2020.0,summer,PCS,5,Resurgence,Hong Kong Attitude,1.0,OK,7/19/2020,HKA,MoonBlack,Sylas,red,4/2/7,3,3,○fb,12.0k,0.9k,11.0k,0.1k,240.9k,10.1k,214.6k,16.3k,-,13.7k,3.9k,8.4k,21.7k,15.3k,6.1k,0.2k,7,9,-,3,14.6k,14.4k,253,56,38,5
2020.0,summer,PCS,5,Resurgence,Hong Kong Attitude,1.0,OK,7/19/2020,HKA,MnM,Ashe,red,7/1/6,7,5,○fb,24.6k,19.8k,2.8k,2.0k,302.4k,290.7k,4.2k,7.5k,803,33.8k,9.6k,1.5k,11.1k,9.4k,1.8k,0.0k,11,10,-,3,17.4k,15.3k,339,44,39,4
2020.0,summer,PCS,5,Resurgence,Hong Kong Attitude,1.0,OK,7/19/2020,HKA,Wing,Braum,red,1/3/13,1,1,○fb,3.6k,0.9k,2.7k,0.0k,16.3k,4.3k,5.1k,6.9k,-,1.2k,0.5k,3.8k,11.8k,6.6k,4.9k,0.3k,53,6,-,15,8.0k,7.1k,25,-,-,-
