year,season,league_name,week,team_1,team_2,set_number,state
2017.0,summer,TCL,1,Papara SuperMassive,Crew eSports,1.0,this row doesn't have MH_url
2017.0,summer,TCL,1,Papara SuperMassive,Crew eSports,2.0,this row doesn't have MH_url
2017.0,summer,TCL,1,P3P eSports,Cilekler,1.0,this row doesn't have MH_url
2017.0,summer,TCL,1,P3P eSports,Cilekler,2.0,this row doesn't have MH_url
2017.0,summer,TCL,1,Team Aurora,1907 Fenerbahce,1.0,this row doesn't have MH_url
2017.0,summer,TCL,1,Team Aurora,1907 Fenerbahce,2.0,this row doesn't have MH_url
2017.0,summer,TCL,1,Galakticos,Dark Passage,1.0,this row doesn't have MH_url
2017.0,summer,TCL,1,Galakticos,Dark Passage,2.0,this row doesn't have MH_url
2017.0,summer,TCL,1,1907 Fenerbahce,Papara SuperMassive,1.0,this row doesn't have MH_url
2017.0,summer,TCL,1,1907 Fenerbahce,Papara SuperMassive,2.0,this row doesn't have MH_url
2017.0,summer,TCL,1,Cilekler,Team Aurora,1.0,this row doesn't have MH_url
2017.0,summer,TCL,1,Cilekler,Team Aurora,2.0,this row doesn't have MH_url
2017.0,summer,TCL,1,Dark Passage,Crew eSports,1.0,this row doesn't have MH_url
2017.0,summer,TCL,1,Dark Passage,Crew eSports,2.0,this row doesn't have MH_url
2017.0,summer,TCL,1,P3P eSports,Galakticos,1.0,this row doesn't have MH_url
2017.0,summer,TCL,1,P3P eSports,Galakticos,2.0,this row doesn't have MH_url
2017.0,summer,TCL,2,Galakticos,Team Aurora,1.0,this row doesn't have MH_url
2017.0,summer,TCL,2,Galakticos,Team Aurora,2.0,this row doesn't have MH_url
2017.0,summer,TCL,2,Crew eSports,P3P eSports,1.0,this row doesn't have MH_url
2017.0,summer,TCL,2,Crew eSports,P3P eSports,2.0,this row doesn't have MH_url
2017.0,summer,TCL,2,Papara SuperMassive,Dark Passage,1.0,this row doesn't have MH_url
2017.0,summer,TCL,2,Papara SuperMassive,Dark Passage,2.0,this row doesn't have MH_url
2017.0,summer,TCL,2,1907 Fenerbahce,Cilekler,1.0,this row doesn't have MH_url
2017.0,summer,TCL,2,1907 Fenerbahce,Cilekler,2.0,this row doesn't have MH_url
2017.0,summer,TCL,2,Papara SuperMassive,P3P eSports,1.0,this row doesn't have MH_url
2017.0,summer,TCL,2,Papara SuperMassive,P3P eSports,2.0,this row doesn't have MH_url
2017.0,summer,TCL,2,Team Aurora,Crew eSports,1.0,this row doesn't have MH_url
2017.0,summer,TCL,2,Team Aurora,Crew eSports,2.0,this row doesn't have MH_url
2017.0,summer,TCL,2,Dark Passage,1907 Fenerbahce,1.0,this row doesn't have MH_url
2017.0,summer,TCL,2,Dark Passage,1907 Fenerbahce,2.0,this row doesn't have MH_url
2017.0,summer,TCL,2,Cilekler,Galakticos,1.0,this row doesn't have MH_url
2017.0,summer,TCL,2,Cilekler,Galakticos,2.0,this row doesn't have MH_url
2017.0,summer,TCL,3,Team Aurora,Papara SuperMassive,1.0,this row doesn't have MH_url
2017.0,summer,TCL,3,Team Aurora,Papara SuperMassive,2.0,this row doesn't have MH_url
2017.0,summer,TCL,3,Cilekler,Crew eSports,1.0,this row doesn't have MH_url
2017.0,summer,TCL,3,Cilekler,Crew eSports,2.0,this row doesn't have MH_url
2017.0,summer,TCL,3,Galakticos,1907 Fenerbahce,1.0,this row doesn't have MH_url
2017.0,summer,TCL,3,Galakticos,1907 Fenerbahce,2.0,this row doesn't have MH_url
2017.0,summer,TCL,3,P3P eSports,Dark Passage,1.0,this row doesn't have MH_url
2017.0,summer,TCL,3,P3P eSports,Dark Passage,2.0,this row doesn't have MH_url
2017.0,summer,TCL,3,Galakticos,Crew eSports,1.0,this row doesn't have MH_url
2017.0,summer,TCL,3,Galakticos,Crew eSports,2.0,this row doesn't have MH_url
2017.0,summer,TCL,3,Cilekler,Papara SuperMassive,1.0,this row doesn't have MH_url
2017.0,summer,TCL,3,Cilekler,Papara SuperMassive,2.0,this row doesn't have MH_url
2017.0,summer,TCL,3,1907 Fenerbahce,P3P eSports,1.0,this row doesn't have MH_url
2017.0,summer,TCL,3,1907 Fenerbahce,P3P eSports,2.0,this row doesn't have MH_url
2017.0,summer,TCL,3,Team Aurora,Dark Passage,1.0,this row doesn't have MH_url
2017.0,summer,TCL,3,Team Aurora,Dark Passage,2.0,this row doesn't have MH_url
2017.0,summer,TCL,4,Papara SuperMassive,Galakticos,1.0,this row doesn't have MH_url
2017.0,summer,TCL,4,Papara SuperMassive,Galakticos,2.0,this row doesn't have MH_url
2017.0,summer,TCL,4,Dark Passage,Cilekler,1.0,this row doesn't have MH_url
2017.0,summer,TCL,4,Dark Passage,Cilekler,2.0,this row doesn't have MH_url
2017.0,summer,TCL,4,1907 Fenerbahce,Crew eSports,1.0,this row doesn't have MH_url
2017.0,summer,TCL,4,1907 Fenerbahce,Crew eSports,2.0,this row doesn't have MH_url
2017.0,summer,TCL,4,P3P eSports,Team Aurora,1.0,this row doesn't have MH_url
2017.0,summer,TCL,4,P3P eSports,Team Aurora,2.0,this row doesn't have MH_url
2017.0,summer,TCL,4,Crew eSports,Papara SuperMassive,1.0,this row doesn't have MH_url
2017.0,summer,TCL,4,Crew eSports,Papara SuperMassive,2.0,this row doesn't have MH_url
2017.0,summer,TCL,4,Dark Passage,Galakticos,1.0,this row doesn't have MH_url
2017.0,summer,TCL,4,Dark Passage,Galakticos,2.0,this row doesn't have MH_url
2017.0,summer,TCL,4,Team Aurora,1907 Fenerbahce,1.0,this row doesn't have MH_url
2017.0,summer,TCL,4,Team Aurora,1907 Fenerbahce,2.0,this row doesn't have MH_url
2017.0,summer,TCL,4,Cilekler,P3P eSports,1.0,this row doesn't have MH_url
2017.0,summer,TCL,4,Cilekler,P3P eSports,2.0,this row doesn't have MH_url
2017.0,summer,TCL,5,Team Aurora,Cilekler,1.0,this row doesn't have MH_url
2017.0,summer,TCL,5,Team Aurora,Cilekler,2.0,this row doesn't have MH_url
2017.0,summer,TCL,5,Papara SuperMassive,1907 Fenerbahce,1.0,this row doesn't have MH_url
2017.0,summer,TCL,5,Papara SuperMassive,1907 Fenerbahce,2.0,this row doesn't have MH_url
2017.0,summer,TCL,5,Galakticos,P3P eSports,1.0,this row doesn't have MH_url
2017.0,summer,TCL,5,Galakticos,P3P eSports,2.0,this row doesn't have MH_url
2017.0,summer,TCL,5,Crew eSports,Dark Passage,1.0,this row doesn't have MH_url
2017.0,summer,TCL,5,Crew eSports,Dark Passage,2.0,this row doesn't have MH_url
2017.0,summer,TCL,5,Team Aurora,Galakticos,1.0,this row doesn't have MH_url
2017.0,summer,TCL,5,Team Aurora,Galakticos,2.0,this row doesn't have MH_url
2017.0,summer,TCL,5,Cilekler,1907 Fenerbahce,1.0,this row doesn't have MH_url
2017.0,summer,TCL,5,Cilekler,1907 Fenerbahce,2.0,this row doesn't have MH_url
2017.0,summer,TCL,5,Dark Passage,Papara SuperMassive,1.0,this row doesn't have MH_url
2017.0,summer,TCL,5,Dark Passage,Papara SuperMassive,2.0,this row doesn't have MH_url
2017.0,summer,TCL,5,P3P eSports,Crew eSports,1.0,this row doesn't have MH_url
2017.0,summer,TCL,5,P3P eSports,Crew eSports,2.0,this row doesn't have MH_url
2017.0,summer,TCL,6,1907 Fenerbahce,Dark Passage,1.0,this row doesn't have MH_url
