year,season,league_name,week,team_1,team_2,set_number,state
2018.0,spring,TCL,1,1907 Fenerbahce,Papara SuperMassive,1.0,this row doesn't have MH_url
2018.0,spring,TCL,1,HWA Gaming,Royal Bandits,1.0,this row doesn't have MH_url
2018.0,spring,TCL,1,Galakticos,YouthCrew,1.0,this row doesn't have MH_url
2018.0,spring,TCL,1,Team Aurora,Dark Passage,1.0,this row doesn't have MH_url
2018.0,spring,TCL,1,Team Aurora,Galakticos,1.0,this row doesn't have MH_url
2018.0,spring,TCL,1,Dark Passage,Papara SuperMassive,1.0,this row doesn't have MH_url
2018.0,spring,TCL,1,YouthCrew,HWA Gaming,1.0,this row doesn't have MH_url
2018.0,spring,TCL,1,1907 Fenerbahce,Royal Bandits,1.0,this row doesn't have MH_url
2018.0,spring,TCL,1,Team Aurora,HWA Gaming,1.0,this row doesn't have MH_url
2018.0,spring,TCL,1,Galakticos,Papara SuperMassive,1.0,this row doesn't have MH_url
2018.0,spring,TCL,1,YouthCrew,Royal Bandits,1.0,this row doesn't have MH_url
2018.0,spring,TCL,1,1907 Fenerbahce,Dark Passage,1.0,this row doesn't have MH_url
2018.0,spring,TCL,2,HWA Gaming,Papara SuperMassive,1.0,this row doesn't have MH_url
2018.0,spring,TCL,2,YouthCrew,Team Aurora,1.0,this row doesn't have MH_url
2018.0,spring,TCL,2,Royal Bandits,Dark Passage,1.0,this row doesn't have MH_url
2018.0,spring,TCL,2,1907 Fenerbahce,Galakticos,1.0,this row doesn't have MH_url
2018.0,spring,TCL,2,Team Aurora,Royal Bandits,1.0,this row doesn't have MH_url
2018.0,spring,TCL,2,YouthCrew,Papara SuperMassive,1.0,this row doesn't have MH_url
2018.0,spring,TCL,2,Galakticos,Dark Passage,1.0,this row doesn't have MH_url
2018.0,spring,TCL,2,HWA Gaming,1907 Fenerbahce,1.0,this row doesn't have MH_url
2018.0,spring,TCL,2,Royal Bandits,Galakticos,1.0,this row doesn't have MH_url
2018.0,spring,TCL,2,Team Aurora,Papara SuperMassive,1.0,this row doesn't have MH_url
2018.0,spring,TCL,2,Dark Passage,HWA Gaming,1.0,this row doesn't have MH_url
2018.0,spring,TCL,2,YouthCrew,1907 Fenerbahce,1.0,this row doesn't have MH_url
2018.0,spring,TCL,3,Royal Bandits,Papara SuperMassive,1.0,this row doesn't have MH_url
2018.0,spring,TCL,3,Galakticos,HWA Gaming,1.0,this row doesn't have MH_url
2018.0,spring,TCL,3,1907 Fenerbahce,Team Aurora,1.0,this row doesn't have MH_url
2018.0,spring,TCL,3,Dark Passage,YouthCrew,1.0,this row doesn't have MH_url
2018.0,spring,TCL,3,Royal Bandits,HWA Gaming,1.0,this row doesn't have MH_url
2018.0,spring,TCL,3,Galakticos,YouthCrew,1.0,this row doesn't have MH_url
2018.0,spring,TCL,3,Dark Passage,Team Aurora,1.0,this row doesn't have MH_url
2018.0,spring,TCL,3,Papara SuperMassive,1907 Fenerbahce,1.0,this row doesn't have MH_url
2018.0,spring,TCL,3,YouthCrew,HWA Gaming,1.0,this row doesn't have MH_url
2018.0,spring,TCL,3,1907 Fenerbahce,Royal Bandits,1.0,this row doesn't have MH_url
2018.0,spring,TCL,3,Galakticos,Team Aurora,1.0,this row doesn't have MH_url
2018.0,spring,TCL,3,Dark Passage,Papara SuperMassive,1.0,this row doesn't have MH_url
