year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,spring,TCL,7,Papara SuperMassive,5 Ronin,1.0,OK,3/15/2020,SUP,Armut,Kalista,blue,5/4/6,3,3,○fb,15.1k,14.5k,0.3k,0.3k,213.4k,205.4k,1.6k,6.5k,-,34.0k,12.3k,1.8k,17.6k,9.7k,7.7k,0.2k,15,6,-,5,14.2k,12.4k,237,37,22,1
2020.0,spring,TCL,7,Papara SuperMassive,5 Ronin,1.0,OK,3/15/2020,SUP,Stomaged,Sejuani,blue,2/1/10,2,1,●fb,5.6k,2.8k,2.3k,0.5k,124.1k,54.0k,61.9k,8.3k,-,22.2k,1.7k,9.6k,27.3k,18.2k,8.8k,0.4k,12,14,-,12,9.8k,8.9k,28,108,72,11
2020.0,spring,TCL,7,Papara SuperMassive,5 Ronin,1.0,OK,3/15/2020,SUP,Bolulu,Velkoz,blue,5/1/7,5,1,○fb,19.4k,0.4k,14.6k,4.4k,166.8k,10.1k,133.7k,23.0k,-,5.6k,1.9k,1.5k,10.4k,3.9k,6.1k,0.3k,18,5,-,7,12.8k,11.9k,227,16,8,8
2020.0,spring,TCL,7,Papara SuperMassive,5 Ronin,1.0,OK,3/15/2020,SUP,Zeitnot,MissFortune,blue,3/2/3,2,2,○fb,11.7k,10.8k,0.5k,0.4k,169.3k,164.9k,1.0k,3.4k,1066,21.2k,7.2k,0.0k,6.7k,2.7k,3.7k,0.2k,7,11,-,1,13.5k,11.9k,228,23,8,11
2020.0,spring,TCL,7,Papara SuperMassive,5 Ronin,1.0,OK,3/15/2020,SUP,Japone,Taric,blue,0/2/11,0,0,○fb,2.6k,0.7k,1.9k,0.0k,24.7k,9.1k,8.8k,6.9k,-,3.1k,2.3k,10.1k,12.2k,6.9k,5.1k,0.2k,43,14,-,13,7.7k,6.8k,34,-,-,-
2020.0,spring,TCL,7,Papara SuperMassive,5 Ronin,1.0,OK,3/15/2020,5R,Matilda,Cassiopeia,red,3/3/4,2,2,○fb,14.5k,0.0k,14.4k,0.2k,111.5k,4.6k,105.2k,1.7k,-,2.9k,2.6k,4.7k,14.0k,7.9k,4.9k,1.2k,15,3,-,5,10.4k,9.7k,215,4,4,-
2020.0,spring,TCL,7,Papara SuperMassive,5 Ronin,1.0,OK,3/15/2020,5R,Chosen,Elise,red,4/2/3,4,1,○fb,9.3k,0.5k,8.0k,0.7k,114.9k,27.5k,82.4k,5.1k,-,6.7k,2.2k,5.0k,12.1k,8.5k,3.4k,0.3k,23,13,-,8,9.3k,8.9k,25,115,63,21
2020.0,spring,TCL,7,Papara SuperMassive,5 Ronin,1.0,OK,3/15/2020,5R,Umut,Lucian,red,1/1/4,1,1,○fb,14.5k,13.0k,1.5k,0.0k,148.7k,140.5k,8.1k,0.0k,527,3.3k,3.3k,4.1k,14.5k,8.0k,5.1k,1.4k,11,2,-,5,10.6k,10.3k,226,22,18,-
2020.0,spring,TCL,7,Papara SuperMassive,5 Ronin,1.0,OK,3/15/2020,5R,Ruvelius,Tristana,red,2/3/7,2,1,○fb,9.7k,7.7k,1.8k,0.1k,166.8k,121.9k,35.5k,9.4k,535,10.0k,4.5k,1.2k,18.7k,14.6k,4.0k,0.1k,8,3,-,4,11.2k,10.7k,217,18,12,-
2020.0,spring,TCL,7,Papara SuperMassive,5 Ronin,1.0,OK,3/15/2020,5R,Korpse,Nautilus,red,0/6/7,0,0,○fb,3.6k,0.8k,2.4k,0.4k,25.1k,7.3k,13.0k,4.9k,-,0.4k,0.4k,0.8k,16.0k,9.9k,3.4k,2.6k,39,9,-,10,6.6k,6.4k,41,-,-,-
