year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,spring,TCL,1,Royal Youth,Papara SuperMassive,1.0,OK,2/1/2020,RYL,fabFabulous,Ornn,blue,0/3/1,0,0,○fb,9.0k,2.3k,6.3k,0.3k,101.5k,42.0k,50.3k,9.2k,-,0.0k,0.0k,1.3k,20.2k,12.0k,7.8k,0.4k,12,3,-,5,7.3k,6.3k,168,-,-,-
2020.0,spring,TCL,1,Royal Youth,Papara SuperMassive,1.0,OK,2/1/2020,RYL,Sevi9,JarvanIV,blue,3/8/0,2,1,○fb,4.0k,2.7k,0.9k,0.3k,86.0k,50.4k,27.4k,8.2k,-,3.3k,0.0k,5.6k,19.3k,11.7k,7.5k,0.1k,18,2,-,22,7.2k,7.4k,7,88,79,-
2020.0,spring,TCL,1,Royal Youth,Papara SuperMassive,1.0,OK,2/1/2020,RYL,Rhemio,Cassiopeia,blue,1/2/0,1,1,○fb,8.2k,0.1k,7.7k,0.4k,97.1k,9.6k,83.4k,4.1k,-,0.8k,0.0k,2.5k,9.6k,5.9k,3.7k,0.1k,16,-,-,8,7.7k,7.6k,171,10,9,-
2020.0,spring,TCL,1,Royal Youth,Papara SuperMassive,1.0,OK,2/1/2020,RYL,HolyPhoenix,Aphelios,blue,0/2/2,0,0,○fb,6.6k,5.1k,0.7k,0.7k,93.7k,90.1k,1.6k,2.0k,712,0.7k,0.0k,0.6k,6.6k,2.9k,3.3k,0.4k,7,5,-,4,8.9k,8.0k,226,8,8,-
2020.0,spring,TCL,1,Royal Youth,Papara SuperMassive,1.0,OK,2/1/2020,RYL,Japone,Nautilus,blue,0/4/4,0,0,○fb,3.8k,0.7k,2.5k,0.6k,24.3k,6.5k,10.5k,7.4k,-,0.0k,0.0k,0.8k,9.6k,5.0k,4.5k,0.1k,37,9,-,9,5.6k,4.8k,33,-,-,-
2020.0,spring,TCL,1,Royal Youth,Papara SuperMassive,1.0,OK,2/1/2020,SUP,Armut,Aatrox,red,5/0/4,5,2,○fb,10.7k,10.6k,0.1k,0.0k,177.3k,169.7k,0.3k,7.3k,-,8.6k,2.3k,12.3k,19.6k,9.9k,7.4k,2.4k,11,5,-,2,12.8k,10.1k,195,46,27,16
2020.0,spring,TCL,1,Royal Youth,Papara SuperMassive,1.0,OK,2/1/2020,SUP,Stomaged,Sejuani,red,3/1/13,2,1,●fb,6.4k,3.3k,2.8k,0.2k,123.8k,63.5k,48.9k,11.3k,-,30.9k,4.0k,9.9k,19.7k,14.1k,5.1k,0.5k,10,10,-,9,10.5k,8.7k,21,131,57,16
2020.0,spring,TCL,1,Royal Youth,Papara SuperMassive,1.0,OK,2/1/2020,SUP,Bolulu,Rumble,red,5/0/11,5,1,○fb,15.9k,0.4k,15.5k,0.0k,120.8k,9.8k,105.8k,5.2k,-,7.4k,2.3k,1.4k,6.8k,3.6k,3.1k,0.0k,19,2,-,9,11.2k,9.6k,170,12,5,-
2020.0,spring,TCL,1,Royal Youth,Papara SuperMassive,1.0,OK,2/1/2020,SUP,Zeitnot,Varus,red,5/1/9,3,2,○fb,14.3k,9.5k,4.5k,0.3k,179.6k,136.1k,19.6k,23.9k,375,32.8k,8.4k,1.9k,8.3k,5.9k,2.2k,0.2k,7,12,-,2,12.4k,9.6k,235,23,12,2
2020.0,spring,TCL,1,Royal Youth,Papara SuperMassive,1.0,OK,2/1/2020,SUP,Dumbledoge,Leona,red,1/2/8,1,1,○fb,3.3k,0.8k,2.0k,0.5k,18.7k,7.5k,5.0k,6.3k,-,4.0k,1.3k,1.1k,8.8k,5.3k,3.0k,0.5k,26,15,-,7,7.0k,5.6k,36,-,-,-
