year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,summer,TCL,4,5 Ronin,Dark Passage,1.0,OK,6/27/2020,5R,Oncan,Camille,blue,1/5/4,1,1,○fb,12.6k,10.0k,0.1k,2.5k,163.0k,139.6k,0.1k,23.3k,-,11.4k,2.4k,1.8k,22.2k,11.9k,9.4k,0.9k,4,6,-,3,11.0k,11.3k,206,30,14,-
2020.0,summer,TCL,4,5 Ronin,Dark Passage,1.0,OK,6/27/2020,5R,Robin,Graves,blue,3/7/2,3,1,●fb,12.1k,10.1k,0.7k,1.2k,196.1k,173.4k,7.2k,15.4k,-,24.3k,0.1k,6.5k,23.4k,12.1k,10.8k,0.4k,9,8,-,10,10.5k,9.9k,55,152,110,4
2020.0,summer,TCL,4,5 Ronin,Dark Passage,1.0,OK,6/27/2020,5R,Umut,Azir,blue,4/4/2,2,1,○fb,29.1k,1.8k,27.0k,0.2k,208.9k,15.3k,186.8k,6.8k,-,14.2k,7.9k,1.0k,13.1k,7.5k,5.1k,0.4k,11,5,-,3,13.3k,13.2k,267,20,20,-
2020.0,summer,TCL,4,5 Ronin,Dark Passage,1.0,OK,6/27/2020,5R,Husky Rider,Varus,blue,1/5/4,1,1,○fb,17.4k,14.2k,3.2k,0.0k,128.2k,121.9k,6.3k,0.0k,-,2.3k,0.4k,0.7k,13.1k,7.4k,5.2k,0.5k,13,11,-,7,10.8k,10.1k,240,7,4,-
2020.0,summer,TCL,4,5 Ronin,Dark Passage,1.0,OK,6/27/2020,5R,Brolia,Thresh,blue,1/6/6,1,1,○fb,6.3k,0.5k,5.2k,0.6k,16.2k,2.9k,7.2k,6.1k,-,1.0k,0.1k,2.3k,17.9k,6.4k,10.0k,1.4k,60,14,-,21,6.9k,6.6k,35,-,-,-
2020.0,summer,TCL,4,5 Ronin,Dark Passage,1.0,OK,6/27/2020,DP,Juuzou,Ornn,red,1/3/13,1,1,○fb,14.7k,5.2k,9.5k,0.0k,129.0k,60.8k,65.2k,3.0k,-,4.8k,3.3k,6.1k,22.3k,11.1k,8.9k,2.3k,14,1,-,5,10.5k,9.9k,190,4,4,-
2020.0,summer,TCL,4,5 Ronin,Dark Passage,1.0,OK,6/27/2020,DP,Kireas,LeeSin,red,4/3/14,2,1,○fb,7.2k,6.1k,1.0k,0.1k,166.7k,127.3k,31.7k,7.7k,-,23.8k,3.4k,15.4k,33.8k,18.6k,13.6k,1.5k,20,9,-,12,12.6k,11.5k,27,148,95,8
2020.0,summer,TCL,4,5 Ronin,Dark Passage,1.0,OK,6/27/2020,DP,Ksaez,Zoe,red,16/0/9,16,3,○fb,28.1k,2.2k,23.7k,2.2k,190.6k,16.3k,166.6k,7.7k,-,6.3k,2.5k,9.2k,13.5k,9.1k,4.0k,0.4k,15,5,-,7,16.7k,15.4k,245,24,24,-
2020.0,summer,TCL,4,5 Ronin,Dark Passage,1.0,OK,6/27/2020,DP,Wasteee,Aphelios,red,5/0/11,5,2,○fb,15.5k,14.3k,0.5k,0.6k,214.7k,204.4k,2.3k,8.1k,924,24.4k,11.2k,4.8k,13.9k,10.0k,3.6k,0.4k,14,10,-,3,14.3k,12.1k,226,38,27,-
2020.0,summer,TCL,4,5 Ronin,Dark Passage,1.0,OK,6/27/2020,DP,Absolute,Blitzcrank,red,1/4/12,1,1,○fb,5.8k,1.5k,3.4k,0.9k,19.5k,6.0k,6.7k,6.8k,-,1.5k,1.3k,4.9k,20.6k,9.1k,9.5k,2.0k,34,6,-,11,8.1k,7.5k,32,-,-,-
