year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,summer,TCL,1,1907 Fenerbahce,Istanbul Wildcats,1.0,OK,6/6/2020,IW,StarScreen,Renekton,blue,3/0/5,3,1,○fb,16.0k,13.9k,1.5k,0.6k,424.5k,385.1k,5.4k,34.0k,-,23.8k,5.2k,13.0k,41.0k,26.8k,11.0k,3.1k,24,22,-,8,20.7k,18.8k,421,58,22,13
2020.0,summer,TCL,1,1907 Fenerbahce,Istanbul Wildcats,1.0,OK,6/6/2020,IW,Ferret,MonkeyKing,blue,2/3/7,2,1,○fb,8.7k,5.4k,2.0k,1.2k,170.0k,118.8k,37.4k,13.8k,-,33.5k,1.4k,13.6k,36.5k,25.9k,9.0k,1.5k,18,37,-,17,13.2k,12.1k,45,158,108,2
2020.0,summer,TCL,1,1907 Fenerbahce,Istanbul Wildcats,1.0,OK,6/6/2020,IW,Serin,Syndra,blue,4/1/6,4,1,○fb,12.7k,0.9k,11.3k,0.5k,304.3k,19.2k,282.0k,3.1k,-,11.4k,3.1k,2.0k,11.4k,5.8k,5.0k,0.6k,22,8,-,8,17.1k,16.2k,325,52,48,-
2020.0,summer,TCL,1,1907 Fenerbahce,Istanbul Wildcats,1.0,OK,6/6/2020,IW,Kaori,Ezreal,blue,8/0/5,8,1,●fb,34.4k,24.1k,8.8k,1.5k,388.7k,338.3k,34.0k,16.4k,-,48.4k,9.5k,0.6k,15.5k,10.3k,4.0k,1.2k,18,23,-,4,20.0k,18.1k,385,32,23,-
2020.0,summer,TCL,1,1907 Fenerbahce,Istanbul Wildcats,1.0,OK,6/6/2020,IW,Pbd,Yuumi,blue,0/1/12,0,0,○fb,8.1k,0.3k,7.4k,0.4k,14.8k,2.5k,11.9k,0.4k,-,1.7k,0.7k,19.6k,2.1k,1.9k,0.2k,0.0k,60,6,-,16,9.8k,8.6k,7,-,-,-
2020.0,summer,TCL,1,1907 Fenerbahce,Istanbul Wildcats,1.0,OK,6/6/2020,FB,Sacre,Gangplank,red,0/3/2,0,0,○fb,24.6k,12.5k,8.1k,4.0k,451.1k,404.4k,15.1k,31.6k,-,9.4k,2.5k,15.5k,32.8k,22.2k,7.6k,3.1k,21,6,-,5,18.3k,17.6k,363,40,32,5
2020.0,summer,TCL,1,1907 Fenerbahce,Istanbul Wildcats,1.0,OK,6/6/2020,FB,Mojito,Elise,red,2/6/0,2,1,○fb,5.1k,0.2k,4.6k,0.3k,158.9k,39.1k,109.2k,10.6k,-,31.4k,0.5k,10.7k,24.3k,16.3k,7.6k,0.4k,58,31,-,20,11.4k,11.5k,39,135,85,4
2020.0,summer,TCL,1,1907 Fenerbahce,Istanbul Wildcats,1.0,OK,6/6/2020,FB,Blue,Akali,red,1/0/1,1,1,○fb,11.5k,3.1k,8.4k,0.0k,297.6k,66.6k,205.5k,25.4k,-,4.1k,0.1k,14.9k,27.3k,20.5k,6.1k,0.6k,28,11,-,11,16.3k,16.0k,379,31,27,4
2020.0,summer,TCL,1,1907 Fenerbahce,Istanbul Wildcats,1.0,OK,6/6/2020,FB,HolyPhoenix,Aphelios,red,1/4/1,1,1,○fb,17.9k,17.0k,0.2k,0.6k,398.4k,386.4k,4.6k,7.5k,1282,21.0k,2.5k,3.1k,15.6k,8.8k,6.5k,0.2k,16,15,-,6,18.3k,17.4k,405,51,50,-
2020.0,summer,TCL,1,1907 Fenerbahce,Istanbul Wildcats,1.0,OK,6/6/2020,FB,Japone,Nautilus,red,0/4/1,0,0,○fb,4.1k,0.5k,2.5k,1.1k,29.6k,10.1k,12.1k,7.4k,-,3.2k,1.3k,1.5k,17.6k,10.2k,6.5k,0.9k,81,11,-,22,9.0k,8.6k,40,-,-,-
2020.0,summer,TCL,1,Dark Passage,Team Aurora,1.0,OK,6/6/2020,AUR,Madly,Sett,blue,0/4/1,0,0,○fb,6.6k,3.6k,0.0k,3.0k,103.9k,85.4k,0.1k,18.4k,-,3.6k,0.0k,0.4k,24.4k,13.8k,10.0k,0.6k,14,9,-,9,8.9k,9.0k,202,3,3,-
2020.0,summer,TCL,1,Dark Passage,Team Aurora,1.0,OK,6/6/2020,AUR,Chosen,JarvanIV,blue,0/6/2,0,0,○fb,3.3k,2.6k,0.5k,0.3k,129.0k,76.9k,42.4k,9.7k,-,10.6k,0.1k,6.8k,26.9k,16.1k,10.0k,0.8k,18,9,-,19,8.4k,8.4k,20,126,93,-
2020.0,summer,TCL,1,Dark Passage,Team Aurora,1.0,OK,6/6/2020,AUR,Bendix,Veigar,blue,1/3/5,1,1,○fb,14.7k,0.1k,14.5k,0.1k,173.3k,11.7k,161.5k,0.1k,-,1.6k,0.9k,0.9k,14.0k,8.2k,5.3k,0.5k,18,3,-,7,10.8k,10.3k,247,17,13,-
2020.0,summer,TCL,1,Dark Passage,Team Aurora,1.0,OK,6/6/2020,AUR,Black,Ezreal,blue,5/6/2,2,2,●fb,30.3k,17.5k,11.8k,1.0k,239.2k,198.4k,29.6k,11.1k,-,6.4k,2.5k,1.8k,27.0k,16.2k,10.2k,0.6k,4,16,-,3,15.4k,14.4k,302,32,32,-
2020.0,summer,TCL,1,Dark Passage,Team Aurora,1.0,OK,6/6/2020,AUR,Sparz,Yuumi,blue,2/2/5,2,1,○fb,8.2k,0.5k,7.0k,0.6k,22.5k,4.6k,12.8k,5.1k,-,1.8k,1.3k,16.5k,6.8k,4.8k,1.8k,0.1k,50,4,-,10,7.9k,7.8k,27,-,-,-
2020.0,summer,TCL,1,Dark Passage,Team Aurora,1.0,OK,6/6/2020,DP,Juuzou,Ornn,red,0/0/15,0,0,○fb,12.6k,5.2k,7.2k,0.2k,160.9k,78.1k,79.2k,3.7k,-,8.1k,3.1k,9.0k,19.9k,8.9k,8.7k,2.3k,17,2,-,7,12.1k,12.1k,237,5,4,-
2020.0,summer,TCL,1,Dark Passage,Team Aurora,1.0,OK,6/6/2020,DP,Kireas,Graves,red,4/2/11,3,1,○fb,8.9k,7.2k,0.5k,1.2k,212.1k,186.1k,8.1k,17.9k,-,46.0k,2.3k,11.7k,24.3k,13.2k,10.5k,0.5k,12,17,-,11,13.3k,12.1k,38,178,111,8
2020.0,summer,TCL,1,Dark Passage,Team Aurora,1.0,OK,6/6/2020,DP,Ksaez,Azir,red,10/1/7,5,2,○fb,23.3k,0.8k,22.1k,0.5k,258.3k,9.7k,243.2k,5.4k,-,33.2k,5.7k,5.8k,18.4k,10.7k,6.4k,1.3k,16,8,-,6,17.6k,17.1k,267,58,46,8
2020.0,summer,TCL,1,Dark Passage,Team Aurora,1.0,OK,6/6/2020,DP,Wasteee,Aphelios,red,7/3/13,4,1,○fb,24.0k,23.5k,0.2k,0.4k,199.8k,191.7k,3.4k,4.6k,919,23.9k,3.3k,4.5k,16.5k,8.4k,7.9k,0.2k,12,8,-,2,14.5k,13.6k,234,30,20,2
2020.0,summer,TCL,1,Dark Passage,Team Aurora,1.0,OK,6/6/2020,DP,Absolute,Karma,red,0/2/20,0,0,○fb,5.2k,0.8k,4.1k,0.4k,30.7k,6.6k,18.9k,5.2k,-,2.8k,0.3k,3.7k,11.2k,6.2k,4.3k,0.7k,37,3,-,9,8.5k,7.3k,30,-,-,-
2020.0,summer,TCL,1,Galakticos,Besiktas Esports,1.0,OK,6/6/2020,BJK,Novachrono,Chogath,blue,2/2/4,2,1,○fb,13.4k,2.4k,9.2k,1.7k,151.3k,34.0k,95.0k,22.3k,11,22.0k,3.2k,6.7k,21.6k,12.6k,8.5k,0.4k,19,8,-,9,11.3k,10.8k,206,32,5,-
2020.0,summer,TCL,1,Galakticos,Besiktas Esports,1.0,OK,6/6/2020,BJK,Elramir,Trundle,blue,2/0/4,2,1,○fb,5.3k,2.6k,1.7k,1.0k,131.4k,83.1k,33.4k,15.0k,-,38.4k,1.2k,21.3k,28.3k,18.8k,8.2k,1.3k,16,10,-,17,10.6k,9.9k,14,123,75,11
2020.0,summer,TCL,1,Galakticos,Besiktas Esports,1.0,OK,6/6/2020,BJK,stillnumb,Corki,blue,4/1/3,4,1,●fb,23.1k,3.2k,19.2k,0.8k,231.1k,29.7k,199.0k,2.4k,712,18.8k,6.3k,3.9k,14.1k,8.1k,5.9k,0.0k,15,2,-,8,14.6k,14.3k,242,64,56,8
2020.0,summer,TCL,1,Galakticos,Besiktas Esports,1.0,OK,6/6/2020,BJK,Rate,Yasuo,blue,1/2/2,1,1,○fb,6.0k,5.1k,0.9k,0.0k,201.8k,189.7k,12.2k,0.0k,684,10.1k,3.5k,2.0k,11.7k,7.2k,4.3k,0.2k,17,2,-,9,13.0k,12.8k,252,44,21,12
2020.0,summer,TCL,1,Galakticos,Besiktas Esports,1.0,OK,6/6/2020,BJK,Efias,Rakan,blue,1/0/6,1,1,○fb,2.9k,0.7k,2.1k,0.1k,14.9k,5.0k,4.8k,5.0k,-,2.0k,2.0k,2.3k,6.8k,3.4k,3.3k,0.1k,46,18,-,13,8.3k,7.8k,43,-,-,-
2020.0,summer,TCL,1,Galakticos,Besiktas Esports,1.0,OK,6/6/2020,GAL,Luana,MonkeyKing,red,2/3/1,2,1,○fb,11.6k,9.1k,2.4k,0.1k,135.6k,101.0k,28.0k,6.6k,-,10.7k,3.1k,2.4k,23.6k,11.7k,10.6k,1.3k,15,10,-,7,10.6k,9.6k,234,15,8,-
