year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2019.0,spring,TPL_a,1,SuperMassive Academy,Royal Youth Academy,1.0,OK,21/1/2019,SUP,Luana,Urgot,blue,2/0/4,2,1,○fb,9.1k,8.6k,0.2k,0.3k,263.8k,249.1k,0.2k,14.5k,-,18.3k,3.4k,1.1k,12.6k,8.4k,4.2k,0.1k,17,8,-,8,15.0k,13.2k,327,16,1,12
2019.0,spring,TPL_a,1,SuperMassive Academy,Royal Youth Academy,1.0,OK,21/1/2019,SUP,Elramir,Nocturne,blue,3/0/5,3,2,○fb,4.6k,4.3k,0.2k,0.1k,229.6k,204.1k,14.0k,11.5k,-,51.9k,3.7k,18.3k,27.8k,23.5k,4.0k,0.4k,12,10,-,13,13.0k,11.8k,26,211,94,51
2019.0,spring,TPL_a,1,SuperMassive Academy,Royal Youth Academy,1.0,OK,21/1/2019,SUP,WaenA,Lissandra,blue,4/2/7,3,1,●fb,7.4k,0.5k,6.8k,0.1k,219.5k,21.4k,197.9k,0.2k,-,6.0k,4.8k,1.4k,15.2k,6.6k,7.7k,0.9k,21,7,-,11,14.5k,11.7k,298,20,16,4
2019.0,spring,TPL_a,1,SuperMassive Academy,Royal Youth Academy,1.0,OK,21/1/2019,SUP,Practice,Ezreal,blue,7/0/3,7,2,○fb,33.5k,16.7k,15.5k,1.3k,292.7k,224.4k,57.4k,10.9k,-,29.1k,7.7k,4.0k,15.1k,10.7k,4.2k,0.2k,14,7,-,4,17.7k,16.7k,357,18,12,5
2019.0,spring,TPL_a,1,SuperMassive Academy,Royal Youth Academy,1.0,OK,21/1/2019,SUP,Absolute,TahmKench,blue,0/0/10,0,0,○fb,2.5k,0.2k,2.3k,0.1k,55.6k,16.5k,11.2k,28.0k,-,8.2k,4.6k,5.1k,11.1k,5.7k,4.9k,0.5k,36,8,-,10,12.6k,8.5k,79,4,-,-
2019.0,spring,TPL_a,1,SuperMassive Academy,Royal Youth Academy,1.0,OK,21/1/2019,RYL,Matilda,Sion,red,0/1/0,0,0,○fb,4.3k,2.0k,2.3k,0.0k,158.6k,109.0k,47.3k,2.3k,-,2.0k,1.2k,1.8k,18.2k,13.7k,3.6k,0.9k,20,3,-,10,10.8k,10.3k,253,7,1,-
2019.0,spring,TPL_a,1,SuperMassive Academy,Royal Youth Academy,1.0,OK,21/1/2019,RYL,Chosen,Khazix,red,0/4/0,0,0,○fb,2.4k,1.9k,0.2k,0.2k,131.0k,109.8k,8.2k,13.0k,-,22.8k,0.3k,11.7k,22.9k,17.6k,5.0k,0.2k,15,7,-,15,8.8k,8.6k,27,111,84,-
2019.0,spring,TPL_a,1,SuperMassive Academy,Royal Youth Academy,1.0,OK,21/1/2019,RYL,Ksaez,Zoe,red,1/2/1,1,1,○fb,16.1k,1.2k,13.5k,1.5k,182.9k,21.4k,152.6k,8.8k,276,0.7k,0.2k,2.5k,10.8k,6.5k,4.2k,0.1k,17,7,-,7,12.5k,12.3k,277,8,8,-
2019.0,spring,TPL_a,1,SuperMassive Academy,Royal Youth Academy,1.0,OK,21/1/2019,RYL,Mean,Caitlyn,red,1/5/0,1,1,○fb,9.3k,8.3k,0.5k,0.4k,240.7k,234.4k,4.8k,1.6k,1351,6.5k,4.1k,4.1k,19.7k,9.2k,10.1k,0.4k,12,2,-,4,13.1k,13.2k,309,7,5,-
2019.0,spring,TPL_a,1,SuperMassive Academy,Royal Youth Academy,1.0,OK,21/1/2019,RYL,Farfetch,Janna,red,0/4/0,0,0,○fb,4.2k,0.1k,4.0k,0.0k,18.4k,2.1k,16.2k,0.0k,-,0.9k,0.2k,1.7k,8.4k,4.2k,4.0k,0.2k,33,14,-,9,6.7k,6.8k,21,-,-,-
2019.0,spring,TPL_a,1,Galatasaray Academy,Dark Passage Academy,1.0,OK,21/1/2019,GS,Smoke,Urgot,blue,1/3/6,1,1,○fb,14.5k,13.5k,0.6k,0.4k,142.5k,132.8k,0.6k,9.1k,-,2.1k,1.6k,0.4k,18.6k,13.4k,4.4k,0.7k,11,9,-,2,10.5k,9.9k,223,8,8,-
2019.0,spring,TPL_a,1,Galatasaray Academy,Dark Passage Academy,1.0,OK,21/1/2019,GS,kumru,Karthus,blue,7/4/3,3,2,○fb,16.4k,0.1k,15.6k,0.7k,158.3k,7.0k,141.0k,10.3k,-,15.9k,0.4k,8.8k,21.8k,14.5k,7.1k,0.2k,14,5,-,8,10.7k,10.1k,16,129,110,-
2019.0,spring,TPL_a,1,Galatasaray Academy,Dark Passage Academy,1.0,OK,21/1/2019,GS,MGX,Syndra,blue,2/4/5,2,1,○fb,10.6k,0.7k,9.9k,0.1k,154.7k,15.2k,132.6k,6.9k,-,3.9k,1.0k,1.4k,12.2k,7.1k,4.7k,0.5k,11,4,-,2,11.6k,11.4k,242,20,17,-
2019.0,spring,TPL_a,1,Galatasaray Academy,Dark Passage Academy,1.0,OK,21/1/2019,GS,Noac,Xayah,blue,0/5/7,0,0,○fb,10.2k,10.1k,0.1k,0.0k,134.3k,129.7k,1.9k,2.7k,490,0.8k,0.4k,1.2k,12.1k,6.7k,5.2k,0.2k,9,3,-,3,10.0k,9.8k,229,9,8,-
2019.0,spring,TPL_a,1,Galatasaray Academy,Dark Passage Academy,1.0,OK,21/1/2019,GS,Bafu,Braum,blue,0/6/5,0,0,○fb,3.8k,0.1k,3.3k,0.3k,19.4k,4.0k,4.7k,10.7k,-,0.0k,0.0k,1.5k,12.2k,7.4k,4.2k,0.7k,42,3,-,16,7.5k,5.5k,45,-,-,-
2019.0,spring,TPL_a,1,Galatasaray Academy,Dark Passage Academy,1.0,OK,21/1/2019,DP,Aligan,Sion,red,2/2/5,2,1,○fb,7.9k,5.6k,2.3k,0.0k,123.4k,79.2k,31.0k,13.2k,27,6.1k,2.9k,2.9k,21.2k,12.5k,8.2k,0.5k,17,3,-,7,10.5k,9.3k,189,8,8,-
