year,season,league_name,week,team_1,team_2,set_number,state
2017.0,summer,VCS,1,LG Red,Ultimate,1.0,this row doesn't have MH_url
2017.0,summer,VCS,1,LG Red,Ultimate,2.0,this row doesn't have MH_url
2017.0,summer,VCS,1,GAM Esports,Friends Forever Gaming,1.0,this row doesn't have MH_url
2017.0,summer,VCS,1,GAM Esports,Friends Forever Gaming,2.0,this row doesn't have MH_url
2017.0,summer,VCS,1,GAM Esports,Friends Forever Gaming,3.0,this row doesn't have MH_url
2017.0,summer,VCS,1,e.Hub United,Cherry Esports,1.0,this row doesn't have MH_url
2017.0,summer,VCS,1,e.Hub United,Cherry Esports,2.0,this row doesn't have MH_url
2017.0,summer,VCS,1,Young Generation,Fighters Gaming,1.0,this row doesn't have MH_url
2017.0,summer,VCS,1,Young Generation,Fighters Gaming,2.0,this row doesn't have MH_url
2017.0,summer,VCS,1,LG Red,Cherry Esports,1.0,this row doesn't have MH_url
2017.0,summer,VCS,1,LG Red,Cherry Esports,2.0,this row doesn't have MH_url
2017.0,summer,VCS,1,GAM Esports,Fighters Gaming,1.0,this row doesn't have MH_url
2017.0,summer,VCS,1,GAM Esports,Fighters Gaming,2.0,this row doesn't have MH_url
2017.0,summer,VCS,1,Ultimate,Young Generation,1.0,this row doesn't have MH_url
2017.0,summer,VCS,1,Ultimate,Young Generation,2.0,this row doesn't have MH_url
2017.0,summer,VCS,1,Ultimate,Young Generation,3.0,this row doesn't have MH_url
2017.0,summer,VCS,1,Friends Forever Gaming,e.Hub United,1.0,this row doesn't have MH_url
2017.0,summer,VCS,1,Friends Forever Gaming,e.Hub United,2.0,this row doesn't have MH_url
2017.0,summer,VCS,2,Fighters Gaming,e.Hub United,1.0,this row doesn't have MH_url
2017.0,summer,VCS,2,Fighters Gaming,e.Hub United,2.0,this row doesn't have MH_url
2017.0,summer,VCS,2,LG Red,Young Generation,1.0,this row doesn't have MH_url
2017.0,summer,VCS,2,LG Red,Young Generation,2.0,this row doesn't have MH_url
2017.0,summer,VCS,2,LG Red,Young Generation,3.0,this row doesn't have MH_url
2017.0,summer,VCS,2,Cherry Esports,GAM Esports,1.0,this row doesn't have MH_url
2017.0,summer,VCS,2,Cherry Esports,GAM Esports,2.0,this row doesn't have MH_url
2017.0,summer,VCS,2,Friends Forever Gaming,Ultimate,1.0,this row doesn't have MH_url
2017.0,summer,VCS,2,Friends Forever Gaming,Ultimate,2.0,this row doesn't have MH_url
2017.0,summer,VCS,2,Cherry Esports,Friends Forever Gaming,1.0,this row doesn't have MH_url
2017.0,summer,VCS,2,Cherry Esports,Friends Forever Gaming,2.0,this row doesn't have MH_url
2017.0,summer,VCS,2,e.Hub United,Ultimate,1.0,this row doesn't have MH_url
2017.0,summer,VCS,2,e.Hub United,Ultimate,2.0,this row doesn't have MH_url
2017.0,summer,VCS,2,Fighters Gaming,LG Red,1.0,this row doesn't have MH_url
2017.0,summer,VCS,2,Fighters Gaming,LG Red,2.0,this row doesn't have MH_url
2017.0,summer,VCS,2,Young Generation,GAM Esports,1.0,this row doesn't have MH_url
2017.0,summer,VCS,2,Young Generation,GAM Esports,2.0,this row doesn't have MH_url
2017.0,summer,VCS,2,Young Generation,GAM Esports,3.0,this row doesn't have MH_url
2017.0,summer,VCS,3,e.Hub United,LG Red,1.0,this row doesn't have MH_url
2017.0,summer,VCS,3,e.Hub United,LG Red,2.0,this row doesn't have MH_url
2017.0,summer,VCS,3,e.Hub United,LG Red,3.0,this row doesn't have MH_url
2017.0,summer,VCS,3,GAM Esports,Ultimate,1.0,this row doesn't have MH_url
2017.0,summer,VCS,3,GAM Esports,Ultimate,2.0,this row doesn't have MH_url
2017.0,summer,VCS,3,Cherry Esports,Fighters Gaming,1.0,this row doesn't have MH_url
2017.0,summer,VCS,3,Cherry Esports,Fighters Gaming,2.0,this row doesn't have MH_url
2017.0,summer,VCS,3,Young Generation,Friends Forever Gaming,1.0,this row doesn't have MH_url
2017.0,summer,VCS,3,Young Generation,Friends Forever Gaming,2.0,this row doesn't have MH_url
2017.0,summer,VCS,3,Ultimate,Cherry Esports,1.0,this row doesn't have MH_url
2017.0,summer,VCS,3,Ultimate,Cherry Esports,2.0,this row doesn't have MH_url
2017.0,summer,VCS,3,Friends Forever Gaming,Fighters Gaming,1.0,this row doesn't have MH_url
2017.0,summer,VCS,3,Friends Forever Gaming,Fighters Gaming,2.0,this row doesn't have MH_url
2017.0,summer,VCS,3,LG Red,GAM Esports,1.0,this row doesn't have MH_url
2017.0,summer,VCS,3,LG Red,GAM Esports,2.0,this row doesn't have MH_url
2017.0,summer,VCS,3,LG Red,GAM Esports,3.0,this row doesn't have MH_url
2017.0,summer,VCS,3,Young Generation,e.Hub United,1.0,this row doesn't have MH_url
2017.0,summer,VCS,3,Young Generation,e.Hub United,2.0,this row doesn't have MH_url
2017.0,summer,VCS,3,Young Generation,e.Hub United,3.0,this row doesn't have MH_url
2017.0,summer,VCS,4,Fighters Gaming,Ultimate,1.0,this row doesn't have MH_url
2017.0,summer,VCS,4,Fighters Gaming,Ultimate,2.0,this row doesn't have MH_url
2017.0,summer,VCS,4,Fighters Gaming,Ultimate,3.0,this row doesn't have MH_url
2017.0,summer,VCS,4,LG Red,Friends Forever Gaming,1.0,this row doesn't have MH_url
2017.0,summer,VCS,4,LG Red,Friends Forever Gaming,2.0,this row doesn't have MH_url
2017.0,summer,VCS,4,LG Red,Friends Forever Gaming,3.0,this row doesn't have MH_url
2017.0,summer,VCS,4,Cherry Esports,Young Generation,1.0,this row doesn't have MH_url
2017.0,summer,VCS,4,Cherry Esports,Young Generation,2.0,this row doesn't have MH_url
2017.0,summer,VCS,4,Cherry Esports,Young Generation,3.0,this row doesn't have MH_url
2017.0,summer,VCS,4,GAM Esports,e.Hub United,1.0,this row doesn't have MH_url
2017.0,summer,VCS,4,GAM Esports,e.Hub United,2.0,this row doesn't have MH_url
2017.0,summer,VCS,4,GAM Esports,e.Hub United,3.0,this row doesn't have MH_url
2017.0,summer,VCS,4,Cherry Esports,e.Hub United,1.0,this row doesn't have MH_url
2017.0,summer,VCS,4,Cherry Esports,e.Hub United,2.0,this row doesn't have MH_url
2017.0,summer,VCS,4,Fighters Gaming,Young Generation,1.0,this row doesn't have MH_url
2017.0,summer,VCS,4,Fighters Gaming,Young Generation,2.0,this row doesn't have MH_url
2017.0,summer,VCS,4,Ultimate,LG Red,1.0,this row doesn't have MH_url
2017.0,summer,VCS,4,Ultimate,LG Red,2.0,this row doesn't have MH_url
2017.0,summer,VCS,4,Friends Forever Gaming,GAM Esports,1.0,this row doesn't have MH_url
2017.0,summer,VCS,4,Friends Forever Gaming,GAM Esports,2.0,this row doesn't have MH_url
2017.0,summer,VCS,5,Ultimate,Fighters Gaming,1.0,this row doesn't have MH_url
2017.0,summer,VCS,5,Ultimate,Fighters Gaming,2.0,this row doesn't have MH_url
2017.0,summer,VCS,5,Friends Forever Gaming,LG Red,1.0,this row doesn't have MH_url
