year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,spring,VCS,2,Team Flash,GAM Esports,3.0,OK,2/9/2020,FL,Yoshino,Sett,blue,4/2/6,3,1,○fb,17.0k,12.8k,0.1k,4.1k,168.3k,140.9k,0.3k,27.0k,-,9.3k,0.8k,2.6k,26.6k,13.8k,12.1k,0.6k,27,15,-,13,14.0k,12.1k,236,11,1,2
2020.0,spring,VCS,2,Team Flash,GAM Esports,3.0,OK,2/9/2020,FL,Yijin,Qiyana,blue,3/3/4,2,1,○fb,12.6k,11.3k,0.7k,0.6k,277.5k,232.4k,28.8k,16.3k,-,39.1k,0.0k,16.4k,30.6k,20.1k,9.9k,0.6k,40,21,-,14,14.7k,13.7k,73,199,122,11
2020.0,spring,VCS,2,Team Flash,GAM Esports,3.0,OK,2/9/2020,FL,Kati,Orianna,blue,6/1/7,6,1,○fb,28.0k,0.6k,27.2k,0.3k,275.2k,23.5k,247.8k,3.9k,-,17.7k,3.2k,1.7k,10.5k,6.8k,3.6k,0.0k,18,7,-,3,17.4k,15.8k,266,53,32,15
2020.0,spring,VCS,2,Team Flash,GAM Esports,3.0,OK,2/9/2020,FL,Slayder,Lucian,blue,4/3/6,3,2,○fb,21.1k,18.7k,2.0k,0.4k,348.0k,310.2k,12.0k,25.8k,954,41.1k,13.1k,2.8k,14.8k,9.0k,5.4k,0.3k,18,7,-,4,18.3k,16.4k,333,20,20,-
2020.0,spring,VCS,2,Team Flash,GAM Esports,3.0,OK,2/9/2020,FL,CBL,Braum,blue,0/3/9,0,0,○fb,4.1k,0.8k,3.3k,0.0k,19.3k,5.8k,7.3k,6.2k,-,3.2k,0.2k,4.5k,20.2k,10.3k,8.8k,1.1k,62,15,-,17,9.9k,8.9k,37,4,4,-
2020.0,spring,VCS,2,Team Flash,GAM Esports,3.0,OK,2/9/2020,GAM,Kiaya,Mordekaiser,red,1/5/3,1,1,○fb,13.1k,2.2k,10.6k,0.2k,185.8k,22.9k,162.5k,0.5k,-,1.7k,0.5k,6.0k,26.3k,19.7k,5.5k,1.1k,19,3,-,5,12.2k,11.4k,250,25,16,7
2020.0,spring,VCS,2,Team Flash,GAM Esports,3.0,OK,2/9/2020,GAM,Levi,JarvanIV,red,3/1/7,2,1,○fb,8.1k,5.8k,1.2k,1.1k,146.3k,85.5k,51.2k,9.6k,-,22.1k,1.8k,8.8k,32.1k,22.6k,7.9k,1.5k,20,26,-,20,11.7k,11.2k,45,125,68,11
2020.0,spring,VCS,2,Team Flash,GAM Esports,3.0,OK,2/9/2020,GAM,Dia1,Cassiopeia,red,4/2/3,4,1,●fb,16.7k,0.2k,16.3k,0.2k,292.1k,13.4k,278.5k,0.2k,-,15.9k,1.9k,12.8k,24.2k,10.7k,11.5k,2.1k,26,5,-,12,16.1k,14.7k,274,73,59,8
2020.0,spring,VCS,2,Team Flash,GAM Esports,3.0,OK,2/9/2020,GAM,Blazes,MissFortune,red,3/3/4,2,1,○fb,22.1k,20.1k,1.4k,0.6k,421.2k,400.5k,7.7k,13.0k,1282,18.8k,8.6k,2.2k,10.0k,7.2k,2.8k,0.1k,18,21,-,5,19.1k,18.6k,436,50,37,8
2020.0,spring,VCS,2,Team Flash,GAM Esports,3.0,OK,2/9/2020,GAM,Palette,Rakan,red,1/6/10,1,1,○fb,6.2k,0.9k,4.9k,0.5k,27.3k,11.9k,9.8k,5.6k,-,3.8k,2.8k,4.0k,23.0k,13.0k,9.4k,0.6k,53,21,-,21,9.1k,8.9k,50,-,-,-
2020.0,spring,VCS,3,Team Secret,GAM Esports,2.0,OK,2/16/2020,GAM,Kiaya,Sett,blue,8/2/1,6,2,●fb,18.8k,15.7k,0.0k,3.1k,132.4k,109.1k,0.1k,23.2k,-,7.4k,1.5k,3.8k,19.3k,11.5k,7.4k,0.4k,16,6,-,9,12.1k,12.3k,205,6,-,4
2020.0,spring,VCS,3,Team Secret,GAM Esports,2.0,OK,2/16/2020,GAM,Levi,Qiyana,blue,2/1/10,2,1,○fb,11.0k,10.0k,0.7k,0.4k,163.3k,125.8k,19.4k,18.1k,-,48.0k,1.8k,13.0k,22.2k,16.0k,5.7k,0.5k,39,28,-,7,10.7k,9.4k,44,128,61,12
2020.0,spring,VCS,3,Team Secret,GAM Esports,2.0,OK,2/16/2020,GAM,Dia1,Syndra,blue,6/1/6,3,2,○fb,17.4k,0.7k,16.6k,0.0k,194.0k,16.7k,177.0k,0.3k,-,6.4k,4.2k,6.4k,12.9k,5.9k,6.8k,0.2k,15,-,-,6,13.9k,11.7k,251,42,36,6
2020.0,spring,VCS,3,Team Secret,GAM Esports,2.0,OK,2/16/2020,GAM,Hieu3,MissFortune,blue,2/1/5,2,1,○fb,9.7k,8.5k,0.7k,0.5k,209.0k,196.3k,3.8k,8.8k,837,15.3k,7.6k,0.1k,9.7k,3.9k,5.8k,0.1k,10,8,-,1,12.0k,10.3k,236,45,25,8
2020.0,spring,VCS,3,Team Secret,GAM Esports,2.0,OK,2/16/2020,GAM,Palette,Braum,blue,1/0/11,1,1,○fb,4.6k,0.3k,4.3k,0.0k,20.4k,6.4k,8.4k,5.6k,-,4.7k,0.8k,2.8k,11.3k,5.7k,5.0k,0.5k,41,9,-,14,7.6k,6.5k,31,-,-,-
2020.0,spring,VCS,3,Team Secret,GAM Esports,2.0,OK,2/16/2020,TS,Coated,Mordekaiser,red,2/5/1,2,1,○fb,10.4k,2.0k,8.2k,0.2k,102.4k,17.6k,84.6k,0.2k,-,0.9k,0.0k,3.8k,19.9k,11.2k,6.5k,2.2k,13,4,-,5,9.0k,8.3k,176,6,5,-
2020.0,spring,VCS,3,Team Secret,GAM Esports,2.0,OK,2/16/2020,TS,DNK,LeeSin,red,0/6/3,0,0,○fb,4.5k,3.5k,0.6k,0.5k,136.7k,103.7k,21.7k,11.3k,-,9.1k,0.0k,5.4k,23.3k,17.3k,5.7k,0.2k,15,13,-,15,7.7k,7.2k,27,130,97,-
2020.0,spring,VCS,3,Team Secret,GAM Esports,2.0,OK,2/16/2020,TS,Hani,Aatrox,red,2/0/1,2,1,○fb,7.3k,7.3k,0.0k,0.0k,127.8k,127.8k,0.0k,0.0k,-,0.5k,0.5k,5.9k,16.8k,13.2k,2.9k,0.6k,12,11,-,3,10.3k,10.0k,233,12,12,-
2020.0,spring,VCS,3,Team Secret,GAM Esports,2.0,OK,2/16/2020,TS,Celebrity,Ziggs,red,1/3/2,1,1,○fb,16.5k,0.3k,16.2k,0.0k,151.7k,10.8k,138.2k,2.7k,-,2.2k,1.1k,1.8k,11.9k,6.2k,5.7k,0.0k,15,7,-,7,10.0k,9.3k,249,4,4,-
2020.0,spring,VCS,3,Team Secret,GAM Esports,2.0,OK,2/16/2020,TS,Venus,Thresh,red,0/5/4,0,0,○fb,3.8k,0.3k,2.4k,1.1k,12.5k,3.0k,5.0k,4.4k,-,0.9k,0.4k,0.0k,12.8k,8.2k,3.5k,1.1k,47,11,-,11,5.5k,4.7k,29,-,-,-
2020.0,spring,VCS,8,GAM Esports,Team Secret,2.0,OK,3/28/2020,TS,Coated,Irelia,blue,0/6/1,0,0,○fb,6.8k,4.1k,2.8k,0.0k,110.5k,94.0k,12.7k,3.7k,-,2.5k,0.0k,1.9k,16.3k,11.4k,4.8k,0.1k,10,2,-,3,8.1k,7.2k,211,4,4,-
2020.0,spring,VCS,8,GAM Esports,Team Secret,2.0,OK,3/28/2020,TS,DNK,Olaf,blue,0/3/0,0,0,○fb,3.8k,3.2k,0.1k,0.5k,110.7k,76.2k,22.6k,12.0k,-,5.8k,0.0k,7.1k,21.9k,16.8k,4.8k,0.2k,11,12,-,12,7.0k,6.3k,22,115,96,-
2020.0,spring,VCS,8,GAM Esports,Team Secret,2.0,OK,3/28/2020,TS,Artifact,Syndra,blue,0/3/0,0,0,○fb,9.8k,0.2k,9.6k,0.0k,122.6k,7.1k,113.1k,2.4k,-,0.7k,0.0k,2.3k,14.6k,10.8k,3.8k,0.0k,11,5,-,4,8.3k,8.1k,207,4,4,-
2020.0,spring,VCS,8,GAM Esports,Team Secret,2.0,OK,3/28/2020,TS,Celebrity,MissFortune,blue,1/2/0,1,1,○fb,9.9k,9.7k,0.2k,0.0k,128.0k,127.0k,1.0k,0.0k,781,3.0k,2.5k,0.5k,8.1k,6.2k,1.9k,0.1k,7,4,-,3,9.9k,9.8k,233,6,2,-
